«	PUN:cit	«
non	ADV	non
seulement	ADV	seulement
ce	PRO:DEM	ce
genre	NOM	genre
de	PRP	de
mesure	NOM	mesure
est	VER:pres	être
hypocrite	ADJ	hypocrite
mais	KON	mais
en	PRO:PER	en
plus	ADV	plus
elle	PRO:PER	elle
développe	VER:pres	développer
le	DET:ART	le
trafic	NOM	trafic
parallèle	ADJ	parallèle
.	SENT	.
il	PRO:PER	il
ne	ADV	ne
faut	VER:pres	falloir
pas	ADV	pas
être	VER:infi	être
dupe	ADJ	dupe
.	SENT	.
les	DET:ART	le
fumeurs	NOM	fumeur
qui	PRO:REL	qui
ont	VER:pres	avoir
la	DET:ART	le
possibilité	NOM	possibilité
d'	PRP	de
acheter	VER:infi	acheter
leurs	DET:POS	leur
cigarettes	NOM	cigarette
à	PRP	à
moindre	ADJ	moindre
coût	NOM	coût
au	PRP:det	au
marché	NOM	marché
noir	ADJ	noir
ne	ADV	ne
vont	VER:pres	aller
pas	ADV	pas
se	PRO:PER	se
gêner	VER:infi	gêner
.	SENT	.
et	KON	et
c'	PRO:DEM	ce
est	VER:pres	être
compréhensible	ADJ	compréhensible
.	SENT	.
quand	KON	quand
on	PRO:PER	on
fume	VER:pres	fumer
,	PUN	,
on	PRO:PER	on
est	VER:pres	être
dépendant	ADJ	dépendant
et	KON	et
donc	ADV	donc
on	PRO:PER	on
fera	VER:futu	faire
tout	ADV	tout
pour	PRP	pour
pouvoir	VER:infi	pouvoir
continuer	VER:infi	continuer
à	PRP	à
fumer	VER:infi	fumer
sans	PRP	sans
se	PRO:PER	se
ruiner	VER:infi	ruiner
».	VER:pper	».
