l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
daniel	ADJ	daniel
vesin	NOM	vesin
,	PUN	,
66	NUM	@card@
rue	NOM	rue
du	PRP:det	du
général-de-gaulle	NOM	général-de-gaulle
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
90.16	NUM	@card@
.	SENT	.
45	NUM	@card@
;	PUN	;
fax	NOM	fax
.	SENT	.
03.29	NUM	@card@
.	SENT	.
90.11	NUM	@card@
.	SENT	.
87	NUM	@card@
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
:	PUN	:
ouverture	NOM	ouverture
de	PRP	de
8	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
16	NUM	@card@
h.	ABR	h.
trésorerie	NOM	trésorerie
:	PUN	:
ouverture	NOM	ouverture
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
45	NUM	@card@
admr	NOM	admr
:	PUN	:
permanence	NOM	permanence
au	PRP:det	au
1	NUM	@card@
e	NOM	e
r	VER:subi	r
étage	NOM	étage
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
90.16	NUM	@card@
.	SENT	.
11	NUM	@card@
gym	NOM	gym
détente	NOM	détente
:	PUN	:
au	PRP:det	au
centre	NOM	centre
socio-culturel	ADJ	socio-culturel
de	PRP	de
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
21	NUM	@card@
h	ABR	heure
30	NUM	@card@
la	DET:ART	le
poste	NOM	poste
:	PUN	:
ouverture	NOM	ouverture
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
levée	NOM	levée
du	PRP:det	du
courrier	NOM	courrier
à	PRP	à
15	NUM	@card@
h.	ABR	h.
