c'	PRO:DEM	ce
était	VER:impf	être
la	DET:ART	le
première	NUM	premier
grande	ADJ	grand
prestation	NOM	prestation
de	PRP	de
gaëlle	ADJ	gaëlle
burdet	NOM	burdet
,	PUN	,
de	PRP	de
padoux	NOM	padoux
,	PUN	,
et	KON	et
d'	PRP	de
emilien	ADJ	emilien
micard	NOM	micard
,	PUN	,
de	PRP	de
vomécourt	ADJ	vomécourt
,	PUN	,
le	DET:ART	le
week-end	NOM	week-end
dernier	ADJ	dernier
,	PUN	,
dans	PRP	dans
une	DET:ART	un
salle	NOM	salle
polyvalente	ADJ	polyvalent
de	PRP	de
padoux	NOM	padoux
bien	ADV	bien
remplie	VER:pper	remplir
pour	PRP	pour
l'	DET:ART	le
occasion	NOM	occasion
.	SENT	.
de	PRP	de
7	NUM	@card@
à	PRP	à
77	NUM	@card@
ans	NOM	an
,	PUN	,
le	DET:ART	le
vaste	ADJ	vaste
public	NOM	public
a	VER:pres	avoir
apprécié	VER:pper	apprécier
leur	DET:POS	leur
programme	NOM	programme
de	PRP	de
10	NUM	@card@
morceaux	NOM	morceau
dont	PRO:REL	dont
5	NUM	@card@
compositions	NOM	composition
(	PUN	(
gaëlle	NOM	gaëlle
pour	PRP	pour
les	DET:ART	le
paroles	NOM	parole
,	PUN	,
emilien	ADJ	emilien
pour	PRP	pour
la	DET:ART	le
musique	NOM	musique
),	ADJ	),
2	NUM	@card@
instrumentaux	ADJ	instrumental
d'	PRP	de
emilien	NOM	emilien
et	KON	et
3	NUM	@card@
reprises	NOM	reprise
(	PUN	(
obispo	NOM	obispo
,	PUN	,
france	NOM	france
gall	NOM	gall
,	PUN	,
céline	ADJ	céline
dion	NOM	dion
).	VER:pper	).
du	PRP:det	du
talent	NOM	talent
qui	PRO:REL	qui
mérite	VER:pres	mériter
d'	PRP	de
être	VER:infi	être
connu	VER:pper	connaître
et	KON	et
reconnu	VER:pper	reconnaître
.	SENT	.
après	PRP	après
la	DET:ART	le
sortie	NOM	sortie
de	PRP	de
leur	DET:POS	leur
cd	NOM	cd
,	PUN	,
une	DET:ART	un
scène	NOM	scène
était	VER:impf	être
la	DET:ART	le
bienvenue	NOM	bienvenu|bienvenue
.	SENT	.
en	PRP	en
deuxième	NUM	deuxième
partie	NOM	partie
de	PRP	de
soirée	NOM	soirée
,	PUN	,
xavier	NOM	xavier
righini	VER:pper	righini
,	PUN	,
de	PRP	de
girecourt	NOM	girecourt
,	PUN	,
a	VER:pres	avoir
également	ADV	également
participé	VER:pper	participer
à	PRP	à
la	DET:ART	le
fête	NOM	fête
.	SENT	.
nicolas	VER:simp	nicolas
gomesse	NOM	gomesse
et	KON	et
julien	ADJ	julien
jacamon	NOM	jacamon
,	PUN	,
professeurs	NOM	professeur
de	PRP	de
musique	NOM	musique
en	PRP	en
collège	NOM	collège
,	PUN	,
et	KON	et
respectivement	ADV	respectivement
saxo	NOM	saxo
et	KON	et
batteur	NOM	batteur
,	PUN	,
ont	VER:pres	avoir
ensuite	ADV	ensuite
fait	VER:pper	faire
une	DET:ART	un
démonstration	NOM	démonstration
de	PRP	de
leur	DET:POS	leur
talent	NOM	talent
.	SENT	.
autre	ADJ	autre
intervenant	NOM	intervenant
de	PRP	de
talent	NOM	talent
,	PUN	,
alexandre	NOM	alexandre
righini	VER:pper	righini
à	PRP	à
la	DET:ART	le
batterie	NOM	batterie
.	SENT	.
des	PRP:det	du
interprétations	NOM	interprétation
personnelles	ADJ	personnel
des	PRP:det	du
beatles	NOM	beatles
,	PUN	,
rolling	NOM	rolling
stones	ADJ	stones
,	PUN	,
goldman	NOM	goldman
,	PUN	,
de	PRP	de
palmas	VER:simp	palmer
se	PRO:PER	se
sont	VER:pres	être
succédé	VER:pper	succéder
.	SENT	.
l'	DET:ART	le
ambiance	NOM	ambiance
était	VER:impf	être
là	ADV	là
.	SENT	.
la	DET:ART	le
soirée	NOM	soirée
fut	VER:simp	être
excellente	ADJ	excellent
,	PUN	,
avec	PRP	avec
une	DET:ART	un
succession	NOM	succession
de	PRP	de
genres	NOM	genre
différents	ADJ	différent
et	KON	et
d'	PRP	de
interprètes	NOM	interprète
passionnés	VER:pper	passionner
.	SENT	.
quand	KON	quand
la	DET:ART	le
musique	NOM	musique
est	VER:pres	être
bonne	ADJ	bon
,	PUN	,
il	PRO:PER	il
suffit	VER:pres	suffire
d'	PRP	de
aimer	VER:infi	aimer
et	KON	et
d'	PRP	de
écouter	VER:infi	écouter
.	SENT	.
