«	PUN:cit	«
entre	PRP	entre
la	DET:ART	le
classe	NOM	classe
,	PUN	,
le	DET:ART	le
ski	NOM	ski
,	PUN	,
les	DET:ART	le
jeux	NOM	jeu
dans	PRP	dans
la	DET:ART	le
neige	NOM	neige
et	KON	et
le	DET:ART	le
rangement	NOM	rangement
,	PUN	,
les	DET:ART	le
journées	NOM	journée
sont	VER:pres	être
bien	ADV	bien
remplies	VER:pper	remplir
».	ADJ	».
quel	PRO:REL	quel
que	KON	que
soit	KON	soit
l'	DET:ART	le
expéditeur	NOM	expéditeur
,	PUN	,
le	DET:ART	le
message	NOM	message
est	VER:pres	être
unanime	ADJ	unanime
:	PUN	:
les	DET:ART	le
15	NUM	@card@
jours	NOM	jour
de	PRP	de
classe	NOM	classe
de	PRP	de
neige	NOM	neige
aux	PRP:det	au
houches	NOM	houches
s'	PRO:PER	se
avèrent	VER:pres	avérer
être	VER:infi	être
une	DET:ART	un
brillante	ADJ	brillant
réussite	NOM	réussite
pour	PRP	pour
tous	PRO:IND	tout
les	DET:ART	le
élèves	NOM	élève
des	PRP:det	du
classes	NOM	classe
de	PRP	de
cme	NOM	cme
des	PRP:det	du
écoles	NOM	école
de	PRP	de
maxéville	NOM	maxéville
.	SENT	.
cette	PRO:DEM	ce
expérience	NOM	expérience
est	VER:pres	être
riche	ADJ	riche
en	PRP	en
apprentissages	NOM	apprentissage
,	PUN	,
puisqu'elle	ADJ	puisqu'elle
permet	VER:pres	permettre
d'	PRP	de
enseigner	VER:infi	enseigner
dans	PRP	dans
un	DET:ART	un
contexte	NOM	contexte
différent	ADJ	différent
du	PRP:det	du
quotidien	NOM	quotidien
.	SENT	.
les	DET:ART	le
enfants	NOM	enfant
,	PUN	,
certes	ADV	certes
,	PUN	,
sont	VER:pres	être
initiés	VER:pper	initier
au	PRP:det	au
plaisir	NOM	plaisir
du	PRP:det	du
ski	NOM	ski
.	SENT	.
mais	KON	mais
ils	PRO:PER	il
apprennent	VER:pres	apprendre
également	ADV	également
à	PRP	à
vivre	VER:infi	vivre
en	PRP	en
groupe	NOM	groupe
.	SENT	.
et	KON	et
ils	PRO:PER	il
abordent	VER:pres	aborder
des	PRP:det	du
notions	NOM	notion
comme	KON	comme
l'	DET:ART	le
environnement	NOM	environnement
,	PUN	,
la	DET:ART	le
géographie	NOM	géographie
,	PUN	,
la	DET:ART	le
météo	NOM	météo
,	PUN	,
version	NOM	version
grandeur	NOM	grandeur
nature	NOM	nature
.	SENT	.
de	PRP	de
retour	NOM	retour
,	PUN	,
depuis	PRP	depuis
quelques	PRO:IND	quelque
jours	NOM	jour
seulement	ADV	seulement
,	PUN	,
tous	PRO:IND	tout
ces	PRO:DEM	ce
joyeux	ADJ	joyeux
skieurs	NOM	skieur
ont	VER:pres	avoir
pu	VER:pper	pouvoir
retrouver	VER:infi	retrouver
leur	DET:POS	leur
famille	NOM	famille
en	PRP	en
leur	PRO:PER	lui
faisant	VER:ppre	faire
partager	VER:infi	partager
leurs	DET:POS	leur
heureux	ADJ	heureux
souvenirs	NOM	souvenir
.	SENT	.
