hier	ADV	hier
,	PUN	,
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
rené	VER:pper	renaître
seyer	VER:infi	seyer
,	PUN	,
adjoint	VER:pper	adjoindre
au	PRP:det	au
maire	NOM	maire
,	PUN	,
a	VER:pres	avoir
reçu	VER:pper	recevoir
les	DET:ART	le
consentements	NOM	consentement
mutuels	ADJ	mutuel
de	PRP	de
christelle	ADJ	christelle
blaisius	NOM	blaisius
,	PUN	,
magasinier	NOM	magasinier
,	PUN	,
et	KON	et
de	PRP	de
patrice	NOM	patrice
bouzenade	NOM	bouzenade
,	PUN	,
rectifieur	NOM	rectifieur
.	SENT	.
tous	PRO:IND	tout
deux	NUM	deux
sont	VER:pres	être
domiciliés	VER:pper	domicilier
2	NUM	@card@
bis	ADJ	bis
rue	NOM	rue
de	PRP	de
vénezu	NOM	vénezu
.	SENT	.
tous	PRO:IND	tout
nos	DET:POS	notre
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
bonheur	NOM	bonheur
.	SENT	.
