l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
claude	NOM	claude
mangin	NAM	Mangin
,	PUN	,
tél	ABR	téléphone
03.29	NUM	@card@
.	SENT	.
87.13	NUM	@card@
.	SENT	.
59	NUM	@card@
ou	KON	ou
06.09	NUM	@card@
.	SENT	.
26.22	NUM	@card@
.	SENT	.
63	NUM	@card@
fax	NOM	fax
03.29	NUM	@card@
.	SENT	.
87.01	NUM	@card@
.	SENT	.
40	NUM	@card@
mairie	NOM	mairie
:	PUN	:
secrétariat	NOM	secrétariat
ouvert	VER:pper	ouvrir
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
;	PUN	;
permanences	NOM	permanence
de	PRP	de
l'	DET:ART	le
écrivain	NOM	écrivain
public	ADJ	public
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
jean	NOM	jean
picart	NOM	picart
,	PUN	,
maire	NOM	maire
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
paul	ADJ	paul
krugler	NOM	krugler
(	PUN	(
ccas	NOM	ccas
)	PUN	)
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
;	PUN	;
valérie	NOM	valérie
dambrine	ADJ	dambrine
(	PUN	(
manifestations	NOM	manifestation
)	PUN	)
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
;	PUN	;
marie	VER:pres	marier
thérèse	NOM	thérèse
cucini	NOM	cucini
(	PUN	(
finances	NOM	finance
)	PUN	)
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
gym	NOM	gym
volontaire	ADJ	volontaire
:	PUN	:
adultes	ADJ	adulte
,	PUN	,
salle	NOM	salle
de	PRP	de
judo	NOM	judo
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
baby	NOM	baby
bourse	NOM	bourse
:	PUN	:
au	PRP:det	au
centre	NOM	centre
social	ADJ	social
,	PUN	,
dépôt	NOM	dépôt
des	PRP:det	du
produits	NOM	produit
(	PUN	(
vêtements	NOM	vêtement
accessoires	ADJ	accessoire
)	PUN	)
de	PRP	de
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
step	NOM	step
:	PUN	:
gymnase	NOM	gymnase
de	PRP	de
la	DET:ART	le
codecom	NOM	codecom
de	PRP	de
19	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
20	NUM	@card@
h	ABR	heure
45	NUM	@card@
et	KON	et
de	PRP	de
20	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
21	NUM	@card@
h	ABR	heure
45	NUM	@card@
halte-garderie	NOM	halte-garderie
:	PUN	:
«	PUN:cit	«
la	DET:ART	le
galipette	NOM	galipette
»	PUN:cit	»
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
50	NUM	@card@
et	KON	et
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
restos	NOM	resto
du	PRP:det	du
c	NOM	c
	ADJ	
ur	VER:simp	ur
:	PUN	:
sous-sol	NOM	sous-sol
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h.	ABR	h.
marché	NOM	marché
:	PUN	:
place	NOM	place
de	PRP	de
l'	DET:ART	le
hôtel-de-ville	NOM	hôtel-de-ville
,	PUN	,
tout	PRO:IND	tout
l'	DET:ART	le
après-midi	NOM	après-midi
.	SENT	.
office	NOM	office
du	PRP:det	du
tourisme	NOM	tourisme
:	PUN	:
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
87.20	NUM	@card@
.	SENT	.
80	NUM	@card@
peinture	NOM	peinture
sur	PRP	sur
soie	NOM	soie
:	PUN	:
au	PRP:det	au
local	NOM	local
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
croix-rouge	NOM	croix-rouge
:	PUN	:
pavillon	NOM	pavillon
f.	ADJ	f.
-	PUN	-
verdun	ADJ	verdun
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
secours	NOM	secours
catholique	ADJ	catholique
:	PUN	:
accueil	NOM	accueil
,	PUN	,
vestiaire	NOM	vestiaire
et	KON	et
permanence	NOM	permanence
au	PRP:det	au
pavillon	NOM	pavillon
françois-verdun	ADJ	françois-verdun
.	SENT	.
amis	NOM	ami
stainois	ADJ	stainois
:	PUN	:
rencontre	NOM	rencontre
au	PRP:det	au
local	NOM	local
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
centre	NOM	centre
social	ADJ	social
:	PUN	:
carrefour-emploi	NOM	carrefour-emploi
de	PRP	de
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
;	PUN	;
accompagnement	NOM	accompagnement
scolaire	ADJ	scolaire
de	PRP	de
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h.	ABR	h.
gym	NOM	gym
sensorielle	ADJ	sensoriel
:	PUN	:
en	PRP	en
mairie	NOM	mairie
,	PUN	,
salle	NOM	salle
druilhet	ADJ	druilhet
,	PUN	,
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
informatique	NOM	informatique
:	PUN	:
salle	NOM	salle
d'	PRP	de
informatique	NOM	informatique
de	PRP	de
l'	DET:ART	le
école	NOM	école
primaire	ADJ	primaire
de	PRP	de
18	NUM	@card@
h	ABR	heure
à	PRP	à
20	NUM	@card@
h.	ABR	h.
handisport	ADJ	handisport
:	PUN	:
tir	NOM	tir
au	PRP:det	au
stand	NOM	stand
de	PRP	de
l'	DET:ART	le
avant-garde	NOM	avant-garde
,	PUN	,
de	PRP	de
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
harmonie	NOM	harmonie
:	PUN	:
répétition	NOM	répétition
de	PRP	de
la	DET:ART	le
batterie-fanfare	NOM	batterie-fanfare
au	PRP:det	au
local	NOM	local
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
