«	PUN:cit	«
a	VER:pres	avoir
la	DET:ART	le
chandeleur	NOM	chandeleur
,	PUN	,
l'	DET:ART	le
hiver	NOM	hiver
meurt	VER:pres	mourir
ou	KON	ou
reprend	VER:pres	reprendre
vigueur	NOM	vigueur
!	SENT	!
»,	ABR	»,
ce	PRO:DEM	ce
dicton	NOM	dicton
est	VER:pres	être
en	PRP	en
passe	NOM	passe
de	PRP	de
se	PRO:PER	se
vérifier	VER:infi	vérifier
,	PUN	,
semble-t-il	NOM	semble-t-il
,	PUN	,
puisqu'à	ADJ	puisqu'à
l'	DET:ART	le
aube	NOM	aube
,	PUN	,
hier	ADV	hier
,	PUN	,
près	ADV	près
de	PRP	de
12	NUM	@card@
cm	NOM	cm
de	PRP	de
neige	NOM	neige
fraîche	ADJ	frais
recouvraient	VER:impf	recouvrer|recouvrir
la	DET:ART	le
contrée	NOM	contrée
,	PUN	,
par	PRP	par
une	DET:ART	un
température	NOM	température
de	PRP	de
0	NUM	@card@
°.	ABR	°.
ou	KON	ou
est-ce	ADJ	est-ce
un	DET:ART	un
dernier	ADJ	dernier
sursaut	NOM	sursaut
de	PRP	de
l'	DET:ART	le
hiver	NOM	hiver
?	SENT	?
bien	ADV	bien
avant	PRP	avant
7	NUM	@card@
h	ABR	heure
,	PUN	,
michel	NOM	michel
,	PUN	,
au	PRP:det	au
volant	NOM	volant
de	PRP	de
son	DET:POS	son
puissant	ADJ	puissant
tracteur	NOM	tracteur
chasse-neige	NOM	chasse-neige
,	PUN	,
sillonnait	VER:impf	sillonner
les	DET:ART	le
rues	NOM	rue
du	PRP:det	du
village	NOM	village
pour	PRP	pour
permettre	VER:infi	permettre
aux	PRP:det	au
nombreux	ADJ	nombreux
actifs	ADJ	actif
de	PRP	de
gagner	VER:infi	gagner
la	DET:ART	le
rn	NOM	rn
4	NUM	@card@
20	NUM	@card@
sans	PRP	sans
problème	NOM	problème
.	SENT	.
le	DET:ART	le
salage	NOM	salage
de	PRP	de
la	DET:ART	le
chaussée	NOM	chaussée
sera	VER:futu	être
effectué	VER:pper	effectuer
par	PRP	par
la	DET:ART	le
suite	NOM	suite
,	PUN	,
selon	PRP	selon
la	DET:ART	le
température	NOM	température
ambiante	ADJ	ambiant
et	KON	et
d'	PRP	de
autres	ADJ	autre
éventuelles	ADJ	éventuel
chutes	NOM	chute
de	PRP	de
neige	NOM	neige
.	SENT	.
il	PRO:PER	il
convient	VER:pres	convenir|convier
de	PRP	de
signaler	VER:infi	signaler
,	PUN	,
pour	PRP	pour
un	DET:ART	un
dégagement	NOM	dégagement
rapide	ADJ	rapide
et	KON	et
efficace	ADJ	efficace
,	PUN	,
certaines	PRO:IND	certain
difficultés	NOM	difficulté
dues	VER:pper	devoir
à	PRP	à
la	DET:ART	le
présence	NOM	présence
de	PRP	de
poubelles	NOM	poubelle
ou	KON	ou
de	PRP	de
voitures	NOM	voiture
empiétant	VER:ppre	empiéter
sur	PRP	sur
le	DET:ART	le
domaine	NOM	domaine
public	ADJ	public
,	PUN	,
ce	PRO:DEM	ce
qui	PRO:REL	qui
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
sans	PRP	sans
risques	NOM	risque
pour	PRP	pour
leurs	DET:POS	leur
propriétaires	NOM	propriétaire
!	SENT	!
les	DET:ART	le
enfants	NOM	enfant
,	PUN	,
qui	PRO:REL	qui
n'	ADV	ne
en	PRO:PER	en
attendaient	VER:impf	attendre
pas	ADV	pas
tant	ADV	tant
,	PUN	,
s'	PRO:PER	se
en	PRO:PER	en
donnent	VER:pres	donner
à	PRP	à
coeur	NOM	cœur
joie	NOM	joie
,	PUN	,
entre	PRP	entre
les	DET:ART	le
cours	NOM	cour|cours
de	PRP	de
la	DET:ART	le
grande	ADJ	grand
école	NOM	école
ou	KON	ou
des	PRP:det	du
petites	ADJ	petit
classes	NOM	classe
.	SENT	.
mais	KON	mais
que	KON	que
ces	PRO:DEM	ce
cours	NOM	cour|cours
leur	PRO:PER	lui
semblent	VER:pres	sembler
bien	ADV	bien
longs	ADJ	long
!	SENT	!
