c'	PRO:DEM	ce
est	VER:pres	être
à	PRP	à
croire	VER:infi	croire
qu'	KON	que
il	PRO:PER	il
n'	ADV	ne
y	PRO:PER	y
a	VER:pres	avoir
pas	ADV	pas
de	PRP	de
garçons	NOM	garçon
nés	VER:pper	naître
en	PRP	en
84	NUM	@card@
ou	KON	ou
85	NUM	@card@
dans	PRP	dans
le	DET:ART	le
village	NOM	village
.	SENT	.
car	NOM	car
,	PUN	,
seules	ADJ	seul
les	DET:ART	le
filles	NOM	fille
ont	VER:pres	avoir
perpétué	VER:pper	perpétuer
la	DET:ART	le
tradition	NOM	tradition
des	PRP:det	du
conscrits	NOM	conscrit
.	SENT	.
jessica	NOM	jessica
,	PUN	,
angélique	ADJ	angélique
,	PUN	,
pauline	NOM	pauline
,	PUN	,
marlène	NOM	marlène
,	PUN	,
ghislaine	NOM	ghislaine
et	KON	et
marilyne	NOM	marilyne
ont	VER:pres	avoir
organisé	VER:pper	organiser
une	DET:ART	un
«	PUN:cit	«
super	ADJ	super
foire	NOM	foire
franche	ADJ	franc
»	PUN:cit	»
en	PRP	en
amassant	VER:ppre	amasser
des	PRP:det	du
remorques	NOM	remorque
,	PUN	,
des	PRP:det	du
balançoires	NOM	balançoire
et	KON	et
surtout	ADV	surtout
des	PRP:det	du
poubelles	NOM	poubelle
sur	PRP	sur
la	DET:ART	le
place	NOM	place
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
,	PUN	,
où	PRO:REL	où
les	DET:ART	le
«	PUN:cit	«
victimes	NOM	victime
»	PUN:cit	»
pouvaient	VER:impf	pouvoir
venir	VER:infi	venir
les	PRO:PER	la|le
chercher	VER:infi	chercher
.	SENT	.
une	DET:ART	un
façon	NOM	façon
originale	ADJ	original
de	PRP	de
présenter	VER:infi	présenter
ses	DET:POS	son
v	NOM	v
	ADJ	
ux	ADJ	ux
à	PRP	à
la	DET:ART	le
population	NOM	population
.	SENT	.
