simples	ADJ	simple
:	PUN	:
liu	ADJ	liu
(	PUN	(
296	NUM	@card@
chi	NOM	chi
)	PUN	)
bat	VER:pres	battre
daskovic	NOM	daskovic
(	PUN	(
251	NUM	@card@
you	NOM	you
)	PUN	)
6	NUM	@card@
-	PUN	-
2	NUM	@card@
6	NUM	@card@
-	PUN	-
2	NUM	@card@
hedjova	NOM	hedjova
(	PUN	(
243	NUM	@card@
rep	NOM	rep
tch	ADJ	tch
)	PUN	)
bat	VER:pres	battre
dulon	NOM	dulon
(	PUN	(
234	NUM	@card@
fra	NOM	fra
)	PUN	)
6	NUM	@card@
-	PUN	-
4	NUM	@card@
6	NUM	@card@
-	PUN	-
1	NUM	@card@
gussoni	NOM	gussoni
(	PUN	(
217	NUM	@card@
arg	NOM	arg
)	PUN	)
bat	VER:pres	battre
beltrame	NOM	beltrame
(	PUN	(
240	NUM	@card@
fra	NOM	fra
)	PUN	)
6	NUM	@card@
-	PUN	-
4	NUM	@card@
7	NUM	@card@
-	PUN	-
6	NUM	@card@
birnerova	NOM	birnerova
(	PUN	(
214	NUM	@card@
rep	NOM	rep
tch	ADJ	tch
)	PUN	)
bat	VER:pres	battre
sakowicz	NOM	sakowicz
(	PUN	(
278	NUM	@card@
pol	NOM	pol
)	PUN	)
7	NUM	@card@
-	PUN	-
5	NUM	@card@
4	NUM	@card@
-	PUN	-
6	NUM	@card@
6	NUM	@card@
-	PUN	-
2	NUM	@card@
sanchez	VER:pres	sanchez
alayeto	NOM	alayeto
(	PUN	(
345	NUM	@card@
esp	NOM	esp
)	PUN	)
bat	VER:pres	battre
barna	NOM	barna
(	PUN	(
253	NUM	@card@
all	NOM	all
)	PUN	)
4	NUM	@card@
-	PUN	-
6	NUM	@card@
7	NUM	@card@
-	PUN	-
6	NUM	@card@
6	NUM	@card@
-	PUN	-
4	NUM	@card@
doubles	NOM	double
:	PUN	:
johansson/laurendon	NOM	johansson/laurendon
battent	VER:pres	battre
kheotavong/vierin	NOM	kheotavong/vierin
6	NUM	@card@
-	PUN	-
3	NUM	@card@
6	NUM	@card@
-	PUN	-
4	NUM	@card@
gussoni/vedy	NOM	gussoni/vedy
battent	VER:pres	battre
bammer/bjelkova	VER:simp	bammer/bjelkova
6	NUM	@card@
-	PUN	-
2	NUM	@card@
6	NUM	@card@
-	PUN	-
2	NUM	@card@
edon/erre	NOM	edon/erre
battent	VER:pres	battre
feys/taton	NOM	feys/taton
6	NUM	@card@
-	PUN	-
2	NUM	@card@
6	NUM	@card@
-	PUN	-
7	NUM	@card@
7	NUM	@card@
-	PUN	-
6	NUM	@card@
