«	PUN:cit	«
nous	PRO:PER	nous
pensons	VER:pres	penser
à	PRP	à
vous	PRO:PER	vous
et	KON	et
vous	PRO:PER	vous
apportons	VER:pres	apporter
quelques	PRO:IND	quelque
douceurs	NOM	douceur
».	VER:subi	».
mardi	NOM	mardi
après-midi	NOM	après-midi
,	PUN	,
jean	NOM	jean
sacco	ADJ	sacco
,	PUN	,
premier	NUM	premier
magistrat	NOM	magistrat
,	PUN	,
et	KON	et
christiane	NOM	christiane
masson	NOM	masson
,	PUN	,
adjointe	VER:pper	adjoindre
aux	PRP:det	au
affaires	NOM	affaire
sociales	ADJ	social
,	PUN	,
se	PRO:PER	se
sont	VER:pres	être
rendus	VER:pper	rendre
jusqu'à	NOM	jusqu'à
l'	DET:ART	le
unité	NOM	unité
de	PRP	de
vie	NOM	vie
de	PRP	de
bavans	ADJ	bavans
à	PRP	à
la	DET:ART	le
rencontre	NOM	rencontre
de	PRP	de
deux	NUM	deux
retraitées	NOM	retraité
de	PRP	de
la	DET:ART	le
commune	NOM	commune
.	SENT	.
ils	PRO:PER	il
ont	VER:pres	avoir
joué	VER:pper	jouer
au	PRP:det	au
père	NOM	père
noël	NOM	noël
,	PUN	,
les	DET:ART	le
bras	NOM	bras
chargées	VER:pper	charger
de	PRP	de
friandises	NOM	friandise
.	SENT	.
cette	PRO:DEM	ce
visite	NOM	visite
aux	PRP:det	au
personnes	NOM	personne
hospitalisées	VER:pper	hospitaliser
ou	KON	ou
en	PRP	en
maison	NOM	maison
de	PRP	de
retraite	NOM	retraite
dans	PRP	dans
toute	PRO:IND	tout
l'	DET:ART	le
aire	NOM	aire
urbaine	ADJ	urbain
a	VER:pres	avoir
démarré	VER:pper	démarrer
début	NOM	début
janvier	NOM	janvier
et	KON	et
mobilisé	VER:pper	mobiliser
les	DET:ART	le
personnes	NOM	personne
de	PRP	de
la	DET:ART	le
commission	NOM	commission
ccas	NOM	ccas
,	PUN	,
eva	VER:simp	eva
l'	DET:ART	le
emploi-jeune	NOM	emploi-jeune
et	KON	et
toute	PRO:IND	tout
l'	DET:ART	le
équipe	NOM	équipe
de	PRP	de
la	DET:ART	le
structure	NOM	structure
sociale	ADJ	social
.	SENT	.
une	DET:ART	un
trentaine	NOM	trentaine
de	PRP	de
cadeaux	NOM	cadeau
ont	VER:pres	avoir
ainsi	ADV	ainsi
été	VER:pper	être
offerts	VER:pper	offrir
à	PRP	à
ces	PRO:DEM	ce
personnes	NOM	personne
absentes	ADJ	absent
de	PRP	de
leur	DET:POS	leur
domicile	NOM	domicile
durant	PRP	durant
les	DET:ART	le
fêtes	NOM	fête
de	PRP	de
fin	NOM	fin
d'	PRP	de
année	NOM	année
.	SENT	.
le	DET:ART	le
maire	NOM	maire
a	VER:pres	avoir
adressé	VER:pper	adresser
un	DET:ART	un
petit	ADJ	petit
mot	NOM	mot
gentil	ADJ	gentil
à	PRP	à
chacun	PRO:IND	chacun
,	PUN	,
quelques	PRO:IND	quelque
phrases	NOM	phrase
pour	PRP	pour
prendre	VER:infi	prendre
des	PRP:det	du
nouvelles	ADJ	nouveau
du	PRP:det	du
quotidien	NOM	quotidien
,	PUN	,
de	PRP	de
la	DET:ART	le
famille	NOM	famille
,	PUN	,
des	PRP:det	du
enfants	NOM	enfant
et	KON	et
petits-enfants	NOM	petits-enfants
.	SENT	.
dans	PRP	dans
la	DET:ART	le
hotte	NOM	hotte
du	PRP:det	du
père	NOM	père
noël	NOM	noël
,	PUN	,
tous	PRO:IND	tout
ont	VER:pres	avoir
trouvé	VER:pper	trouver
confiseries	NOM	confiserie
,	PUN	,
chocolats	NOM	chocolat
,	PUN	,
biscuits	NOM	biscuit
,	PUN	,
jus	NOM	jus
de	PRP	de
fruits	NOM	fruit
et	KON	et
eau	NOM	eau
de	PRP	de
toilette	NOM	toilette
.	SENT	.
un	DET:ART	un
geste	NOM	geste
apprécié	VER:pper	apprécier
par	PRP	par
tous	PRO:IND	tout
.	SENT	.
