hier	ADV	hier
,	PUN	,
vers	PRP	vers
9	NUM	@card@
h	ABR	heure
50	NUM	@card@
un	DET:ART	un
automobiliste	NOM	automobiliste
a	VER:pres	avoir
perdu	VER:pper	perdre
le	DET:ART	le
contrôle	NOM	contrôle
de	PRP	de
son	DET:POS	son
véhicule	NOM	véhicule
,	PUN	,
avenue	NOM	avenue
de	PRP	de
saint-dié	NOM	saint-dié
,	PUN	,
face	NOM	face
au	PRP:det	au
parc	NOM	parc
des	PRP:det	du
expositions	NOM	exposition
,	PUN	,
à	PRP	à
epinal	NOM	epinal
.	SENT	.
la	DET:ART	le
voiture	NOM	voiture
aurait	VER:cond	avoir
glissé	VER:pper	glisser
sur	PRP	sur
la	DET:ART	le
chaussée	NOM	chaussée
avant	PRP	avant
de	PRP	de
percuter	VER:infi	percuter
une	DET:ART	un
glissière	NOM	glissière
de	PRP	de
sécurité	NOM	sécurité
.	SENT	.
