aujourd'hui	ADV	aujourd'hui
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
les	DET:ART	le
basketteurs	NOM	basketteur
jouent	VER:pres	jouer
contre	PRP	contre
ceux	PRO:DEM	celui
de	PRP	de
fléville	NOM	fléville
.	SENT	.
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
messe	NOM	messe
à	PRP	à
dommartin	NOM	dommartin
.	SENT	.
lundi	NOM	lundi
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
parking	NOM	parking
du	PRP:det	du
centre	NOM	centre
socioculturel	ADJ	socioculturel
,	PUN	,
départ	NOM	départ
de	PRP	de
la	DET:ART	le
randonnée	NOM	randonnée
pédestre	ADJ	pédestre
.	SENT	.
mardi	NOM	mardi
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
réunion	NOM	réunion
d'	PRP	de
eap	NOM	eap
à	PRP	à
l'	DET:ART	le
échelle	NOM	échelle
du	PRP:det	du
doyenné	NOM	doyenné
.	SENT	.
mercredi	NOM	mercredi
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
galette	NOM	galette
des	PRP:det	du
rois	NOM	roi
au	PRP:det	au
centre	NOM	centre
socioculturel	ADJ	socioculturel
.	SENT	.
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
cours	NOM	cour|cours
de	PRP	de
danse	NOM	danse
de	PRP	de
salon	NOM	salon
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
jeudi	NOM	jeudi
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
en	PRP	en
mairie	NOM	mairie
,	PUN	,
réunion	NOM	réunion
du	PRP:det	du
conseil	NOM	conseil
municipal	ADJ	municipal
:	PUN	:
vote	NOM	vote
d'	PRP	de
un	DET:ART	un
délégué	NOM	délégué
à	PRP	à
l'	DET:ART	le
intercommunalité	NOM	intercommunalité
du	PRP:det	du
massif	NOM	massif
de	PRP	de
haye	NOM	haye
,	PUN	,
création	NOM	création
d'	PRP	de
une	DET:ART	un
taxe	NOM	taxe
d'	PRP	de
affichage	NOM	affichage
et	KON	et
questions	NOM	question
diverses	ADJ	divers
.	SENT	.
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
maison	NOM	maison
paroissiale	ADJ	paroissial
,	PUN	,
réunion	NOM	réunion
du	PRP:det	du
conseil	NOM	conseil
paroissial	ADJ	paroissial
.	SENT	.
vendredi	NOM	vendredi
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
badminton	NOM	badminton
dans	PRP	dans
le	DET:ART	le
gymnase	NOM	gymnase
st	VER:futu	st
camille	NOM	camille
.	SENT	.
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
au	PRP:det	au
centre	NOM	centre
équestre	ADJ	équestre
,	PUN	,
assemblée	NOM	assemblée
générale	ADJ	général
extraordinaire	ADJ	extraordinaire
.	SENT	.
figurent	VER:pres	figurer
à	PRP	à
l'	DET:ART	le
ordre	NOM	ordre
du	PRP:det	du
jour	NOM	jour
:	PUN	:
projets	NOM	projet
de	PRP	de
développement	NOM	développement
,	PUN	,
mise	VER:pper	mettre
aux	PRP:det	au
normes	NOM	norme
et	KON	et
extensions	NOM	extension
des	PRP:det	du
installations	NOM	installation
.	SENT	.
modalités	NOM	modalité
de	PRP	de
fonctionnement	NOM	fonctionnement
garantissant	VER:ppre	garantir
la	DET:ART	le
viabilité	NOM	viabilité
de	PRP	de
la	DET:ART	le
structure	NOM	structure
et	KON	et
des	PRP:det	du
prestations	NOM	prestation
de	PRP	de
qualité	NOM	qualité
.	SENT	.
samedi	NOM	samedi
14	NUM	@card@
h	ABR	heure
:	PUN	:
mobilisation	NOM	mobilisation
de	PRP	de
toutes	PRO:IND	tout
les	DET:ART	le
bonnes	ADJ	bon
volontés	NOM	volonté
pour	PRP	pour
l'	DET:ART	le
installation	NOM	installation
du	PRP:det	du
tatami	NOM	tatami
dans	PRP	dans
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
salle	NOM	salle
26	NUM	@card@
galette	NOM	galette
des	PRP:det	du
rois	NOM	roi
de	PRP	de
l'	DET:ART	le
apl	NOM	apl
.	SENT	.
18	NUM	@card@
h	ABR	heure
:	PUN	:
messe	NOM	messe
à	PRP	à
aingeray	NOM	aingeray
.	SENT	.
dimanche	NOM	dimanche
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
rencontre	NOM	rencontre
de	PRP	de
basket	NOM	basket
avec	PRP	avec
gondreville	NOM	gondreville
.	SENT	.
a	VER:pres	avoir
partir	VER:infi	partir
de	PRP	de
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
,	PUN	,
gala	NOM	gala
de	PRP	de
judo	NOM	judo
.	SENT	.
