m.	ABR	m.
gérard	NOM	gérard
pernet	NOM	pernet
12	NUM	@card@
rue	NOM	rue
de	PRP	de
bourgogne	NOM	bourgogne
25600	NUM	@card@
nommay	NOM	nommay
.	SENT	.
lorsque	KON	lorsque
le	DET:ART	le
commun	NOM	commun
des	PRP:det	du
mortels	NOM	mortel
,	PUN	,
bénéficiant	VER:ppre	bénéficier
du	PRP:det	du
régime	NOM	régime
général	ADJ	général
,	PUN	,
part	NOM	part
en	PRP	en
retraite	NOM	retraite
,	PUN	,
si	KON	si
pour	PRP	pour
une	DET:ART	un
cause	NOM	cause
ou	KON	ou
pour	PRP	pour
une	DET:ART	un
autre	ADJ	autre
il	PRO:PER	il
reprend	VER:pres	reprendre
une	DET:ART	un
activité	NOM	activité
il	PRO:PER	il
sera	VER:futu	être
pénalisé	VER:pper	pénaliser
par	PRP	par
un	DET:ART	un
abattement	NOM	abattement
sur	PRP	sur
sa	DET:POS	son
retraite	NOM	retraite
.	SENT	.
nos	DET:POS	notre
élus	NOM	élu
cumulent	VER:pres	cumuler
les	DET:ART	le
mandats	NOM	mandat
,	PUN	,
maire	NOM	maire
,	PUN	,
parlementaire	ADJ	parlementaire
,	PUN	,
membre	NOM	membre
de	PRP	de
conseils	NOM	conseil
d'	PRP	de
administration	NOM	administration
(	PUN	(
jetons	VER:pres	jeter
),	ADJ	),
retraite	NOM	retraite
(	PUN	(
sans	PRP	sans
abattement	NOM	abattement
)	PUN	)
et	KON	et
plus	ADV	plus
tard	ADV	tard
,	PUN	,
à	PRP	à
l'	DET:ART	le
arrêt	NOM	arrêt
des	PRP:det	du
activités	NOM	activité
publiques	ADJ	publique
,	PUN	,
cumul	NOM	cumul
de	PRP	de
retraites	NOM	retraite
,	PUN	,
et	KON	et
tout	PRO:IND	tout
ceci	PRO:DEM	ceci
sans	PRP	sans
aucun	PRO:IND	aucun
état	NOM	état
d'	PRP	de
âme	NOM	âme
.	SENT	.
comment	ADV	comment
voulez-vous	NOM	voulez-vous
que	KON	que
nous	PRO:PER	nous
,	PUN	,
humbles	ADJ	humble
électeurs	NOM	électeur
,	PUN	,
nous	PRO:PER	nous
ayons	VER:subp	avoir
de	PRP	de
la	DET:ART	le
considération	NOM	considération
pour	PRP	pour
eux	PRO:PER	eux
?	SENT	?
suggestion	NOM	suggestion
:	PUN	:
première	NUM	premier
disposition	NOM	disposition
à	PRP	à
prendre	VER:infi	prendre
pour	PRP	pour
cette	PRO:DEM	ce
réforme	NOM	réforme
:	PUN	:
un	DET:ART	un
élu	NOM	élu
ne	ADV	ne
peut	VER:pres	pouvoir
à	PRP	à
la	DET:ART	le
fois	NOM	foi|fois
bénéficier	ADJ	bénéficier
de	PRP	de
son	DET:POS	son
indemnité	NOM	indemnité
d'	PRP	de
élu	NOM	élu
et	KON	et
de	PRP	de
sa	DET:POS	son
retraite	NOM	retraite
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
l'	DET:ART	le
une	DET:ART	un
ou	KON	ou
l'	DET:ART	le
autre	ADJ	autre
.	SENT	.
malheureusement	ADV	malheureusement
,	PUN	,
la	DET:ART	le
majorité	NOM	majorité
de	PRP	de
nos	DET:POS	notre
représentants	NOM	représentant
,	PUN	,
de	PRP	de
droite	NOM	droit|droite
comme	KON	comme
de	PRP	de
gauche	ADJ	gauche
,	PUN	,
ne	ADV	ne
veulent	VER:pres	vouloir
céder	VER:infi	céder
un	DET:ART	un
iota	NOM	iota
de	PRP	de
leurs	DET:POS	leur
privilèges	NOM	privilège
et	KON	et
ce	PRO:DEM	ce
sont	VER:pres	être
bien	ADV	bien
évidemment	ADV	évidemment
les	DET:ART	le
citoyens	NOM	citoyen
qui	PRO:REL	qui
manquent	VER:pres	manquer
de	PRP	de
civisme	NOM	civisme
(...)	ADJ	(...)
