«	PUN:cit	«
les	DET:ART	le
éléments	NOM	élément
les	DET:ART	le
plus	ADV	plus
prestigieux	ADJ	prestigieux
ont	VER:pres	avoir
été	VER:pper	être
détruits	VER:pper	détruire
au	PRP:det	au
cours	NOM	cour|cours
de	PRP	de
l'	DET:ART	le
incendie	NOM	incendie
».	ADJ	».
a	VER:pres	avoir
l'	DET:ART	le
occasion	NOM	occasion
de	PRP	de
cette	PRO:DEM	ce
session	NOM	session
extraordinaire	ADJ	extraordinaire
consacrée	VER:pper	consacrer
au	PRP:det	au
château	NOM	château
de	PRP	de
lunéville	NAM	Lunéville
,	PUN	,
le	DET:ART	le
vice-président	NOM	vice-président
jean-paul	NOM	jean-paul
bolmont	VER:futu	bolmont
a	VER:pres	avoir
dressé	VER:pper	dresser
un	DET:ART	un
premier	NUM	premier
bilan	NOM	bilan
des	PRP:det	du
dégâts	NOM	dégât
.	SENT	.
la	DET:ART	le
totalité	NOM	totalité
de	PRP	de
la	DET:ART	le
chapelle	NOM	chapelle
(	PUN	(
crypte	NOM	crypte
,	PUN	,
rez-de-chaussée	NOM	rez-de-chaussée
,	PUN	,
galerie	NOM	galerie
haute	ADJ	haut
,	PUN	,
voûte	NOM	voûte
et	KON	et
toiture	NOM	toiture
)	PUN	)
a	VER:pres	avoir
été	VER:pper	être
incendiée	VER:pper	incendier
.	SENT	.
il	PRO:PER	il
en	PRO:PER	en
est	VER:pres	être
de	PRP	de
même	ADV	même
du	PRP:det	du
corps	NOM	corps
de	PRP	de
logis	NOM	logis
sud	ADJ	sud
situé	VER:pper	situer
entre	PRP	entre
la	DET:ART	le
cour	NOM	cour
d'	PRP	de
honneur	NOM	honneur
et	KON	et
la	DET:ART	le
rue	NOM	rue
du	PRP:det	du
pont-rouge	NOM	pont-rouge
:	PUN	:
chaufferie	NOM	chaufferie
,	PUN	,
salons	NOM	salon
de	PRP	de
réception	NOM	réception
du	PRP:det	du
rez-de-chaussée	NOM	rez-de-chaussée
(	PUN	(
800	NUM	@card@
m	VER:simp	m
2),	ADJ	2),
musée	NOM	musée
(	PUN	(
1.000	NUM	@card@
m	VER:simp	m
2),	ADJ	2),
escalier	NOM	escalier
d'	PRP	de
honneur	NOM	honneur
.	SENT	.
les	DET:ART	le
deux	NUM	deux
bâtiments	NOM	bâtiment
de	PRP	de
l'	DET:ART	le
aide	NOM	aide
sud	ADJ	sud
entre	PRP	entre
la	DET:ART	le
terrasse	NOM	terrasse
côté	NOM	côté
parc	NOM	parc
et	KON	et
la	DET:ART	le
place	NOM	place
stanislas	NOM	stanislas
ont	VER:pres	avoir
également	ADV	également
été	VER:pper	être
détruits	VER:pper	détruire
:	PUN	:
locaux	NOM	local
techniques	ADJ	technique
,	PUN	,
chaufferie	NOM	chaufferie
et	KON	et
cuisines	NOM	cuisine
du	PRP:det	du
mess	NOM	mess
en	PRP	en
sous-sol	NOM	sous-sol
,	PUN	,
appartements	NOM	appartement
princiers	ADJ	princier
(	PUN	(
2.000	NUM	@card@
m	NOM	m
2	NUM	@card@
environ	NOM	environ
)	PUN	)
au	PRP:det	au
rez-de-chaussée	NOM	rez-de-chaussée
et	KON	et
à	PRP	à
l'	DET:ART	le
étage	NOM	étage
,	PUN	,
grand	ADJ	grand
escalier	NOM	escalier
.	SENT	.
les	DET:ART	le
charpentes	NOM	charpente
se	PRO:PER	se
sont	VER:pres	être
effondrées	VER:pper	effondrer
jusqu'au	NOM	jusqu'au
rez-de-chaussée	NOM	rez-de-chaussée
,	PUN	,
entraînant	VER:ppre	entraîner
avec	PRP	avec
elles	PRO:PER	elle
la	DET:ART	le
quasi	ADV	quasi
totalité	NOM	totalité
des	PRP:det	du
planchers	NOM	plancher
de	PRP	de
l'	DET:ART	le
étage	NOM	étage
.	SENT	.
certaines	PRO:IND	certain
des	PRP:det	du
boiseries	NOM	boiserie
du	PRP:det	du
rez-de-chaussée	NOM	rez-de-chaussée
sont	VER:pres	être
encore	ADV	encore
en	PRP	en
place	NOM	place
,	PUN	,
l'	DET:ART	le
ensemble	NOM	ensemble
des	PRP:det	du
éléments	NOM	élément
subsistants	ADJ	subsistant
ayant	VER:ppre	avoir
subi	VER:pper	subir
le	DET:ART	le
ruissellement	NOM	ruissellement
des	PRP:det	du
eaux	NOM	eau
d'	PRP	de
extinction	NOM	extinction
de	PRP	de
l'	DET:ART	le
incendie	NOM	incendie
.	SENT	.
une	DET:ART	un
grande	ADJ	grand
partie	NOM	partie
des	PRP:det	du
décors	NOM	décor
aurait	VER:cond	avoir
été	VER:pper	être
épargnée	VER:pper	épargner
.	SENT	.
