aujourd'hui	ADV	aujourd'hui
,	PUN	,
les	DET:ART	le
seniors	NOM	senior
b	VER:futu	b
du	PRP:det	du
centre	NOM	centre
sportif	ADJ	sportif
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
ouillons	VER:pres	ouiller
de	PRP	de
vignot	NOM	vignot
,	PUN	,
accueillent	VER:pres	accueillir
etain	ADJ	etain
b	NOM	b
,	PUN	,
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
pour	PRP	pour
le	DET:ART	le
compte	NOM	compte
du	PRP:det	du
championnat	NOM	championnat
meuse	ADJ	meuse
promolor	NOM	promolor
,	PUN	,
vestiaires	NOM	vestiaire
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
