c'	PRO:DEM	ce
est	VER:pres	être
avec	PRP	avec
joie	NOM	joie
que	PRO:REL	que
nous	PRO:PER	nous
avons	VER:pres	avoir
appris	VER:pper	apprendre
la	DET:ART	le
naissance	NOM	naissance
d'	PRP	de
elisa	NOM	elisa
.	SENT	.
elisa	ADJ	elisa
est	VER:pres	être
née	VER:pper	naître
le	DET:ART	le
31	NUM	@card@
décembre	NOM	décembre
à	PRP	à
la	DET:ART	le
clinique	NOM	clinique
arc-en-ciel	ADJ	arc-en-ciel
,	PUN	,
à	PRP	à
epinal	NOM	epinal
.	SENT	.
elle	PRO:PER	elle
est	VER:pres	être
le	DET:ART	le
premier	NUM	premier
enfant	NOM	enfant
au	PRP:det	au
foyer	NOM	foyer
d'	PRP	de
armelle	NOM	armelle
,	PUN	,
serveuse	NOM	serveur
chef	NOM	chef
de	PRP	de
rang	NOM	rang
,	PUN	,
et	KON	et
de	PRP	de
lionel	NOM	lionel
caldefie	NOM	caldefie
,	PUN	,
cuisinier	NOM	cuisinier
,	PUN	,
tous	PRO:IND	tout
deux	NUM	deux
bien	NOM	bien
connus	VER:pper	connaître
dans	PRP	dans
notre	DET:POS	notre
commune	NOM	commune
.	SENT	.
elisa	ADJ	elisa
est	VER:pres	être
le	DET:ART	le
dernier	ADJ	dernier
enfant	NOM	enfant
de	PRP	de
l'	DET:ART	le
année	NOM	année
2002	NUM	@card@
pour	PRP	pour
la	DET:ART	le
cité	NOM	cité
thermale	ADJ	thermal
.	SENT	.
elisa	ADJ	elisa
fait	NOM	fait
la	DET:ART	le
plus	ADV	plus
grande	ADJ	grand
joie	NOM	joie
de	PRP	de
ses	DET:POS	son
grands-parents	NOM	grands-parents
,	PUN	,
odile	NOM	odile
lutin	ADJ	lutin
domiciliée	VER:pper	domicilier
à	PRP	à
bains-les-bains	NOM	bains-les-bains
,	PUN	,
nicole	ADJ	nicole
et	KON	et
gaby	ADJ	gaby
caldefie	NOM	caldefie
domiciliés	VER:pper	domicilier
au	PRP:det	au
tholy	NOM	tholy
dans	PRP	dans
les	DET:ART	le
hautes-vosges	NOM	hautes-vosges
.	SENT	.
première	NUM	premier
petite-fille	NOM	petite-fille
des	PRP:det	du
deux	NUM	deux
familles	NOM	famille
,	PUN	,
elisa	ADJ	elisa
est	VER:pres	être
aussi	ADV	aussi
la	DET:ART	le
première	NUM	premier
arrière	ADJ	arrière
petite-fille	NOM	petite-fille
.	SENT	.
nos	DET:POS	notre
félicitations	NOM	félicitation
aux	PRP:det	au
parents	NOM	parent|parents
.	SENT	.
