hier	ADV	hier
après-midi	NOM	après-midi
,	PUN	,
corinne	ADJ	corinne
vasene	NOM	vasene
,	PUN	,
adjointe	VER:pper	adjoindre
,	PUN	,
et	KON	et
jean-pierre	NOM	jean-pierre
chevènement	NOM	chevènement
,	PUN	,
maire	NOM	maire
,	PUN	,
ont	VER:pres	avoir
célébré	VER:pper	célébrer
le	DET:ART	le
mariage	NOM	mariage
de	PRP	de
:	PUN	:
david	NOM	david
chataigner	NOM	chataigner
,	PUN	,
24	NUM	@card@
ans	NOM	an
,	PUN	,
responsable	ADJ	responsable
technique	NOM	technique
,	PUN	,
et	KON	et
laure	VER:pres	laurer
lambrun	NOM	lambrun
,	PUN	,
33	NUM	@card@
ans	NOM	an
,	PUN	,
étudiante	ADJ	étudiant
,	PUN	,
tous	PRO:IND	tout
deux	NUM	deux
domiciliés	VER:pper	domicilier
rue	NOM	rue
saint-privat	NOM	saint-privat
.	SENT	.
daoui	ADJ	daoui
benmenacer	NOM	benmenacer
,	PUN	,
28	NUM	@card@
ans	NOM	an
,	PUN	,
cariste	NOM	cariste
,	PUN	,
et	KON	et
nouria	VER:simp	nouria
cherigui	VER:pper	cherigui
,	PUN	,
27	NUM	@card@
ans	NOM	an
,	PUN	,
étudiante	ADJ	étudiant
,	PUN	,
domiciliés	VER:pper	domicilier
rue	NOM	rue
de	PRP	de
madrid	NAM	Madrid
.	SENT	.
franck	NOM	franck
dubois	NOM	dubois
,	PUN	,
23	NUM	@card@
ans	NOM	an
,	PUN	,
caporal	NOM	caporal
,	PUN	,
et	KON	et
deborah	NOM	deborah
daniel	ADJ	daniel
,	PUN	,
21	NUM	@card@
ans	NOM	an
,	PUN	,
assistante	NOM	assistant
maternelle	ADJ	maternel
,	PUN	,
domiciliés	VER:pper	domicilier
boulevard	NOM	boulevard
renaud	NOM	renaud
de	PRP	de
bourgogne	NOM	bourgogne
.	SENT	.
nos	DET:POS	notre
félicitations	NOM	félicitation
.	SENT	.
