c'	PRO:DEM	ce
est	VER:pres	être
chez	PRP	chez
sa	DET:POS	son
fille	NOM	fille
,	PUN	,
après	PRP	après
une	DET:ART	un
courte	ADJ	court
hospitalisation	NOM	hospitalisation
à	PRP	à
epinal	NOM	epinal
,	PUN	,
que	KON	que
mme	VER:subi	mme
bigel	ADJ	bigel
,	PUN	,
née	VER:pper	naître
odette	NOM	odette
l'	DET:ART	le
hommé	ADJ	hommé
,	PUN	,
est	VER:pres	être
décédée	VER:pper	décéder
.	SENT	.
née	VER:pper	naître
le	DET:ART	le
17	NUM	@card@
juillet	NOM	juillet
1919	NUM	@card@
à	PRP	à
blainville	NOM	blainville
,	PUN	,
elle	PRO:PER	elle
s'	PRO:PER	se
est	VER:pres	être
unie	VER:pper	unir
à	PRP	à
hubert	NOM	hubert
defrance	NOM	defrance
,	PUN	,
garde-forestier	NOM	garde-forestier
,	PUN	,
le	DET:ART	le
16	NUM	@card@
avril	NOM	avril
1938	NUM	@card@
en	PRP	en
juillet	NOM	juillet
1945	NUM	@card@
le	DET:ART	le
couple	NOM	couple
s'	PRO:PER	se
établit	VER:pres	établir
dans	PRP	dans
la	DET:ART	le
maison	NOM	maison
forestière	ADJ	forestier
des	PRP:det	du
evrieux	NOM	evrieux
,	PUN	,
commune	NOM	commune
d'	PRP	de
emberménil	NOM	emberménil
,	PUN	,
mais	KON	mais
plus	ADV	plus
proche	ADJ	proche
de	PRP	de
xures	NOM	xures
.	SENT	.
sans	PRP	sans
grand	ADJ	grand
confort	NOM	confort
,	PUN	,
elle	PRO:PER	elle
s'	PRO:PER	se
est	VER:pres	être
employée	VER:pper	employer
à	PRP	à
élever	VER:infi	élever
ses	DET:POS	son
cinq	NUM	cinq
enfants	NOM	enfant
:	PUN	:
michel	NOM	michel
,	PUN	,
eliane	ADJ	eliane
épouse	NOM	épouse
nelc	NOM	nelc
,	PUN	,
monique	ADJ	monique
,	PUN	,
décédée	VER:pper	décéder
le	DET:ART	le
4	NUM	@card@
mai	NOM	mai
2000	NUM	@card@
épouse	NOM	épouse
thiriat	NOM	thiriat
,	PUN	,
jacqueline	NOM	jacqueline
,	PUN	,
veuve	ADJ	veuf|veuve
d'	PRP	de
alain	NOM	alain
absalon	NOM	absalon
,	PUN	,
et	KON	et
rené	VER:pper	renaître
époux	NOM	époux
de	PRP	de
christiane	NOM	christiane
aoura	VER:simp	aoura
.	SENT	.
quatorze	NUM	quatorze
petits-enfants	NOM	petits-enfants
et	KON	et
onze	NUM	onze
arrière-petits-enfants	NOM	arrière-petits-enfants
sont	VER:pres	être
venus	VER:pper	venir
agrandir	VER:infi	agrandir
la	DET:ART	le
famille	NOM	famille
.	SENT	.
ayant	VER:ppre	avoir
perdu	VER:pper	perdre
son	DET:POS	son
mari	NOM	mari
le	DET:ART	le
23	NUM	@card@
octobre	NOM	octobre
1962	NUM	@card@
elle	PRO:PER	elle
s'	PRO:PER	se
est	VER:pres	être
remariée	VER:pper	remarier
à	PRP	à
raymond	NOM	raymond
bigel	ADJ	bigel
.	SENT	.
bien	ADV	bien
que	KON	que
très	ADV	très
occupée	VER:pper	occuper
par	PRP	par
sa	DET:POS	son
grande	ADJ	grand
famille	NOM	famille
,	PUN	,
elle	PRO:PER	elle
a	VER:pres	avoir
pris	VER:pper	prendre
le	DET:ART	le
temps	NOM	temps
de	PRP	de
lire	VER:infi	lire
,	PUN	,
tricoter	VER:infi	tricoter
,	PUN	,
broder	VER:infi	broder
tout	ADV	tout
en	PRP	en
élevant	VER:ppre	élever
le	DET:ART	le
petit	ADJ	petit
emmanuel	ADJ	emmanuel
gance	NOM	gance
.	SENT	.
ses	DET:POS	son
obsèques	NOM	obsèques
auront	VER:futu	avoir
lieu	NOM	lieu
jeudi	NOM	jeudi
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
en	PRP	en
l'	DET:ART	le
église	NOM	église
de	PRP	de
xures	NOM	xures
.	SENT	.
nos	DET:POS	notre
condoléances	NOM	condoléance
.	SENT	.
