au	PRP:det	au
cours	NOM	cour|cours
de	PRP	de
l'	DET:ART	le
année	NOM	année
2002	NUM	@card@
la	DET:ART	le
commune	NOM	commune
a	VER:pres	avoir
enregistré	VER:pper	enregistrer
8	NUM	@card@
naissances	NOM	naissance
,	PUN	,
4	NUM	@card@
mariages	NOM	mariage
,	PUN	,
1	NUM	@card@
décès	NOM	décès
et	KON	et
2	NUM	@card@
transcription	NOM	transcription
de	PRP	de
décès	NOM	décès
,	PUN	,
contre	PRP	contre
9	NUM	@card@
naissances	NOM	naissance
,	PUN	,
1	NUM	@card@
mariage	NOM	mariage
,	PUN	,
2	NUM	@card@
transcription	NOM	transcription
de	PRP	de
décès	NOM	décès
et	KON	et
1	NUM	@card@
décès	NOM	décès
en	PRP	en
2001	NUM	@card@
