hier	ADV	hier
après-midi	NOM	après-midi
,	PUN	,
le	DET:ART	le
conseiller	NOM	conseiller
municipal	ADJ	municipal
roland	ADJ	roland
mazimann	NAM	mazimann
a	VER:pres	avoir
célébré	VER:pper	célébrer
le	DET:ART	le
mariage	NOM	mariage
de	PRP	de
son	DET:POS	son
fils	NOM	fil|fils
ludovic	ADJ	ludovic
,	PUN	,
professeur	NOM	professeur
d'	PRP	de
éducation	NOM	éducation
physique	ADJ	physique
et	KON	et
sportive	ADJ	sportif
,	PUN	,
avec	PRP	avec
marie-laure	NOM	marie-laure
géant	NOM	géant
,	PUN	,
employée	NOM	employé
commerciale	ADJ	commercial
et	KON	et
administrative	ADJ	administratif
.	SENT	.
tous	PRO:IND	tout
nos	DET:POS	notre
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
bonheur	NOM	bonheur
aux	PRP:det	au
jeunes	ADJ	jeune
époux	NOM	époux
.	SENT	.
