aujourd'hui	ADV	aujourd'hui
:	PUN	:
charcuterie	NOM	charcuterie
,	PUN	,
sauté	VER:pper	sauter
de	PRP	de
dindonneau	NOM	dindonneau
,	PUN	,
choux	NOM	chou
de	PRP	de
bruxelles	ADJ	bruxelles
pommes	NOM	pomme
de	PRP	de
terre	NOM	terre
,	PUN	,
saint-paulin	NOM	saint-paulin
,	PUN	,
petit	ADJ	petit
suisse	ADJ	suisse
arôme	NOM	arôme
.	SENT	.
mardi	NOM	mardi
:	PUN	:
salade	NOM	salade
endives	NOM	endive
épaule	NOM	épaule
,	PUN	,
spaghettis	NOM	spaghetti
bolognaise	ADJ	bolognais
,	PUN	,
gouda	NOM	gouda
,	PUN	,
petit	ADJ	petit
pot	NOM	pot
de	PRP	de
glace	NOM	glace
.	SENT	.
jeudi	NOM	jeudi
:	PUN	:
carottes	NOM	carotte
râpées	ADJ	râpé
,	PUN	,
rôti	VER:pper	rôtir
de	PRP	de
porc	NOM	porc
,	PUN	,
riz	NOM	riz
pilaf	NOM	pilaf
,	PUN	,
coulommiers	NOM	coulommiers
,	PUN	,
crème	VER:pres	crémer
dessert	NOM	dessert
.	SENT	.
vendredi	NOM	vendredi
:	PUN	:
	NOM	
uf	ADJ	uf
à	PRP	à
la	DET:ART	le
russe	ADJ	russe
,	PUN	,
nuggets	NOM	nuggets
de	PRP	de
colin	NOM	colin
,	PUN	,
haricots	NOM	haricot
beurre	NOM	beurre
,	PUN	,
fondu	ADJ	fondu
président	NOM	président
,	PUN	,
fruit	NOM	fruit
.	SENT	.
