m.	ABR	m.
pierre	NOM	pierre
guillemont	VER:futu	guillemont
70140	NUM	@card@
malans	NOM	malans
.	SENT	.
il	PRO:PER	il
faut	VER:pres	falloir
supprimer	VER:infi	supprimer
le	DET:ART	le
mot	NOM	mot
egalité	NOM	egalité
du	PRP:det	du
fronton	NOM	fronton
de	PRP	de
la	DET:ART	le
république	NOM	république
.	SENT	.
lors	ADV	lors
des	PRP:det	du
grèves	NOM	grève
des	PRP:det	du
routiers	NOM	routier
,	PUN	,
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
eu	VER:pper	avoir
deux	NUM	deux
retraits	NOM	retrait
de	PRP	de
permis	NOM	permis
de	PRP	de
conduire	VER:infi	conduire
des	PRP:det	du
grévistes	NOM	gréviste
sur	PRP	sur
les	DET:ART	le
barrages	NOM	barrage
pour	PRP	pour
entrave	NOM	entrave
à	PRP	à
la	DET:ART	le
circulation	NOM	circulation
.	SENT	.
le	DET:ART	le
lendemain	NOM	lendemain
,	PUN	,
les	DET:ART	le
contrôleurs	NOM	contrôleur
aériens	ADJ	aérien
bloquaient	VER:impf	bloquer
le	DET:ART	le
trafic	NOM	trafic
du	PRP:det	du
ciel	NOM	ciel
«	PUN:cit	«
pas	ADV	pas
de	PRP	de
retrait	NOM	retrait
».	VER:subi	».
les	DET:ART	le
ratp	NOM	ratp
bloquent	VER:pres	bloquer
les	DET:ART	le
gens	NOM	gens
sur	PRP	sur
les	DET:ART	le
quais	NOM	quai
«	PUN:cit	«
pas	ADV	pas
de	PRP	de
retrait	ADJ	retrait
»,	NOM	»,
les	DET:ART	le
chauffeurs	NOM	chauffeur
de	PRP	de
bus	NOM	bus
bloquent	VER:pres	bloquer
les	DET:ART	le
dépôts	NOM	dépôt
,	PUN	,
laissant	VER:ppre	laisser
les	DET:ART	le
gens	NOM	gens
sur	PRP	sur
les	DET:ART	le
trottoirs	NOM	trottoir
«	PUN:cit	«
pas	ADV	pas
de	PRP	de
retrait	NOM	retrait
»	PUN:cit	»
avec	PRP	avec
entrave	NOM	entrave
à	PRP	à
la	DET:ART	le
liberté	NOM	liberté
.	SENT	.
où	PRO:REL	où
est	VER:pres	être
l'	DET:ART	le
égalité	NOM	égalité
?	SENT	?
les	DET:ART	le
hommes	NOM	homme
politiques	ADJ	politique
circulent	VER:pres	circuler
dans	PRP	dans
les	DET:ART	le
couloirs	NOM	couloir
de	PRP	de
bus	NOM	bus
en	PRP	en
téléphonant	VER:ppre	téléphoner
et	KON	et
ce	PRO:DEM	ce
sont	VER:pres	être
eux	PRO:PER	eux
qui	PRO:REL	qui
ont	VER:pres	avoir
voté	VER:pper	voter
les	DET:ART	le
lois	NOM	loi
pour	PRP	pour
les	DET:ART	le
autres	ADJ	autre
,	PUN	,
pas	ADV	pas
pour	PRP	pour
eux	PRO:PER	eux
.	SENT	.
l'	DET:ART	le
ancien	ADJ	ancien
maire	NOM	maire
de	PRP	de
paris	NOM	pari
,	PUN	,
lui	PRO:PER	lui
,	PUN	,
refuse	VER:pres	refuser
de	PRP	de
répondre	VER:infi	répondre
à	PRP	à
la	DET:ART	le
justice	NOM	justice
.	SENT	.
egalité	NOM	egalité
?	SENT	?
la	DET:ART	le
dilapidation	NOM	dilapidation
et	KON	et
le	DET:ART	le
vol	NOM	vol
de	PRP	de
deniers	NOM	denier
publics	ADJ	public
sont-ils	NOM	sont-ils
sanctionnés	VER:pper	sanctionner
et	KON	et
les	DET:ART	le
auteurs	NOM	auteur
remboursent-ils	ADJ	remboursent-ils
les	PRO:PER	la|le
sommes	VER:pres	sommer|être
soustraites	VER:pper	soustraire
?	SENT	?
egalité	NOM	egalité
?	SENT	?
et	KON	et
l'	PRO:PER	la|le
on	PRO:PER	on
pourrait	VER:cond	pouvoir
en	PRP	en
rajouter	VER:infi	rajouter
.	SENT	.
