elisa	VER:simp	elisa
callais	VER:impf	caller
est	VER:pres	être
une	DET:ART	un
adorable	ADJ	adorable
petite	ADJ	petit
fille	NOM	fille
qui	PRO:REL	qui
est	VER:pres	être
née	VER:pper	naître
le	DET:ART	le
29	NUM	@card@
janvier	NOM	janvier
à	PRP	à
la	DET:ART	le
polyclinique	NOM	polyclinique
majorelle	ADJ	majorelle
,	PUN	,
le	DET:ART	le
jour	NOM	jour
de	PRP	de
sa	DET:POS	son
naissance	NOM	naissance
elle	PRO:PER	elle
mesurait	VER:impf	mesurer
50	NUM	@card@
cm	NOM	cm
et	KON	et
pesait	VER:impf	peser
3,770	NUM	@card@
kg	ABR	kg
.	SENT	.
elle	PRO:PER	elle
a	VER:pres	avoir
un	DET:ART	un
grand-frère	NOM	grand-frère
de	PRP	de
3	NUM	@card@
ans	NOM	an
,	PUN	,
maxime	NOM	maxime
,	PUN	,
son	DET:POS	son
papa	NOM	papa
hervé	VER:pper	hervé
et	KON	et
sa	DET:POS	son
maman	NOM	maman
isabelle	ADJ	isabelle
sont	VER:pres	être
ravis	VER:pper	ravir
.	SENT	.
tous	PRO:IND	tout
demeurent	VER:pres	demeurer
à	PRP	à
nancy	NOM	nancy
,	PUN	,
rue	NOM	rue
du	PRP:det	du
général-custine	NOM	général-custine
.	SENT	.
tous	PRO:IND	tout
nos	DET:POS	notre
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
bonheur	NOM	bonheur
.	SENT	.
