«	PUN:cit	«
c'	PRO:DEM	ce
était	VER:impf	être
une	DET:ART	un
fumée	NOM	fumée
noire	ADJ	noir
,	PUN	,
épaisse	ADJ	épais
et	KON	et
ça	PRO:DEM	cela
sentait	VER:impf	sentir
comme	ADV	comme
une	DET:ART	un
odeur	NOM	odeur
de	PRP	de
soufre	NOM	soufre
»,	ADJ	»,
témoigne	VER:pres	témoigner
une	DET:ART	un
dame	NOM	dame
de	PRP	de
service	NOM	service
de	PRP	de
la	DET:ART	le
cité	NOM	cité
des	PRP:det	du
408	NUM	@card@
où	PRO:REL	où
,	PUN	,
hier	ADV	hier
matin	NOM	matin
,	PUN	,
les	DET:ART	le
élèves	NOM	élève
de	PRP	de
l'	DET:ART	le
école	NOM	école
ne	ADV	ne
sont	VER:pres	être
pas	ADV	pas
sortis	VER:pper	sortir
dans	PRP	dans
la	DET:ART	le
cour	NOM	cour
de	PRP	de
récréation	NOM	récréation
.	SENT	.
motif	NOM	motif
:	PUN	:
une	DET:ART	un
épaisse	ADJ	épais
fumée	NOM	fumée
noire	ADJ	noir
et	KON	et
nauséabonde	ADJ	nauséabond
s'	PRO:PER	se
échappait	VER:impf	échapper
des	PRP:det	du
cheminées	NOM	cheminée
de	PRP	de
la	DET:ART	le
barre	NOM	barre
du	PRP:det	du
29	NUM	@card@
rue	NOM	rue
brûlard	ADJ	brûlard
,	PUN	,
incommodant	VER:ppre	incommoder
les	DET:ART	le
riverains	NOM	riverain
.	SENT	.
alertés	VER:pper	alerter
,	PUN	,
les	DET:ART	le
services	NOM	service
techniques	ADJ	technique
de	PRP	de
l'	DET:ART	le
office	NOM	office
municipal	ADJ	municipal
hlm	NOM	hlm
sont	VER:pres	être
immédiatement	ADV	immédiatement
intervenus	VER:pper	intervenir
pour	PRP	pour
mettre	VER:infi	mettre
un	DET:ART	un
terme	NOM	terme
au	PRP:det	au
désagrément	NOM	désagrément
.	SENT	.
un	DET:ART	un
dérèglement	NOM	dérèglement
de	PRP	de
la	DET:ART	le
chaudière	NOM	chaudière
était	VER:impf	être
à	PRP	à
l'	DET:ART	le
origine	NOM	origine
de	PRP	de
la	DET:ART	le
situation	NOM	situation
.	SENT	.
l'	DET:ART	le
émultionneur	NOM	émultionneur
chargé	VER:pper	charger
d'	PRP	de
opérer	VER:infi	opérer
le	DET:ART	le
mélange	NOM	mélange
d'	PRP	de
eau	NOM	eau
et	KON	et
de	PRP	de
fuel	NOM	fuel
étant	VER:ppre	être
tombé	VER:pper	tomber
en	PRP	en
panne	NOM	panne
,	PUN	,
la	DET:ART	le
chaudière	NOM	chaudière
n'	ADV	ne
a	VER:pres	avoir
,	PUN	,
pendant	PRP	pendant
quelques	PRO:IND	quelque
dizaines	NOM	dizaine
de	PRP	de
minutes	NOM	minute
,	PUN	,
brûlé	NOM	brûlé
que	KON	que
du	PRP:det	du
fuel	NOM	fuel
,	PUN	,
occasionnant	VER:ppre	occasionner
la	DET:ART	le
fumée	NOM	fumée
noire	ADJ	noir
et	KON	et
nauséabonde	ADJ	nauséabond
observée	VER:pper	observer
.	SENT	.
les	DET:ART	le
services	NOM	service
de	PRP	de
l'	DET:ART	le
ophlm	NOM	ophlm
assurent	VER:pres	assurer
que	KON	que
ce	PRO:DEM	ce
type	NOM	type
de	PRP	de
dysfonctionnement	NOM	dysfonctionnement
ne	ADV	ne
devrait	VER:cond	devoir
plus	ADV	plus
se	PRO:PER	se
produire	VER:infi	produire
à	PRP	à
l'	DET:ART	le
avenir	NOM	avenir
,	PUN	,
car	KON	car
la	DET:ART	le
chaudière	NOM	chaudière
au	PRP:det	au
fuel	NOM	fuel
en	PRP	en
question	NOM	question
va	VER:pres	aller
être	VER:infi	être
remplacée	VER:pper	remplacer
dans	PRP	dans
le	DET:ART	le
courant	NOM	courant
de	PRP	de
l'	DET:ART	le
été	NOM	été
par	PRP	par
une	DET:ART	un
chaudière	NOM	chaudière
au	PRP:det	au
gaz	NOM	gaz
.	SENT	.
