aujourd'hui	ADV	aujourd'hui
et	KON	et
mardi	NOM	mardi
:	PUN	:
de	PRP	de
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
22	NUM	@card@
h	ABR	heure
au	PRP:det	au
41	NUM	@card@
de	PRP	de
la	DET:ART	le
rue	NOM	rue
mathieu	NOM	mathieu
,	PUN	,
stage	NOM	stage
de	PRP	de
secourisme	NOM	secourisme
organisé	VER:pper	organiser
par	PRP	par
la	DET:ART	le
croix-rouge	NOM	croix-rouge
.	SENT	.
mardi	NOM	mardi
:	PUN	:
assemblée	NOM	assemblée
générale	ADJ	général
de	PRP	de
l'	DET:ART	le
association	NOM	association
des	PRP:det	du
retraités	ADJ	retraité
solvay	NOM	solvay
suivie	VER:pper	suivre
d'	PRP	de
un	DET:ART	un
repas	NOM	repas
dansant	VER:ppre	danser
à	PRP	à
la	DET:ART	le
salle	NOM	salle
polyvalente	ADJ	polyvalent
.	SENT	.
jeudi	NOM	jeudi
matin	NOM	matin
:	PUN	:
cross	NOM	cross
régional	ADJ	régional
de	PRP	de
la	DET:ART	le
police	NOM	police
au	PRP:det	au
complexe	ADJ	complexe
levassor	NOM	levassor
et	KON	et
sur	PRP	sur
le	DET:ART	le
parcours	NOM	parcours
de	PRP	de
santé	NOM	santé
.	SENT	.
samedi	NOM	samedi
et	KON	et
dimanche	NOM	dimanche
:	PUN	:
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
portes	NOM	porte
ouvertes	VER:pper	ouvrir
à	PRP	à
la	DET:ART	le
maison	NOM	maison
des	PRP:det	du
jeunes	NOM	jeune
avec	PRP	avec
présentation	NOM	présentation
de	PRP	de
bandes	NOM	bande
dessinées	VER:pper	dessiner
en	PRP	en
rapport	NOM	rapport
avec	PRP	avec
le	DET:ART	le
festival	NOM	festival
de	PRP	de
la	DET:ART	le
bd	NOM	bd
d'	PRP	de
angoulême	ADJ	angoulême
.	SENT	.
en	PRP	en
soirée	NOM	soirée
,	PUN	,
assemblée	NOM	assemblée
générale	ADJ	général
de	PRP	de
l'	DET:ART	le
association	NOM	association
des	PRP:det	du
bateliers	NOM	batelier
lorrains	ADJ	lorrain
à	PRP	à
l'	DET:ART	le
annexe	NOM	annexe
2	NUM	@card@
dimanche	NOM	dimanche
à	PRP	à
midi	NOM	midi
:	PUN	:
repas	NOM	repas
dansant	VER:ppre	danser
de	PRP	de
l'	DET:ART	le
amicale	ADJ	amical
des	PRP:det	du
anciens	NOM	ancien
marins	ADJ	marin
à	PRP	à
la	DET:ART	le
salle	NOM	salle
polyvalente	ADJ	polyvalent
.	SENT	.
