metz	ABR	metz
.	SENT	.
_	NOM	_
l'	DET:ART	le
usine	NOM	usine
daewoo	ADJ	daewoo
à	PRP	à
fameck	NAM	fameck
est	VER:pres	être
placée	VER:pper	placer
sous	PRP	sous
haute	ADJ	haut
surveillance	NOM	surveillance
à	PRP	à
la	DET:ART	le
veille	NOM	veille
de	PRP	de
la	DET:ART	le
requête	NOM	requête
en	PRP	en
dépôt	NOM	dépôt
de	PRP	de
bilan	NOM	bilan
qui	PRO:REL	qui
sera	VER:futu	être
déposée	VER:pper	déposer
à	PRP	à
la	DET:ART	le
chambre	NOM	chambre
sociale	ADJ	social
du	PRP:det	du
tgi	NOM	tgi
de	PRP	de
thionville	NOM	thionville
.	SENT	.
mercredi	NOM	mercredi
,	PUN	,
cinq	NUM	cinq
camions	NOM	camion
chargés	VER:pper	charger
de	PRP	de
moules	NOM	moule
de	PRP	de
téléviseurs	NOM	téléviseur
ont	VER:pres	avoir
été	VER:pper	être
intercepté	VER:pper	intercepter
à	PRP	à
yutz	NAM	yutz
.	SENT	.
d'	PRP	de
un	DET:ART	un
montant	NOM	montant
de	PRP	de
700.000	NUM	@card@
,	NOM	,
la	DET:ART	le
cargaison	NOM	cargaison
devait	VER:impf	devoir
être	VER:infi	être
transportée	VER:pper	transporter
en	PRP	en
pologne	NOM	pologne
où	PRO:REL	où
l'	DET:ART	le
entreprise	NOM	entreprise
coréenne	ADJ	coréen
doit	VER:pres	devoir
délocaliser	VER:infi	délocaliser
sa	DET:POS	son
production	NOM	production
.	SENT	.
les	DET:ART	le
poids	NOM	poids
lourds	ADJ	lourd
ont	VER:pres	avoir
été	VER:pper	être
reconduits	VER:pper	reconduire
à	PRP	à
fameck	ADJ	fameck
et	KON	et
placés	VER:pper	placer
sous	PRP	sous
scellés	NOM	scellé
.	SENT	.
la	DET:ART	le
gendarmerie	NOM	gendarmerie
a	VER:pres	avoir
établi	VER:pper	établir
une	DET:ART	un
surveillance	NOM	surveillance
étroite	ADJ	étroit
.	SENT	.
soupçonnant	VER:ppre	soupçonner
un	DET:ART	un
détournement	NOM	détournement
d'	PRP	de
actifs	NOM	actif
,	PUN	,
le	DET:ART	le
procureur	NOM	procureur
de	PRP	de
la	DET:ART	le
république	NOM	république
à	PRP	à
thionville	NOM	thionville
a	VER:pres	avoir
ouvert	VER:pper	ouvrir
une	DET:ART	un
information	NOM	information
judiciaire	ADJ	judiciaire
pour	PRP	pour
«	PUN:cit	«
abus	NOM	abus
de	PRP	de
biens	NOM	bien
sociaux	ADJ	social
»	PUN:cit	»
à	PRP	à
l'	DET:ART	le
encontre	ADV	encontre
de	PRP	de
kwon	NOM	kwon
siok	ADJ	siok
im	VER:simp	im
le	DET:ART	le
pdg	NOM	pdg
.	SENT	.
ce	PRO:DEM	ce
dernier	ADJ	dernier
a	VER:pres	avoir
expliqué	VER:pper	expliquer
que	KON	que
la	DET:ART	le
marchandise	NOM	marchandise
avait	VER:impf	avoir
été	VER:pper	être
vendue	VER:pper	vendre
au	PRP:det	au
mois	NOM	moi|mois
de	PRP	de
mai	NOM	mai
et	KON	et
avait	VER:impf	avoir
permis	VER:pper	permettre
de	PRP	de
payer	VER:infi	payer|payer
les	DET:ART	le
salaires	NOM	salaire
.	SENT	.
la	DET:ART	le
situation	NOM	situation
de	PRP	de
la	DET:ART	le
société	NOM	société
devrait	VER:cond	devoir
être	VER:infi	être
examinée	VER:pper	examiner
le	DET:ART	le
23	NUM	@card@
janvier	NOM	janvier
par	PRP	par
la	DET:ART	le
chambre	NOM	chambre
sociale	ADJ	social
du	PRP:det	du
tgi	NOM	tgi
de	PRP	de
thionville	NOM	thionville
.	SENT	.
