a	VER:pres	avoir
l'	DET:ART	le
occasion	NOM	occasion
de	PRP	de
la	DET:ART	le
nouvelle	ADJ	nouveau
année	NOM	année
,	PUN	,
le	DET:ART	le
maire	NOM	maire
et	KON	et
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
accueilleront	VER:futu	accueillir
les	DET:ART	le
habitants	NOM	habitant
,	PUN	,
le	DET:ART	le
samedi	NOM	samedi
18	NUM	@card@
janvier	NOM	janvier
,	PUN	,
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
d'	PRP	de
agincourt	NOM	agincourt
pour	PRP	pour
un	DET:ART	un
échange	NOM	échange
de	PRP	de
v	NOM	v
	ADJ	
ux	ADJ	ux
.	SENT	.
