il	PRO:PER	il
était	VER:impf	être
environ	PRP	environ
19	NUM	@card@
h	ABR	heure
,	PUN	,
hier	ADV	hier
,	PUN	,
lorsqu'une	NOM	lorsqu'une
riveraine	ADJ	riverain
de	PRP	de
la	DET:ART	le
grand	ADJ	grand
rue	NOM	rue
a	VER:pres	avoir
remarqué	VER:pper	remarquer
que	KON	que
l'	DET:ART	le
habitation	NOM	habitation
d'	PRP	de
eric	ADJ	eric
barget	NOM	barget
et	KON	et
maryline	NOM	maryline
salomon	NOM	salomon
était	VER:impf	être
la	DET:ART	le
proie	NOM	proie
des	PRP:det	du
flammes	NOM	flamme
.	SENT	.
l'	DET:ART	le
origine	NOM	origine
du	PRP:det	du
sinistre	NOM	sinistre
demeurait	VER:impf	demeurer
encore	ADV	encore
inconnue	ADJ	inconnu
.	SENT	.
malgré	PRP	malgré
la	DET:ART	le
rapidité	NOM	rapidité
d'	PRP	de
intervention	NOM	intervention
des	PRP:det	du
sapeurs-pompiers	NOM	sapeurs-pompiers
,	PUN	,
la	DET:ART	le
maison	NOM	maison
du	PRP:det	du
couple	NOM	couple
a	VER:pres	avoir
été	VER:pper	être
entièrement	ADV	entièrement
détruite	VER:pper	détruire
.	SENT	.
heureusement	ADV	heureusement
,	PUN	,
aucun	PRO:IND	aucun
des	PRP:det	du
habitants	NOM	habitant
(	PUN	(
marin	ADJ	marin
,	PUN	,
7	NUM	@card@
ans	NOM	an
,	PUN	,
et	KON	et
gaëtan	NOM	gaëtan
,	PUN	,
19	NUM	@card@
mois	NOM	moi|mois
,	PUN	,
complètent	VER:pres	compléter
la	DET:ART	le
famille	NOM	famille
)	PUN	)
n'	ADV	ne
était	VER:impf	être
présent	ADJ	présent
au	PRP:det	au
moment	NOM	moment
des	PRP:det	du
faits	NOM	fait
.	SENT	.
les	DET:ART	le
occupants	NOM	occupant
seront	VER:futu	être
relogés	VER:pper	reloger
chez	PRP	chez
des	PRP:det	du
proches	NOM	proche
.	SENT	.
