hier	ADV	hier
,	PUN	,
vers	PRP	vers
14	NUM	@card@
h	ABR	heure
10	NUM	@card@
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
de	PRP	de
dieulouard	NOM	dieulouard
ont	VER:pres	avoir
éteint	VER:pper	éteindre
un	DET:ART	un
feu	NOM	feu
de	PRP	de
cave	NOM	cave
au	PRP:det	au
41	NUM	@card@
rue	NOM	rue
françois-sesmat	ADJ	françois-sesmat
.	SENT	.
abandonnée	VER:pper	abandonner
depuis	PRP	depuis
quelques	PRO:IND	quelque
années	NOM	année
,	PUN	,
la	DET:ART	le
maison	NOM	maison
a	VER:pres	avoir
subi	VER:pper	subir
quelques	PRO:IND	quelque
dommages	NOM	dommage
.	SENT	.
guy	ADJ	guy
pariset	NOM	pariset
,	PUN	,
adjoint	VER:pper	adjoindre
,	PUN	,
était	VER:impf	être
sur	PRP	sur
les	DET:ART	le
lieux	NOM	lieu
afin	KON	afin
de	PRP	de
mettre	VER:infi	mettre
en	PRP	en
place	NOM	place
un	DET:ART	un
dispositif	NOM	dispositif
de	PRP	de
sécurité	NOM	sécurité
,	PUN	,
avec	PRP	avec
les	DET:ART	le
gendarmes	NOM	gendarme
locaux	ADJ	local
.	SENT	.
