hier	ADV	hier
,	PUN	,
vers	PRP	vers
0	NUM	@card@
h	ABR	heure
15	NUM	@card@
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
du	PRP:det	du
centre	NOM	centre
de	PRP	de
secours	NOM	secours
sont	VER:pres	être
intervenus	VER:pper	intervenir
à	PRP	à
forcelles-sous-gugney	NOM	forcelles-sous-gugney
pour	PRP	pour
secourir	VER:infi	secourir
une	DET:ART	un
personne	NOM	personne
qui	PRO:REL	qui
a	VER:pres	avoir
dû	VER:pper	devoir
être	VER:infi	être
hospitalisée	VER:pper	hospitaliser
aux	PRP:det	au
urgences	NOM	urgence
de	PRP	de
saint-julien	NOM	saint-julien
.	SENT	.
