c'	PRO:DEM	ce
est	VER:pres	être
officiel	ADJ	officiel
.	SENT	.
a	VER:pres	avoir
l'	DET:ART	le
issue	NOM	issue
de	PRP	de
l'	DET:ART	le
assemblée	NOM	assemblée
générale	ADJ	général
re-constitutive	ADJ	re-constitutive
,	PUN	,
une	DET:ART	un
vingtaine	NOM	vingtaine
d'	PRP	de
associations	NOM	association
ont	VER:pres	avoir
adhéré	VER:pper	adhérer
à	PRP	à
l'	DET:ART	le
association	NOM	association
socio-culturelle	ADJ	socio-culturelle
nouvelle	ADJ	nouveau
formule	NOM	formule
,	PUN	,
à	PRP	à
savoir	VER:infi	savoir
:	PUN	:
les	DET:ART	le
amis	NOM	ami
de	PRP	de
l'	DET:ART	le
histoire	NOM	histoire
,	PUN	,
ape-peep	NOM	ape-peep
,	PUN	,
cos	NOM	cos
villers	NOM	villers
,	PUN	,
association	NOM	association
villaroise	ADJ	villaroise
du	PRP:det	du
placieux	NOM	placieux
,	PUN	,
clairlieu-animation	NOM	clairlieu-animation
,	PUN	,
amcf	NOM	amcf
,	PUN	,
association	NOM	association
familiale	ADJ	familial
,	PUN	,
ariv	NOM	ariv
,	PUN	,
fcpe	NOM	fcpe
,	PUN	,
fnaca	NOM	fnaca
,	PUN	,
atd	VER:pper	atd
1/	NUM	@card@
4	NUM	@card@
monde	NOM	monde
,	PUN	,
chante	VER:pres	chanter
la	DET:ART	le
vie	NOM	vie
,	PUN	,
groupe	NOM	groupe
villarois	ADJ	villarois
d'	PRP	de
accueil	NOM	accueil
pour	PRP	pour
l'	DET:ART	le
enfant	NOM	enfant
,	PUN	,
apei	VER:pper	apei
du	PRP:det	du
lycée	NOM	lycée
stanislas	NOM	stanislas
,	PUN	,
loisirs	NOM	loisir
et	KON	et
culture	NOM	culture
,	PUN	,
comité	NOM	comité
des	PRP:det	du
fêtes	NOM	fête
,	PUN	,
le	DET:ART	le
lucane	NOM	lucane
,	PUN	,
alpe	VER:pres	alper
collège	NOM	collège
chepfer	NOM	chepfer
,	PUN	,
agspe	NOM	agspe
du	PRP:det	du
groupe	NOM	groupe
scolaire	ADJ	scolaire
des	PRP:det	du
aiguillettes	NOM	aiguillette
,	PUN	,
souvenir	NOM	souvenir
français	ADJ	français
.	SENT	.
auxquelles	PRO:REL	auquel
il	PRO:PER	il
convient	VER:pres	convenir|convier
d'	PRP	de
ajouter	VER:infi	ajouter
dix	NUM	dix
personnes	NOM	personne
physiques	ADJ	physique
:	PUN	:
michel	NOM	michel
ernewein	NOM	ernewein
,	PUN	,
olivier	NOM	olivier
willer	NOM	willer
,	PUN	,
christine	ADJ	christine
paglia-fléchon	NOM	paglia-fléchon
,	PUN	,
daniel	ADJ	daniel
mougin	NOM	mougin
,	PUN	,
marie-odile	NOM	marie-odile
teruel	ADJ	teruel
,	PUN	,
michel	NOM	michel
bonel	NOM	bonel
,	PUN	,
antoine	NOM	antoine
marchand	ADJ	marchand
,	PUN	,
michel	NOM	michel
card	ADJ	card
,	PUN	,
suzy	NOM	suzy
marchal	NOM	marchal
et	KON	et
alain	NOM	alain
pompey	ADJ	pompey
.	SENT	.
une	DET:ART	un
nouvelle	ADJ	nouveau
assemblée	NOM	assemblée
qui	PRO:REL	qui
sera	VER:futu	être
chargée	VER:pper	charger
,	PUN	,
dès	PRP	dès
que	KON	que
le	DET:ART	le
bureau	NOM	bureau
aura	VER:futu	avoir
signé	VER:pper	signer
la	DET:ART	le
convention	NOM	convention
du	PRP:det	du
pôle	NOM	pôle
actions	VER:impf	acter
jeunesse	NOM	jeunesse
avec	PRP	avec
la	DET:ART	le
municipalité	NOM	municipalité
,	PUN	,
de	PRP	de
conduire	VER:infi	conduire
la	DET:ART	le
nouvelle	ADJ	nouveau
politique	NOM	politique
villaroise	ADJ	villaroise
en	PRP	en
direction	NOM	direction
des	PRP:det	du
jeunes	NOM	jeune
villarois	ADJ	villarois
de	PRP	de
13	NUM	@card@
à	PRP	à
25	NUM	@card@
ans	NOM	an
.	SENT	.
budget	NOM	budget
prévisionnel	ADJ	prévisionnel
pour	PRP	pour
2003	NUM	@card@
:	PUN	:
80.800	NUM	@card@
euros	NOM	euro
.	SENT	.
elu	NOM	elu
en	PRP	en
fin	NOM	fin
d'	PRP	de
assemblée	NOM	assemblée
générale	ADJ	général
,	PUN	,
le	DET:ART	le
bureau	NOM	bureau
de	PRP	de
l'	DET:ART	le
asc	NOM	asc
se	PRO:PER	se
compose	VER:pres	composer
comme	ADV	comme
suit	VER:pres	suivre
:	PUN	:
alain	NOM	alain
pompey	ADJ	pompey
,	PUN	,
président	NOM	président
;	PUN	;
jean-françois	NOM	jean-françois
trassart	NOM	trassart
,	PUN	,
1	NUM	@card@
e	NOM	e
r	VER:subi	r
vice-président	NOM	vice-président
;	PUN	;
yves	VER:subp	yves
petruzzi	VER:pper	petruzzi
,	PUN	,
2	NUM	@card@
e	ADJ	e
vice-président	NOM	vice-président
;	PUN	;
michel	NOM	michel
ernewein	NOM	ernewein
,	PUN	,
secrétaire	NOM	secrétaire
;	PUN	;
danièle	ADJ	danièle
maudinas	VER:simp	maudinas
,	PUN	,
secrétaire-adjointe	VER:pper	secrétaire-adjointe
;	PUN	;
michel	NOM	michel
bonel	NOM	bonel
,	PUN	,
trésorier	NOM	trésorier
;	PUN	;
bernard	NOM	bernard
vautrin	ADJ	vautrin
,	PUN	,
trésorier-adjoint	NOM	trésorier-adjoint
;	PUN	;
clairlieu	NOM	clairlieu
animation	NOM	animation
,	PUN	,
amcf	NOM	amcf
,	PUN	,
peep	NOM	peep
,	PUN	,
association	NOM	association
villaroise	ADJ	villaroise
du	PRP:det	du
placieux	NOM	placieux
,	PUN	,
fcpe	NOM	fcpe
,	PUN	,
apei	VER:pper	apei
,	PUN	,
cos	NOM	cos
villers	NOM	villers
,	PUN	,
association	NOM	association
familiale	ADJ	familial
,	PUN	,
michel	NOM	michel
ernewein	NOM	ernewein
,	PUN	,
olivier	NOM	olivier
willer	NOM	willer
,	PUN	,
michel	NOM	michel
card	ADJ	card
et	KON	et
daniel	ADJ	daniel
mougin	NOM	mougin
,	PUN	,
membres	NOM	membre
.	SENT	.
