aujourd'hui	ADV	aujourd'hui
(	PUN	(
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
)	PUN	)
:	PUN	:
algérienne	ADJ	algérien
villeurbanne	NOM	villeurbanne
(	PUN	(
d	VER:pper	d
)	PUN	)
-	PUN	-
agde	NOM	agde
(	PUN	(
cfa	VER:simp	cfa
)	PUN	)
15	NUM	@card@
h	ABR	heure
:	PUN	:
wasquehal	NOM	wasquehal
(	PUN	(
l	VER:simp	l
2)	NOM	2)
-	PUN	-
monaco	NOM	monaco
(	PUN	(
l	VER:simp	l
1)	NOM	1)
as	VER:pres	avoir
vitré	VER:pper	vitrer
(	PUN	(
cfa	VER:simp	cfa
)	PUN	)
-	PUN	-
ajaccio	NOM	ajaccio
(	PUN	(
l	VER:simp	l
1)	NOM	1)
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
grenoble	ADJ	grenoble
(	PUN	(
l	VER:simp	l
2)	NOM	2)
-	PUN	-
sochaux	ADJ	sochaux
(	PUN	(
l	VER:simp	l
1)	NOM	1)
16	NUM	@card@
h	ABR	heure
:	PUN	:
toulouse	NOM	toulouse
(	PUN	(
l	VER:simp	l
2)	NOM	2)
-	PUN	-
viry-châtillon	NOM	viry-châtillon
(	PUN	(
n	VER:pper	n
)	PUN	)
17	NUM	@card@
h	ABR	heure
:	PUN	:
marseille	NOM	marseille
(	PUN	(
l	VER:simp	l
1)	NOM	1)
-	PUN	-
bastia	NOM	bastia
(	PUN	(
l	VER:simp	l
1)	NOM	1)
(	PUN	(
sur	PRP	sur
tf	NOM	tf
1)	ADJ	1)
carquefou	NOM	carquefou
(	PUN	(
cfa	VER:simp	cfa
2)	NOM	2)
-	PUN	-
le	DET:ART	le
mans	NOM	man
(	PUN	(
l	VER:simp	l
2)	NOM	2)
18	NUM	@card@
h	ABR	heure
:	PUN	:
forbach	NOM	forbach
(	PUN	(
cfa	VER:simp	cfa
)	PUN	)
-	PUN	-
lens	NOM	lens
(	PUN	(
l	VER:simp	l
1)	ADJ	1)
montélimar	NOM	montélimar
(	PUN	(
cfa	VER:simp	cfa
2)	NOM	2)
-	PUN	-
lorient	NOM	lorient
(	PUN	(
l	VER:simp	l
2)	NOM	2)
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
nancy	NOM	nancy
(	PUN	(
l	VER:simp	l
