c'	PRO:DEM	ce
est	VER:pres	être
avec	PRP	avec
joie	NOM	joie
que	PRO:REL	que
nous	PRO:PER	nous
avons	VER:pres	avoir
appris	VER:pper	apprendre
la	DET:ART	le
naissance	NOM	naissance
de	PRP	de
timéo	NOM	timéo
.	SENT	.
timéo	NOM	timéo
est	VER:pres	être
né	VER:pper	naître
le	DET:ART	le
9	NUM	@card@
janvier	NOM	janvier
à	PRP	à
la	DET:ART	le
clinique	NOM	clinique
arc-en-ciel	ADJ	arc-en-ciel
à	PRP	à
epinal	NOM	epinal
.	SENT	.
il	PRO:PER	il
est	VER:pres	être
le	DET:ART	le
deuxième	NUM	deuxième
enfant	NOM	enfant
de	PRP	de
monia	NOM	monia
,	PUN	,
mère	NOM	mère
au	PRP:det	au
foyer	NOM	foyer
et	KON	et
de	PRP	de
fabrice	NOM	fabrice
robin	ADJ	robin
,	PUN	,
vendeur	ADJ	vendeur
aux	PRP:det	au
glaces	NOM	glace
thiriet	ADJ	thiriet
,	PUN	,
tous	PRO:IND	tout
deux	NUM	deux
bien	NOM	bien
connus	VER:pper	connaître
dans	PRP	dans
le	DET:ART	le
ville	NOM	ville
.	SENT	.
si	KON	si
timéo	NOM	timéo
comble	VER:pres	combler
parents	ADJ	parent
et	KON	et
grands-parents	NOM	grands-parents
,	PUN	,
il	PRO:PER	il
fait	VER:pres	faire
également	ADV	également
le	DET:ART	le
bonheur	NOM	bonheur
de	PRP	de
son	DET:POS	son
grand	ADJ	grand
frère	NOM	frère
,	PUN	,
milan	NOM	milan
,	PUN	,
fier	VER:infi	fier
de	PRP	de
son	DET:POS	son
petit	ADJ	petit
frère	NOM	frère
,	PUN	,
grand	ADJ	grand
de	PRP	de
52	NUM	@card@
cm	NOM	cm
et	KON	et
qui	PRO:REL	qui
pèse	VER:pres	peser
3	NUM	@card@
250	NUM	@card@
kg	ABR	kg
...	PUN	...
meilleurs	ADJ	meilleur
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
bonheur	NOM	bonheur
à	PRP	à
timéo	NOM	timéo
et	KON	et
félicitations	NOM	félicitation
aux	PRP:det	au
heureux	ADJ	heureux
parents	NOM	parent|parents
.	SENT	.
