metz	ABR	metz
.	SENT	.
_	NOM	_
le	DET:ART	le
centre	NOM	centre
régional	ADJ	régional
d'	PRP	de
information	NOM	information
routière	ADJ	routier
(	PUN	(
cricr	NOM	cricr
)	PUN	)
est	VER:pres	être
a	VER:pres	avoir
invité	VER:pper	inviter
mercredi	NOM	mercredi
les	DET:ART	le
conducteurs	NOM	conducteur
de	PRP	de
poids	NOM	poids
lourds	ADJ	lourd
à	PRP	à
interrompre	VER:infi	interrompre
leur	DET:POS	leur
déplacement	NOM	déplacement
et	KON	et
à	PRP	à
se	PRO:PER	se
garer	VER:infi	garer
sur	PRP	sur
les	DET:ART	le
aires	NOM	aire
de	PRP	de
repos	NOM	repos
en	PRP	en
bourgogne	NOM	bourgogne
,	PUN	,
franche-comté	NOM	franche-comté
et	KON	et
en	PRP	en
haute-marne	NOM	haute-marne
,	PUN	,
en	PRP	en
raison	NOM	raison
des	PRP:det	du
conditions	NOM	condition
météorologiques	ADJ	météorologique
.	SENT	.
«	PUN:cit	«
a	VER:pres	avoir
cause	NOM	cause
des	PRP:det	du
chutes	NOM	chute
de	PRP	de
neige	NOM	neige
conjuguées	VER:pper	conjuguer
à	PRP	à
des	PRP:det	du
températures	NOM	température
négatives	ADJ	négatif
,	PUN	,
la	DET:ART	le
circulation	NOM	circulation
est	VER:pres	être
délicate	ADJ	délicat
sur	PRP	sur
les	DET:ART	le
régions	NOM	région
bourgogne	NOM	bourgogne
,	PUN	,
franche-comté	VER:pper	franche-comté
ainsi	ADV	ainsi
que	KON	que
sur	PRP	sur
le	DET:ART	le
département	NOM	département
de	PRP	de
la	DET:ART	le
haute-marne	NOM	haute-marne
(	PUN	(
secteur	NOM	secteur
de	PRP	de
langres	NOM	langres
)	PUN	)
»,	ADJ	»,
a	VER:pres	avoir
précisé	VER:pper	préciser
le	DET:ART	le
crirc	NOM	crirc
.	SENT	.
