m.	ABR	m.
pierre	NOM	pierre
grandjean	ADJ	grandjean
32	NUM	@card@
rue	NOM	rue
du	PRP:det	du
four	NOM	four
88000	NUM	@card@
epinal	NOM	epinal
.	SENT	.
tous	PRO:IND	tout
les	DET:ART	le
européens	NOM	européen
convaincus	VER:pper	convaincre
semblent	VER:pres	sembler
déplorer	VER:infi	déplorer
le	DET:ART	le
déclin	NOM	déclin
des	PRP:det	du
langues	NOM	langue
nationales	ADJ	national
de	PRP	de
l'	DET:ART	le
union	NOM	union
.	SENT	.
l'	DET:ART	le
article	NOM	article
de	PRP	de
philippe	ADJ	philippe
marcacci	NOM	marcacci
a	VER:pres	avoir
très	ADV	très
bien	ADV	bien
relaté	VER:pper	relater
dans	PRP	dans
l'	DET:ART	le
est	NOM	est
républicain	ADJ	républicain
l'	DET:ART	le
avenir	NOM	avenir
de	PRP	de
l'	DET:ART	le
allemand	NOM	allemand
dans	PRP	dans
nos	DET:POS	notre
écoles	NOM	école
.	SENT	.
encore	ADV	encore
un	DET:ART	un
petit	ADJ	petit
effort	NOM	effort
et	KON	et
notre	DET:POS	notre
français	NOM	français
disparaîtra	VER:futu	disparaître
lui	PRO:PER	lui
aussi	ADV	aussi
au	PRP:det	au
bénéfice	NOM	bénéfice
de	PRP	de
l'	DET:ART	le
anglais	ADJ	anglais
!	SENT	!
ceci	PRO:DEM	ceci
est	VER:pres	être
d'	PRP	de
autant	ADV	autant
plus	ADV	plus
cocasse	ADJ	cocasse
que	KON	que
cette	PRO:DEM	ce
langue	NOM	langue
résume	VER:pres	résumer
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
de	PRP	de
plus	ADV	plus
anti-européen	ADJ	anti-européen
.	SENT	.
enfin	ADV	enfin
,	PUN	,
depuis	PRP	depuis
quelques	PRO:IND	quelque
jours	NOM	jour
,	PUN	,
les	DET:ART	le
rassemblements	NOM	rassemblement
politiques	ADJ	politique
franco-allemands	ADJ	franco-allemand
déplorent	VER:pres	déplorer
officiellement	ADV	officiellement
cet	PRO:DEM	ce
état	NOM	état
de	PRP	de
fait	NOM	fait
.	SENT	.
il	PRO:PER	il
y	PRO:PER	y
aurait	VER:cond	avoir
pourtant	ADV	pourtant
des	PRP:det	du
solutions	NOM	solution
permettant	VER:ppre	permettre
des	PRP:det	du
équilibres	NOM	équilibre
plus	ADV	plus
judicieux	ADJ	judicieux
si	KON	si
les	DET:ART	le
médias	NOM	médias
voulaient	VER:impf	vouloir
s'	PRO:PER	se
en	PRP	en
donner	VER:infi	donner
la	DET:ART	le
peine	NOM	peine
.	SENT	.
est-ce	ADJ	est-ce
normal	NOM	normal
par	PRP	par
exemple	NOM	exemple
d'	PRP	de
être	VER:infi	être
obligé	VER:pper	obliger
de	PRP	de
consulter	VER:infi	consulter
un	DET:ART	un
dictionnaire	NOM	dictionnaire
pour	PRP	pour
comprendre	VER:infi	comprendre
un	DET:ART	un
terme	NOM	terme
de	PRP	de
presse	NOM	presse
purement	ADV	purement
anglo-saxon	ADJ	anglo-saxon
?	SENT	?
est-ce	ADJ	est-ce
normal	NOM	normal
,	PUN	,
ce	PRO:DEM	ce
refus	NOM	refus
de	PRP	de
traduction	NOM	traduction
de	PRP	de
notices	NOM	notice
techniques	ADJ	technique
dès	PRP	dès
l'	DET:ART	le
instant	NOM	instant
où	PRO:REL	où
il	PRO:PER	il
s'	PRO:PER	se
agit	VER:pres	agir
de	PRP	de
matériel	NOM	matériel
évolué	VER:pper	évoluer
,	PUN	,
et	KON	et
ceci	PRO:DEM	ceci
malgré	PRP	malgré
la	DET:ART	le
loi	NOM	loi
toubon	NOM	toubon
?	SENT	?
est-elle	ADJ	est-elle
normale	NOM	normal
,	PUN	,
cette	PRO:DEM	ce
saturation	NOM	saturation
de	PRP	de
musique	NOM	musique
et	KON	et
chansons	NOM	chanson
anglaises	ADJ	anglais
sur	PRP	sur
nos	DET:POS	notre
ondes	NOM	onde
?	SENT	?
il	PRO:PER	il
faut	VER:pres	falloir
cependant	ADV	cependant
admettre	VER:infi	admettre
que	PRO:REL	que
l'	DET:ART	le
on	PRO:PER	on
nous	PRO:PER	nous
fera	VER:futu	faire
grâce	NOM	grâce
,	PUN	,
en	PRP	en
fin	NOM	fin
d'	PRP	de
année	NOM	année
,	PUN	,
d'	PRP	de
un	DET:ART	un
«	PUN:cit	«
stille	VER:pres	stiller
nacht	VER:pper	nacht
»	PUN:cit	»
et	KON	et
,	PUN	,
en	PRP	en
autre	ADJ	autre
période	NOM	période
,	PUN	,
on	PRO:PER	on
voudra	VER:futu	vouloir
bien	ADV	bien
réduire	VER:infi	réduire
nos	DET:POS	notre
connaissances	NOM	connaissance
musicales	ADJ	musical
modernes	ADJ	moderne
allemandes	NOM	allemand
à	PRP	à
cette	PRO:DEM	ce
musique	NOM	musique
munichoise	ADJ	munichois
enchantant	VER:ppre	enchanter
les	DET:ART	le
brasseries	NOM	brasserie
certes	ADV	certes
,	PUN	,
mais	KON	mais
ne	ADV	ne
résumant	VER:ppre	résumer
pourtant	ADV	pourtant
pas	ADV	pas
l'	DET:ART	le
essentiel	NOM	essentiel
de	PRP	de
ce	PRO:DEM	ce
que	PRO:REL	que
réalisent	VER:pres	réaliser
nos	DET:POS	notre
amis	NOM	ami
allemands	ADJ	allemand
.	SENT	.
