metz	ABR	metz
.	SENT	.
_	NOM	_
la	DET:ART	le
décision	NOM	décision
d'	PRP	de
interdire	VER:infi	interdire
la	DET:ART	le
circulation	NOM	circulation
des	PRP:det	du
poids	NOM	poids
lourds	ADJ	lourd
sur	PRP	sur
les	DET:ART	le
axes	NOM	axe
autoroutiers	ADJ	autoroutier
du	PRP:det	du
grand	ADJ	grand
est	NOM	est
a	VER:pres	avoir
été	VER:pper	être
prise	VER:pper	prendre
hier	ADV	hier
à	PRP	à
midi	NOM	midi
par	PRP	par
le	DET:ART	le
préfet	NOM	préfet
de	PRP	de
la	DET:ART	le
zone	NOM	zone
de	PRP	de
défense	NOM	défense
est	VER:pres	être
.	SENT	.
objectif	ADJ	objectif
:	PUN	:
limiter	VER:infi	limiter
les	DET:ART	le
accidents	NOM	accident
impliquant	VER:ppre	impliquer
des	PRP:det	du
camions	NOM	camion
et	KON	et
paralysant	VER:ppre	paralyser
le	DET:ART	le
trafic	NOM	trafic
.	SENT	.
les	DET:ART	le
crs	NOM	crs
de	PRP	de
moulins-lès-metz	NAM	moulins-lès-metz
sont	VER:pres	être
en	PRP	en
effet	NOM	effet
intervenus	VER:pper	intervenir
sur	PRP	sur
plusieurs	PRO:IND	plusieurs
collisions	NOM	collision
,	PUN	,
notamment	ADV	notamment
sur	PRP	sur
l'	PRO:PER	la|le
a	VER:pres	avoir
30	NUM	@card@
à	PRP	à
hayange	NOM	hayange
où	PRO:REL	où
à	PRP	à
12	NUM	@card@
h	ABR	heure
40	NUM	@card@
la	DET:ART	le
circulation	NOM	circulation
a	VER:pres	avoir
été	VER:pper	être
coupée	VER:pper	couper
à	PRP	à
cause	NOM	cause
de	PRP	de
poids	NOM	poids
lourds	ADJ	lourd
en	PRP	en
travers	NOM	travers
de	PRP	de
la	DET:ART	le
chaussée	NOM	chaussée
.	SENT	.
d'	PRP	de
autres	ADJ	autre
accidents	NOM	accident
,	PUN	,
heureusement	ADV	heureusement
matériels	ADJ	matériel
,	PUN	,
ont	VER:pres	avoir
été	VER:pper	être
signalés	VER:pper	signaler
sur	PRP	sur
l'	PRO:PER	la|le
a	VER:pres	avoir
31	NUM	@card@
à	PRP	à
montigny-lès-metz	NAM	montigny-lès-metz
,	PUN	,
maizières-lès-metz	NAM	maizières-lès-metz
ou	KON	ou
illange	NOM	illange
.	SENT	.
la	DET:ART	le
procédure	NOM	procédure
exceptionnelle	ADJ	exceptionnel
mise	VER:pper	mettre
en	PRP	en
place	NOM	place
par	PRP	par
la	DET:ART	le
zone	NOM	zone
de	PRP	de
défense	NOM	défense
est	VER:pres	être
concernait	VER:impf	concerner
l'	PRO:PER	la|le
a	VER:pres	avoir
26	NUM	@card@
entre	PRP	entre
troyes	NOM	troyes
(	PUN	(
aube	NOM	aube
)	PUN	)
et	KON	et
laon	NOM	laon
(	PUN	(
aisne	NOM	aisne
),	ADJ	),
l'	PRO:PER	la|le
a	VER:pres	avoir
4	NUM	@card@
entre	PRP	entre
dormans	NOM	dormans
(	PUN	(
marne	NOM	marne
)	PUN	)
et	KON	et
strasbourg	NOM	strasbourg
(	PUN	(
bas-rhin	NOM	bas-rhin
),	ADJ	),
l'	PRO:PER	la|le
a	VER:pres	avoir
30	NUM	@card@
sur	PRP	sur
toute	PRO:IND	tout
sa	DET:POS	son
longueur	NOM	longueur
,	PUN	,
l'	PRO:PER	la|le
a	VER:pres	avoir
31	NUM	@card@
entre	PRP	entre
le	DET:ART	le
péage	NOM	péage
de	PRP	de
gye	NOM	gye
(	PUN	(
meurthe-et-moselle	NOM	meurthe-et-moselle
)	PUN	)
et	KON	et
le	DET:ART	le
