m.	ABR	m.
marcel	NOM	marcel
cordier	ADJ	cordier
39	NUM	@card@
rue	NOM	rue
léonard	ADJ	léonard
bourcier	NOM	bourcier
54000	NUM	@card@
nancy	NOM	nancy
.	SENT	.
(	PUN	(
en	PRP	en
réponse	NOM	réponse
à	PRP	à
«	PUN:cit	«
coq	NOM	coq
...	PUN	...
hein	INT	hein
!	SENT	!
de	PRP	de
mme	ADJ	mme
caudrelier	NOM	caudrelier
,	PUN	,
du	PRP:det	du
9	NUM	@card@
/	PUN	/
12	NUM	@card@
)	PUN	)
a-t-on	ADJ	a-t-on
le	DET:ART	le
droit	NOM	droit
de	PRP	de
plaisanter	VER:infi	plaisanter
sur	PRP	sur
les	DET:ART	le
coqs	NOM	coq
et	KON	et
de	PRP	de
se	PRO:PER	se
moquer	VER:infi	moquer
des	PRP:det	du
victimes	NOM	victime
de	PRP	de
bruits	NOM	bruit
de	PRP	de
voisinage	NOM	voisinage
illégaux	ADJ	illégal
?	SENT	?
personne	NOM	personne
ne	ADV	ne
se	PRO:PER	se
plaint	VER:pres	plaindre
d'	PRP	de
un	DET:ART	un
coq	NOM	coq
mais	KON	mais
si	KON	si
on	PRO:PER	on
vient	VER:pres	venir
installer	VER:infi	installer
un	DET:ART	un
élevage	NOM	élevage
de	PRP	de
gallinacés	NOM	gallinacé
près	ADV	près
de	PRP	de
chez	PRP	chez
vous	PRO:PER	vous
,	PUN	,
ou	KON	ou
un	DET:ART	un
élevage	NOM	élevage
de	PRP	de
paons	NOM	paon
,	PUN	,
canards	NOM	canard
et	KON	et
autres	ADJ	autre
ânesses	NOM	ânesse
...	PUN	...
personne	ADV	personne
ne	ADV	ne
se	PRO:PER	se
plaint	VER:pres	plaindre
d'	PRP	de
un	DET:ART	un
chien	NOM	chien
bien	ADV	bien
élevé	VER:pper	élever
mais	KON	mais
si	KON	si
la	DET:ART	le
bête	NOM	bête
aboie	VER:pres	aboyer
toutes	PRO:IND	tout
les	DET:ART	le
dix	NUM	dix
minutes	NOM	minute
sous	PRP	sous
vos	DET:POS	votre
fenêtres	NOM	fenêtre
,	PUN	,
toute	PRO:IND	tout
la	DET:ART	le
journée	NOM	journée
...	PUN	...
personne	ADV	personne
ne	ADV	ne
se	PRO:PER	se
plaint	VER:pres	plaindre
d'	PRP	de
une	DET:ART	un
cloche	NOM	cloche
,	PUN	,
sauf	PRP	sauf
si	KON	si
elle	PRO:PER	elle
sonne	VER:pres	sonner
tous	PRO:IND	tout
les	DET:ART	le
quarts	NOM	quart
d'	PRP	de
heure	NOM	heure
,	PUN	,
la	DET:ART	le
nuit	NOM	nuit
,	PUN	,
devant	PRP	devant
votre	DET:POS	votre
hôtel	NOM	hôtel
...	PUN	...
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
un	DET:ART	un
code	NOM	code
de	PRP	de
la	DET:ART	le
santé	NOM	santé
publique	ADJ	publique
,	PUN	,
des	PRP:det	du
lois	NOM	loi
et	KON	et
des	PRP:det	du
décrets	NOM	décret
préfectoraux	ADJ	préfectoral
.	SENT	.
ils	PRO:PER	il
sont	VER:pres	être
bons	ADJ	bon
,	PUN	,
il	PRO:PER	il
faut	VER:pres	falloir
les	PRO:PER	la|le
faire	VER:infi	faire
appliquer	VER:infi	appliquer
,	PUN	,
ce	PRO:DEM	ce
qui	PRO:REL	qui
est	VER:pres	être
plus	ADV	plus
difficile	ADJ	difficile
.	SENT	.
en	PRP	en
france	NOM	france
,	PUN	,
la	DET:ART	le
police	NOM	police
et	KON	et
la	DET:ART	le
gendarmerie	NOM	gendarmerie
ne	ADV	ne
semblent	VER:pres	sembler
connaître	VER:infi	connaître
que	KON	que
le	DET:ART	le
code	NOM	code
de	PRP	de
la	DET:ART	le
route	NOM	route
.	SENT	.
quant	PRP	quant
aux	PRP:det	au
maires	NOM	maire
,	PUN	,
premiers	NUM	premier
officiers	NOM	officier
de	PRP	de
police	NOM	police
de	PRP	de
leur	DET:POS	leur
commune	NOM	commune
,	PUN	,
ils	PRO:PER	il
ne	ADV	ne
pensent	VER:pres	penser
qu'	ADV	qu'
à	PRP	à
leur	DET:POS	leur
réélection	NOM	réélection
.	SENT	.
pourtant	ADV	pourtant
,	PUN	,
le	DET:ART	le
bruit	NOM	bruit
illégal	ADJ	illégal
entraîne	VER:pres	entraîner
stress	NOM	stress
,	PUN	,
surconsommation	NOM	surconsommation
de	PRP	de
somnifères	NOM	somnifère
,	PUN	,
certains	PRO:IND	certain
actes	NOM	acte
violents	ADJ	violent
,	PUN	,
crimes	NOM	crime
ou	KON	ou
suicides	NOM	suicide
.	SENT	.
la	DET:ART	le
tolérance	NOM	tolérance
des	PRP:det	du
victimes	NOM	victime
ne	ADV	ne
devrait	VER:cond	devoir
pas	ADV	pas
empêcher	VER:infi	empêcher
le	DET:ART	le
bon	ADJ	bon
sens	NOM	sen|sens
des	PRP:det	du
sans-gêne	NOM	sans-gêne
.	SENT	.
si	KON	si
tout	PRO:IND	tout
le	DET:ART	le
monde	NOM	monde
était	VER:impf	être
raisonnable	ADJ	raisonnable
,	PUN	,
l'	DET:ART	le
association	NOM	association
de	PRP	de
défense	NOM	défense
des	PRP:det	du
victimes	NOM	victime
de	PRP	de
troubles	NOM	trouble
de	PRP	de
voisinage	NOM	voisinage
(	PUN	(
1	NUM	@card@
)	PUN	)
n'	ADV	ne
aurait	VER:cond	avoir
pas	ADV	pas
eu	VER:pper	avoir
besoin	NOM	besoin
de	PRP	de
se	PRO:PER	se
créer	VER:infi	créer
en	PRP	en
1980	NUM	@card@
et	KON	et
elle	PRO:PER	elle
a	VER:pres	avoir
toujours	ADV	toujours
plus	ADV	plus
d'	PRP	de
ahérents	NOM	ahérents
!	SENT	!
«	PUN:cit	«
aimons-nous	NOM	aimons-nous
les	DET:ART	le
uns	NOM	un
les	DET:ART	le
autres	ADJ	autre
»	PUN:cit	»
redit	VER:pres	redire
mme	VER:pper	mme
caudrelier	NOM	caudrelier
après	PRP	après
jésus	NOM	jésus
christ	NOM	christ
.	SENT	.
très	ADV	très
bien	ADV	bien
,	PUN	,
mais	KON	mais
que	KON	que
les	DET:ART	le
égoïstes	ADJ	égoïste
bruiteurs	NOM	bruiteur
commencent	VER:pres	commencer
par	PRP	par
respecter	VER:infi	respecter
leurs	DET:POS	leur
voisins	NOM	voisin
,	PUN	,
sinon	KON	sinon
les	DET:ART	le
lois	NOM	loi
,	PUN	,
et	KON	et
se	PRO:PER	se
rappellent	VER:pres	rappeler
ce	PRO:DEM	ce
qu'	PRO:REL	que
écrivait	VER:impf	écrire
montesquieu	NOM	montesquieu
:	PUN	:
«	PUN:cit	«
une	DET:ART	un
injustice	NOM	injustice
faite	VER:pper	faire
à	PRP	à
un	DET:ART	un
seul	NOM	seul
est	VER:pres	être
une	DET:ART	un
menace	NOM	menace
faite	VER:pper	faire
à	PRP	à
tous	PRO:IND	tout
».	NOM	».
(	PUN	(
1	NUM	@card@
)	PUN	)
advtv	NOM	advtv
la	DET:ART	le
croix	NOM	croix
rouge	ADJ	rouge
,	PUN	,
38470	NUM	@card@
l'	DET:ART	le
albenc	NOM	albenc
.	SENT	.
