aujourd'hui	ADV	aujourd'hui
,	PUN	,
betteraves	NOM	betterave
à	PRP	à
la	DET:ART	le
normande	ADJ	normand
,	PUN	,
sauté	VER:pper	sauter
de	PRP	de
volaille	NOM	volaille
à	PRP	à
la	DET:ART	le
hongroise	NOM	hongrois
,	PUN	,
petits	ADJ	petit
pois	NOM	pois
à	PRP	à
l'	DET:ART	le
étuvée	NOM	étuvée
,	PUN	,
mimolette	NOM	mimolette
,	PUN	,
compote	NOM	compote
de	PRP	de
pommes	NOM	pomme
;	PUN	;
mardi	NOM	mardi
,	PUN	,
carottes	ADJ	carotte
râpées	VER:pper	râper
au	PRP:det	au
citron	NOM	citron
,	PUN	,
steak	NOM	steak
haché	ADJ	haché
sauce	NOM	sauce
marchand	ADJ	marchand
de	PRP	de
vin	NOM	vin
,	PUN	,
riz	NOM	riz
pilaf	NOM	pilaf
,	PUN	,
fromage	NOM	fromage
,	PUN	,
galette	NOM	galette
des	PRP:det	du
rois	NOM	roi
;	PUN	;
jeudi	NOM	jeudi
,	PUN	,
pâté	NOM	pâté
de	PRP	de
campagne	NOM	campagne
,	PUN	,
poisson	NOM	poisson
pané	VER:pper	paner
citron	ADJ	citron
,	PUN	,
choux-fleurs	ADJ	choux-fleurs
béchamel	NOM	béchamel
au	PRP:det	au
gratin	NOM	gratin
,	PUN	,
carré	VER:pper	carrer
de	PRP	de
l'	DET:ART	le
est	NOM	est
;	PUN	;
vendredi	NOM	vendredi
,	PUN	,
choux	NOM	chou
blancs	ADJ	blanc
aux	PRP:det	au
raisins	NOM	raisin
,	PUN	,
pavé	VER:pper	paver
de	PRP	de
jambon	NOM	jambon
grillé	VER:pper	griller
,	PUN	,
épinards	NOM	épinard
et	KON	et
pommes	NOM	pomme
de	PRP	de
terre	NOM	terre
,	PUN	,
fromage	NOM	fromage
,	PUN	,
flan	NOM	flan
nappé	VER:pper	napper
au	PRP:det	au
caramel	NOM	caramel
.	SENT	.
