c'	PRO:DEM	ce
est	VER:pres	être
avec	PRP	avec
plaisir	NOM	plaisir
que	KON	que
la	DET:ART	le
grande	ADJ	grand
famille	NOM	famille
des	PRP:det	du
afn	NOM	afn
s'	PRO:PER	se
est	VER:pres	être
retrouvée	VER:pper	retrouver
samedi	NOM	samedi
soir	NOM	soir
pour	PRP	pour
partager	VER:infi	partager
la	DET:ART	le
traditionnelle	ADJ	traditionnel
galette	NOM	galette
des	PRP:det	du
rois	NOM	roi
dans	PRP	dans
une	DET:ART	un
ambiance	NOM	ambiance
chaleureuse	ADJ	chaleureux
et	KON	et
communicative	ADJ	communicatif
.	SENT	.
le	DET:ART	le
sort	NOM	sort
des	PRP:det	du
fèves	NOM	fève
a	VER:pres	avoir
voulu	VER:pper	vouloir
que	KON	que
se	PRO:PER	se
soient	VER:subp	être
jeanine	NOM	jeanine
lachaux	ADJ	lachaux
et	KON	et
armand	ADJ	armand
charron	NOM	charron
qui	PRO:REL	qui
reçoivent	VER:pres	recevoir
les	DET:ART	le
couronnes	NOM	couronne
et	KON	et
deviennent	VER:pres	devenir
la	DET:ART	le
reine	NOM	reine
et	KON	et
le	DET:ART	le
roi	NOM	roi
de	PRP	de
la	DET:ART	le
soirée	NOM	soirée
.	SENT	.
le	DET:ART	le
président	NOM	président
alain	NOM	alain
remy	ADJ	remy
en	PRO:PER	en
profita	VER:simp	profiter
pour	PRP	pour
parler	VER:infi	parler
du	PRP:det	du
repas	NOM	repas
dansant	VER:ppre	danser
du	PRP:det	du
samedi	NOM	samedi
8	NUM	@card@
mars	NOM	mars
où	PRO:REL	où
d'	PRP	de
ores	ADV	ores
et	KON	et
déjà	ADV	déjà
,	PUN	,
sont	VER:pres	être
conviés	VER:pper	convier
tous	PRO:IND	tout
les	DET:ART	le
afn	NOM	afn
ainsi	KON	ainsi
que	KON	que
leurs	DET:POS	leur
amis	NOM	ami
et	KON	et
connaissances	NOM	connaissance
.	SENT	.
