médecin	NOM	médecin
de	PRP	de
garde	NOM	garde
:	PUN	:
appeler	VER:infi	appeler
le	DET:ART	le
15	NUM	@card@
pharmacie	NOM	pharmacie
de	PRP	de
garde	NOM	garde
:	PUN	:
mme	VER:simp	mme
henn-henry	NOM	henn-henry
,	PUN	,
6	NUM	@card@
rue	NOM	rue
de	PRP	de
lorraine	NOM	lorrain
à	PRP	à
damelevières	NOM	damelevières
.	SENT	.
siad	NOM	siad
des	PRP:det	du
trois-rivières	NOM	trois-rivières
:	PUN	:
permanence	NOM	permanence
1	NUM	@card@
rue	NOM	rue
du	PRP:det	du
presbytère	NOM	presbytère
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
75.94	NUM	@card@
.	SENT	.
50	NUM	@card@
mission	NOM	mission
emploi	NOM	emploi
:	PUN	:
permanence	NOM	permanence
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
21	NUM	@card@
rue	NOM	rue
saint-dom	NOM	saint-dom
.	SENT	.
ccas	NOM	ccas
:	PUN	:
permanence	NOM	permanence
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
de	PRP	de
15	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
en	PRP	en
mairie	NOM	mairie
.	SENT	.
ines	NOM	ines
:	PUN	:
permanence	NOM	permanence
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
21	NUM	@card@
rue	NOM	rue
saint-dom	NOM	saint-dom
.	SENT	.
cpam	NOM	cpam
:	PUN	:
permanence	NOM	permanence
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
au	PRP:det	au
centre	NOM	centre
médico-social	ADJ	médico-social
.	SENT	.
kiosque	NOM	kiosque
ij	NOM	ij
:	PUN	:
ouvert	VER:pper	ouvrir
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
21	NUM	@card@
rue	NOM	rue
saint-dom	NOM	saint-dom
.	SENT	.
bibliothèque	NOM	bibliothèque
eau-vive	NOM	eau-vive
:	PUN	:
ouverte	VER:pper	ouvrir
de	PRP	de
15	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
assistante	NOM	assistant
sociale	ADJ	social
sncf	NOM	sncf
:	PUN	:
permanence	NOM	permanence
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
au	PRP:det	au
service	NOM	service
social	ADJ	social
sncf	NOM	sncf
,	PUN	,
bât	NOM	bât
c	VER:pper	c
des	PRP:det	du
cités	NOM	cité
est	VER:pres	être
.	SENT	.
centre	NOM	centre
médico-social	ADJ	médico-social
:	PUN	:
ouvert	VER:pper	ouvrir
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
au	PRP:det	au
rampeux	NOM	rampeux
.	SENT	.
