c'	PRO:DEM	ce
est	VER:pres	être
une	DET:ART	un
mémoire	NOM	mémoire
du	PRP:det	du
village	NOM	village
qui	PRO:REL	qui
disparaît	VER:pres	disparaître
avec	PRP	avec
le	DET:ART	le
décès	NOM	décès
de	PRP	de
suzanne	ADJ	suzanne
barbier	NOM	barbier
,	PUN	,
à	PRP	à
l'	DET:ART	le
âge	NOM	âge
de	PRP	de
91	NUM	@card@
ans	NOM	an
.	SENT	.
suzanne	NOM	suzanne
née	VER:pper	naître
paintendre	NOM	paintendre
a	VER:pres	avoir
vu	VER:pper	voir
le	DET:ART	le
jour	NOM	jour
le	DET:ART	le
24	NUM	@card@
juillet	NOM	juillet
1912	NUM	@card@
au	PRP:det	au
sein	NOM	sein
d'	PRP	de
une	DET:ART	un
famille	NOM	famille
d'	PRP	de
agriculteurs	NOM	agriculteur
,	PUN	,
bien	ADV	bien
enracinée	VER:pper	enraciner
à	PRP	à
aouze	NOM	aouze
.	SENT	.
elle	PRO:PER	elle
même	ADV	même
ne	ADV	ne
quittera	VER:futu	quitter
jamais	ADV	jamais
son	DET:POS	son
village	NOM	village
de	PRP	de
naissance	NOM	naissance
.	SENT	.
avec	PRP	avec
son	DET:POS	son
frère	NOM	frère
marcel	ADJ	marcel
,	PUN	,
ses	DET:POS	son
s	NOM	s
	ADJ	
urs	NOM	urs
simone	ADJ	simone
et	KON	et
renée	VER:pper	renaître
,	PUN	,
elle	PRO:PER	elle
travaillera	VER:futu	travailler
sur	PRP	sur
la	DET:ART	le
ferme	ADV	ferme
familiale	ADJ	familial
,	PUN	,
jusqu'à	NOM	jusqu'à
son	DET:POS	son
mariage	NOM	mariage
avec	PRP	avec
maurice	ADJ	maurice
barbier	NOM	barbier
de	PRP	de
houécourt	NAM	houécourt
,	PUN	,
le	DET:ART	le
17	NUM	@card@
mai	NOM	mai
1947	NUM	@card@
alors	ADV	alors
employé	VER:pper	employer
dans	PRP	dans
une	DET:ART	un
laiterie	NOM	laiterie
.	SENT	.
ils	PRO:PER	il
mèneront	VER:futu	mener
une	DET:ART	un
vie	NOM	vie
paisible	ADJ	paisible
,	PUN	,
mais	KON	mais
qui	PRO:REL	qui
sera	VER:futu	être
de	PRP	de
courte	ADJ	court
durée	NOM	durée
,	PUN	,
puisque	KON	puisque
maurice	NAM	Maurice
décède	VER:pres	décéder
en	PRP	en
1956	NUM	@card@
suzanne	NOM	suzanne
retrouvera	VER:futu	retrouver
la	DET:ART	le
chaleur	NOM	chaleur
de	PRP	de
sa	DET:POS	son
famille	NOM	famille
,	PUN	,
la	DET:ART	le
vie	NOM	vie
de	PRP	de
la	DET:ART	le
ferme	ADJ	ferme
avec	PRP	avec
simone	ADJ	simone
et	KON	et
marcel	ADJ	marcel
.	SENT	.
tous	PRO:IND	tout
trois	NOM	trois
mèneront	VER:futu	mener
une	DET:ART	un
existence	NOM	existence
simple	ADJ	simple
et	KON	et
discrète	ADJ	discret
.	SENT	.
marcel	NOM	marcel
les	PRO:PER	la|le
quittera	VER:futu	quitter
en	PRP	en
1984	NUM	@card@
suzanne	NOM	suzanne
et	KON	et
simone	NOM	simone
s'	PRO:PER	se
épauleront	VER:futu	épauler
pour	PRP	pour
poursuivre	VER:infi	poursuivre
le	DET:ART	le
quotidien	NOM	quotidien
,	PUN	,
s'	PRO:PER	se
adonnant	VER:ppre	adonner
au	PRP:det	au
jardinage	NOM	jardinage
et	KON	et
au	PRP:det	au
fleurissement	NOM	fleurissement
.	SENT	.
suzanne	NOM	suzanne
laissera	VER:futu	laisser
le	DET:ART	le
souvenir	NOM	souvenir
d'	PRP	de
une	DET:ART	un
femme	NOM	femme
d'	PRP	de
agréable	ADJ	agréable
compagnie	NOM	compagnie
,	PUN	,
attachante	ADJ	attachant
.	SENT	.
ses	DET:POS	son
obsèques	NOM	obsèques
seront	VER:futu	être
célébrées	VER:pper	célébrer
aujourd'hui	ADV	aujourd'hui
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
en	PRP	en
l'	DET:ART	le
église	NOM	église
du	PRP:det	du
village	NOM	village
.	SENT	.
nos	DET:POS	notre
condoléances	NOM	condoléance
.	SENT	.
