aujourd'hui	ADV	aujourd'hui
:	PUN	:
salade	NOM	salade
de	PRP	de
tomates	NOM	tomate
,	PUN	,
cordon	NOM	cordon
bleu/pommes	VER:pres	bleu/pommes
wedges	NOM	wedge
,	PUN	,
fromage	NOM	fromage
blanc	ADJ	blanc
,	PUN	,
pêches	NOM	pêche
au	PRP:det	au
sirop	NOM	sirop
.	SENT	.
mercredi	NOM	mercredi
:	PUN	:
salade	NOM	salade
de	PRP	de
lentilles	NOM	lentille
;	PUN	;
sauté	VER:pper	sauter
de	PRP	de
porc/poêlée	NOM	porc/poêlée
de	PRP	de
légumes	NOM	légume
;	PUN	;
yaourt	NOM	yaourt
nature	NOM	nature
;	PUN	;
fruit	NOM	fruit
.	SENT	.
jeudi	NOM	jeudi
:	PUN	:
carottes	NOM	carotte
râpées	ADJ	râpé
;	PUN	;
b	VER:simp	b
	ADJ	
uf	NOM	uf
au	PRP:det	au
curry/riz	NOM	curry/riz
,	PUN	,
brie	NOM	brie
,	PUN	,
compote	NOM	compote
.	SENT	.
vendredi	NOM	vendredi
:	PUN	:
endives	NOM	endive
vinaigrette	NOM	vinaigrette
,	PUN	,
pavé	VER:pper	paver
de	PRP	de
colin	NOM	colin
à	PRP	à
la	DET:ART	le
persane/purée	NOM	persane/purée
de	PRP	de
haricots	NOM	haricot
,	PUN	,
cantal	NOM	cantal
,	PUN	,
gaufre	NOM	gaufre
.	SENT	.
