quoi	PRO	quoi
de	PRP	de
plus	ADV	plus
agréable	ADJ	agréable
,	PUN	,
après	PRP	après
avoir	VER:infi	avoir
appris	VER:pper	apprendre
ses	DET:POS	son
leçons	NOM	leçon
,	PUN	,
que	KON	que
de	PRP	de
partager	VER:infi	partager
de	PRP	de
délicieuses	ADJ	délicieux
crêpes	NOM	crêpe
avec	PRP	avec
ses	DET:POS	son
camarades	NOM	camarade
de	PRP	de
classe	NOM	classe
.	SENT	.
les	DET:ART	le
enfants	NOM	enfant
de	PRP	de
l'	DET:ART	le
école	NOM	école
élémentaire	ADJ	élémentaire
de	PRP	de
la	DET:ART	le
masserine	NOM	masserine
,	PUN	,
inscrits	VER:pper	inscrire
au	PRP:det	au
périscolaire	ADJ	périscolaire
,	PUN	,
ont	VER:pres	avoir
fêté	VER:pper	fêter
lundi	NOM	lundi
soir	NOM	soir
la	DET:ART	le
chandeleur	NOM	chandeleur
.	SENT	.
une	DET:ART	un
fois	NOM	foi|fois
les	DET:ART	le
cahiers	NOM	cahier
bien	ADV	bien
rangés	VER:pper	ranger
dans	PRP	dans
les	DET:ART	le
cartables	NOM	cartable
,	PUN	,
les	DET:ART	le
enfants	NOM	enfant
ont	VER:pres	avoir
coiffé	VER:pper	coiffer
la	DET:ART	le
toque	NOM	toque
de	PRP	de
cuisinier	NOM	cuisinier
pour	PRP	pour
préparer	VER:infi	préparer
la	DET:ART	le
pâte	NOM	pâte
.	SENT	.
a	VER:pres	avoir
peine	NOM	peine
cuites	VER:pper	cuire
,	PUN	,
les	DET:ART	le
crêpes	NOM	crêpe
étaient	VER:impf	être
déjà	ADV	déjà
englouties	VER:pper	engloutir
par	PRP	par
tous	PRO:IND	tout
ces	PRO:DEM	ce
petits	ADJ	petit
ventres	NOM	ventre
affamés	ADJ	affamé
.	SENT	.
crêpes	NOM	crêpe
au	PRP:det	au
sucre	NOM	sucre
,	PUN	,
à	PRP	à
la	DET:ART	le
confiture	NOM	confiture
ou	KON	ou
au	PRP:det	au
chocolat	NOM	chocolat
,	PUN	,
il	PRO:PER	il
y	PRO:PER	y
en	PRO:PER	en
avait	VER:impf	avoir
pour	PRP	pour
tous	PRO:IND	tout
les	DET:ART	le
goûts	NOM	goût
.	SENT	.
joël	NAM	Joël
,	PUN	,
sébastien	NOM	sébastien
et	KON	et
perrine	NOM	perrine
ont	VER:pres	avoir
fait	VER:pper	faire
le	DET:ART	le
service	NOM	service
pour	PRP	pour
les	DET:ART	le
plus	ADV	plus
jeunes	ADJ	jeune
,	PUN	,
sous	PRP	sous
l'	NOM	l'
il	PRO:PER	il
attentif	ADJ	attentif
de	PRP	de
leurs	DET:POS	leur
animatrices	NOM	animateur
.	SENT	.
une	DET:ART	un
initiative	NOM	initiative
qui	PRO:REL	qui
ne	ADV	ne
demande	VER:pres	demander
,	PUN	,
de	PRP	de
la	DET:ART	le
part	NOM	part
des	PRP:det	du
enfants	NOM	enfant
,	PUN	,
qu'	KON	que
à	PRP	à
être	VER:infi	être
renouvelée	VER:pper	renouveler
.	SENT	.
l'	DET:ART	le
association	NOM	association
locale	ADJ	local
des	PRP:det	du
parents	NOM	parent|parents
d'	PRP	de
élèves	NOM	élève
(	PUN	(
alpe	NOM	alpe
)	PUN	)
de	PRP	de
pulnoy	NOM	pulnoy
,	PUN	,
organisatrice	ADJ	organisateur
de	PRP	de
cet	PRO:DEM	ce
accueil	NOM	accueil
périscolaire	ADJ	périscolaire
,	PUN	,
recherche	NOM	recherche
,	PUN	,
pour	PRP	pour
le	DET:ART	le
début	NOM	début
du	PRP:det	du
mois	NOM	moi|mois
de	PRP	de
mars	NOM	mars
,	PUN	,
une	DET:ART	un
animatrice	NOM	animateur
ou	KON	ou
un	DET:ART	un
animateur	NOM	animateur
majeur	ADJ	majeur
,	PUN	,
titulaire	ADJ	titulaire
du	PRP:det	du
bafa	NOM	bafa
,	PUN	,
pour	PRP	pour
encadrer	VER:infi	encadrer
les	DET:ART	le
enfants	NOM	enfant
inscrits	VER:pper	inscrire
du	PRP:det	du
côté	NOM	côté
de	PRP	de
la	DET:ART	le
moissonnerie	NOM	moissonnerie
,	PUN	,
les	DET:ART	le
lundis	NOM	lundi
,	PUN	,
mardis	NOM	mardi
,	PUN	,
jeudis	NOM	jeudi
et	KON	et
vendredis	NOM	vendredi
de	PRP	de
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
pour	PRP	pour
tout	PRO:IND	tout
renseignement	NOM	renseignement
,	PUN	,
vous	PRO:PER	vous
pouvez	VER:pres	pouvoir
contacter	VER:infi	contacter
mme	VER:futu	mme
strabach	NOM	strabach
,	PUN	,
présidente	NOM	président
de	PRP	de
l'	DET:ART	le
alpe	NOM	alpe
au	PRP:det	au
03.83	NUM	@card@
.	SENT	.
21.30	NUM	@card@
.	SENT	.
91	NUM	@card@
