qui	PRO	qui
dit	VER:pres	dire
nouvel	ADJ	nouveau
an	NOM	an
,	PUN	,
dit	VER:pres	dire
innovation	NOM	innovation
et	KON	et
c'	PRO:DEM	ce
est	VER:pres	être
une	DET:ART	un
première	NUM	premier
au	PRP:det	au
sein	NOM	sein
de	PRP	de
la	DET:ART	le
localité	NOM	localité
d'	PRP	de
athienville	NOM	athienville
,	PUN	,
administrée	VER:pper	administrer
par	PRP	par
un	DET:ART	un
conseil	NOM	conseil
municipal	ADJ	municipal
jeune	ADJ	jeune
et	KON	et
dirigé	VER:pper	diriger
par	PRP	par
un	DET:ART	un
maire	NOM	maire
dynamique	ADJ	dynamique
en	PRP	en
la	DET:ART	le
personne	NOM	personne
de	PRP	de
jean-louis	NOM	jean-louis
gazin	NOM	gazin
.	SENT	.
en	PRP	en
effet	NOM	effet
,	PUN	,
la	DET:ART	le
municipalité	NOM	municipalité
a	VER:pres	avoir
fait	VER:pper	faire
honneur	NOM	honneur
à	PRP	à
ses	DET:POS	son
nouveaux	ADJ	nouveau
habitants	NOM	habitant
,	PUN	,
lors	ADV	lors
de	PRP	de
la	DET:ART	le
cérémonie	NOM	cérémonie
des	PRP:det	du
bons	ADJ	bon
v	NOM	v
	ADJ	
ux	ADJ	ux
du	PRP:det	du
maire	NOM	maire
:	PUN	:
vingt	NUM	vingt
et	KON	et
une	DET:ART	un
personnes	NOM	personne
furent	VER:simp	être
accueillies	VER:pper	accueillir
dans	PRP	dans
la	DET:ART	le
salle	NOM	salle
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
.	SENT	.
«	PUN:cit	«
autrefois	ADV	autrefois
,	PUN	,
les	DET:ART	le
nouveaux	ADJ	nouveau
venus	VER:pper	venir
au	PRP:det	au
village	NOM	village
étaient	VER:impf	être
qualifiés	VER:pper	qualifier
d'	PRP	de
étrangers	NOM	étranger
:	PUN	:
aujourd'hui	ADV	aujourd'hui
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
terminé	VER:pper	terminer
,	PUN	,
nous	PRO:PER	nous
souhaitons	VER:pres	souhaiter
vous	PRO:PER	vous
intégrer	VER:infi	intégrer
rapidement	ADV	rapidement
dans	PRP	dans
notre	DET:POS	notre
commune	NOM	commune
,	PUN	,
où	PRO:REL	où
il	PRO:PER	il
fait	VER:pres	faire
bon	ADV	bon
y	PRO:PER	y
vivre	VER:infi	vivre
et	KON	et
soyez	VER:subp	être
les	DET:ART	le
bienvenus	NOM	bienvenu
parmi	PRP	parmi
nous	PRO:PER	nous
!	SENT	!
»	PUN:cit	»
affirme	VER:pres	affirmer
le	DET:ART	le
premier	NUM	premier
magistrat	NOM	magistrat
.	SENT	.
lors	ADV	lors
de	PRP	de
sa	DET:POS	son
première	NUM	premier
cérémonie	NOM	cérémonie
des	PRP:det	du
bons	ADJ	bon
v	NOM	v
	ADJ	
ux	ADJ	ux
,	PUN	,
jean-louis	NOM	jean-louis
gazin	NOM	gazin
en	PRO:PER	en
a	VER:pres	avoir
profité	VER:pper	profiter
pour	PRP	pour
présenter	VER:infi	présenter
les	DET:ART	le
services	NOM	service
municipaux	ADJ	municipal
,	PUN	,
sociaux	ADJ	social
,	PUN	,
associatifs	ADJ	associatif
,	PUN	,
scolaires	ADJ	scolaire
et	KON	et
para	NOM	para
scolaires	ADJ	scolaire
mis	VER:pper	mettre
à	PRP	à
la	DET:ART	le
disposition	NOM	disposition
des	PRP:det	du
citoyens	NOM	citoyen
.	SENT	.
par	PRP	par
la	DET:ART	le
même	ADJ	même
,	PUN	,
il	PRO:PER	il
a	VER:pres	avoir
cédé	VER:pper	céder
la	DET:ART	le
parole	NOM	parole
aux	PRP:det	au
divers	ADJ	divers
responsables	ADJ	responsable
des	PRP:det	du
différentes	ADJ	différent
structures	NOM	structure
et	KON	et
les	DET:ART	le
grands	ADJ	grand
traits	NOM	trait
de	PRP	de
chacune	PRO:IND	chacun
d'	PRP	de
elles	PRO:PER	elle
furent	VER:simp	être
ainsi	ADV	ainsi
énoncés	VER:pper	énoncer
clairement	ADV	clairement
.	SENT	.
bien	ADV	bien
évidemment	ADV	évidemment
,	PUN	,
les	DET:ART	le
portes	NOM	porte
se	PRO:PER	se
sont	VER:pres	être
ouvertes	VER:pper	ouvrir
à	PRP	à
double	NOM	double
battants	ADJ	battant
pour	PRP	pour
y	PRO:PER	y
accueillir	VER:infi	accueillir
les	DET:ART	le
21	NUM	@card@
nouveaux	NOM	nouveau
résidants	ADJ	résidant
venus	VER:pper	venir
renforcer	VER:infi	renforcer
la	DET:ART	le
population	NOM	population
athienvilloise	ADJ	athienvilloise
,	PUN	,
en	PRP	en
moins	ADV	moins
d'	PRP	de
un	DET:ART	un
an	NOM	an
.	SENT	.
notons	VER:pres	noter
que	KON	que
la	DET:ART	le
liste	NOM	liste
est	VER:pres	être
exhaustive	ADJ	exhaustif
avec	PRP	avec
l'	DET:ART	le
annonce	NOM	annonce
de	PRP	de
trois	NUM	trois
prochaines	ADJ	prochain
naissances	NOM	naissance
parmi	PRP	parmi
ces	PRO:DEM	ce
jeunes	ADJ	jeune
et	KON	et
nouvelles	ADJ	nouveau
familles	NOM	famille
.	SENT	.
devant	PRP	devant
ce	PRO:DEM	ce
message	NOM	message
chaleureux	ADJ	chaleureux
d'	PRP	de
accueil	NOM	accueil
et	KON	et
de	PRP	de
sincérité	NOM	sincérité
,	PUN	,
l'	DET:ART	le
esprit	NOM	esprit
républicain	ADJ	républicain
ambiant	ADJ	ambiant
fut	VER:simp	être
battu	VER:pper	battre
en	PRP	en
brèche	NOM	brèche
lors	ADV	lors
du	PRP:det	du
verre	NOM	verre
de	PRP	de
l'	DET:ART	le
amitié	NOM	amitié
porté	VER:pper	porter
à	PRP	à
la	DET:ART	le
nouvelle	ADJ	nouveau
année	NOM	année
.	SENT	.
