c'	PRO:DEM	ce
est	VER:pres	être
à	PRP	à
la	DET:ART	le
polyclinique	NOM	polyclinique
majorelle	ADJ	majorelle
à	PRP	à
nancy	NOM	nancy
,	PUN	,
le	DET:ART	le
14	NUM	@card@
janvier	NOM	janvier
,	PUN	,
12	NUM	@card@
h	ABR	heure
30	NUM	@card@
qu'	KON	que
est	VER:pres	être
né	VER:pper	naître
alban	NOM	alban
,	PUN	,
un	DET:ART	un
beau	ADJ	beau
bébé	NOM	bébé
de	PRP	de
3,270	NUM	@card@
kg	ABR	kg
et	KON	et
mesurant	VER:ppre	mesurer
50	NUM	@card@
cm	NOM	cm
.	SENT	.
le	DET:ART	le
bambin	NOM	bambin
est	VER:pres	être
le	DET:ART	le
deuxième	NUM	deuxième
enfant	NOM	enfant
du	PRP:det	du
couple	NOM	couple
lespinasse	VER:subi	lespinasse
.	SENT	.
il	PRO:PER	il
viendra	VER:futu	venir
bientôt	ADV	bientôt
rejoindre	VER:infi	rejoindre
au	PRP:det	au
domicile	NOM	domicile
familial	ADJ	familial
son	DET:POS	son
frère	NOM	frère
florent	ADJ	florent
,	PUN	,
âgé	ADJ	âgé
de	PRP	de
3	NUM	@card@
ans	NOM	an
.	SENT	.
a	VER:pres	avoir
la	DET:ART	le
grande	ADJ	grand
joie	NOM	joie
de	PRP	de
ses	DET:POS	son
parents	NOM	parent|parents
,	PUN	,
anne-marie	NOM	anne-marie
,	PUN	,
auditrice	NOM	auditeur
,	PUN	,
et	KON	et
marc	NOM	marc
,	PUN	,
professeur	NOM	professeur
de	PRP	de
géologie	NOM	géologie
à	PRP	à
l'	DET:ART	le
université	NOM	université
nancy	NOM	nancy
1	NUM	@card@
nos	DET:POS	notre
félicitations	NOM	félicitation
aux	PRP:det	au
parents	NOM	parent|parents
et	KON	et
nos	DET:POS	notre
v	NOM	v
	ADJ	
ux	ADJ	ux
au	PRP:det	au
bébé	NOM	bébé
.	SENT	.
