lors	ADV	lors
de	PRP	de
la	DET:ART	le
dernière	ADJ	dernier
réunion	NOM	réunion
du	PRP:det	du
conseil	NOM	conseil
municipal	ADJ	municipal
,	PUN	,
ont	VER:pres	avoir
été	VER:pper	être
prises	VER:pper	prendre
les	DET:ART	le
décisions	NOM	décision
suivantes	ADJ	suivant
:	PUN	:
transfert	NOM	transfert
de	PRP	de
biens	NOM	bien
:	PUN	:
la	DET:ART	le
création	NOM	création
d'	PRP	de
un	DET:ART	un
budget	NOM	budget
annexe	ADJ	annexe
spécifique	ADJ	spécifique
pour	PRP	pour
la	DET:ART	le
gestion	NOM	gestion
des	PRP:det	du
forêts	NOM	forêt
entraîne	VER:pres	entraîner
le	DET:ART	le
transfert	NOM	transfert
de	PRP	de
la	DET:ART	le
totalité	NOM	totalité
des	PRP:det	du
biens	NOM	bien
forestiers	ADJ	forestier
,	PUN	,
du	PRP:det	du
budget	NOM	budget
de	PRP	de
la	DET:ART	le
commune	NOM	commune
à	PRP	à
celui	PRO:DEM	celui
du	PRP:det	du
service	NOM	service
des	PRP:det	du
forêts	NOM	forêt
.	SENT	.
le	DET:ART	le
conseil	NOM	conseil
y	PRO:PER	y
procède	VER:pres	procéder
par	PRP	par
l'	DET:ART	le
ouverture	NOM	ouverture
des	PRP:det	du
crédits	NOM	crédit
nécessaires	ADJ	nécessaire
aux	PRP:det	au
écritures	NOM	écriture
.	SENT	.
indemnité	NOM	indemnité
de	PRP	de
conseil	NOM	conseil
au	PRP:det	au
comptable	NOM	comptable
:	PUN	:
la	DET:ART	le
comptable	NOM	comptable
se	PRO:PER	se
voit	VER:pres	voir
accorder	VER:infi	accorder
l'	DET:ART	le
indemnité	NOM	indemnité
de	PRP	de
conseil	NOM	conseil
à	PRP	à
laquelle	PRO:REL	lequel
elle	PRO:PER	elle
peut	VER:pres	pouvoir
prétendre	VER:infi	prétendre
pour	PRP	pour
2002	NUM	@card@
cette	PRO:DEM	ce
décision	NOM	décision
est	VER:pres	être
étendue	VER:pper	étendre
à	PRP	à
la	DET:ART	le
totalité	NOM	totalité
du	PRP:det	du
mandat	NOM	mandat
municipal	ADJ	municipal
.	SENT	.
révision	NOM	révision
de	PRP	de
tarifs	NOM	tarif
:	PUN	:
à	PRP	à
compter	VER:infi	compter
du	PRP:det	du
1	NUM	@card@
e	NOM	e
janvier	NOM	janvier
2003	NUM	@card@
les	DET:ART	le
tarifs	NOM	tarif
communaux	ADJ	communal
suivants	ADJ	suivant
seront	VER:futu	être
appliqués	VER:pper	appliquer
.	SENT	.
prix	NOM	prix
de	PRP	de
l'	DET:ART	le
eau	NOM	eau
:	PUN	:
0,50	NUM	@card@
euros	NOM	euro
le	PRO:PER	le
m	VER:futu	m
3	NUM	@card@
-	PUN	-
maintenance	NOM	maintenance
:	PUN	:
11	NUM	@card@
euros	NOM	euro
par	PRP	par
concession	NOM	concession
-	PUN	-
taxe	VER:pres	taxer
assainissement	NOM	assainissement
