a	VER:pres	avoir
la	DET:ART	le
maison	NOM	maison
du	PRP:det	du
tourisme	NOM	tourisme
-	PUN	-
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
matin	NOM	matin
punch	NOM	punch
,	PUN	,
réveil	NOM	réveil
musculaire	ADJ	musculaire
,	PUN	,
renforcement	NOM	renforcement
,	PUN	,
step	NOM	step
...	PUN	...
tarif	NOM	tarif
2,30	NUM	@card@
	NOM	
ou	KON	ou
15	NUM	@card@
points	NOM	point
malins	ADJ	malin
.	SENT	.
rendez-vous	NOM	rendez-vous
à	PRP	à
la	DET:ART	le
salle	NOM	salle
de	PRP	de
gymnastique	NOM	gymnastique
des	PRP:det	du
thermes	NOM	thermes
,	PUN	,
sous	PRP	sous
la	DET:ART	le
galerie	NOM	galerie
thermale	ADJ	thermal
.	SENT	.
-	PUN	-
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
marche	NOM	marche
à	PRP	à
thème	NOM	thème
.	SENT	.
tarif	NOM	tarif
2,30	NUM	@card@
	NOM	
ou	KON	ou
15	NUM	@card@
points	NOM	point
malins	ADJ	malin
.	SENT	.
rendez-vous	NOM	rendez-vous
et	KON	et
départ	NOM	départ
à	PRP	à
la	DET:ART	le
maison	NOM	maison
du	PRP:det	du
tourisme	NOM	tourisme
,	PUN	,
renseignements	NOM	renseignement
au	PRP:det	au
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
08.08	NUM	@card@
.	SENT	.
88	NUM	@card@
