du	PRP:det	du
haut	ADJ	haut
de	PRP	de
ses	DET:POS	son
50	NUM	@card@
cm	NOM	cm
,	PUN	,
gabriel	ADJ	gabriel
fait	VER:pres	faire
la	DET:ART	le
joie	NOM	joie
de	PRP	de
ses	DET:POS	son
parents	NOM	parent|parents
m.	VER:futu	m.
sylvain	ADJ	sylvain
lata	NOM	lata
,	PUN	,
agent	NOM	agent
comptable	ADJ	comptable
à	PRP	à
la	DET:ART	le
cité	NOM	cité
scolaire	ADJ	scolaire
et	KON	et
mme	ADJ	mme
,	PUN	,
née	VER:pper	naître
sylvie	NOM	sylvie
duméreau	NOM	duméreau
.	SENT	.
3,290	NUM	@card@
kg	ABR	kg
de	PRP	de
pur	ADJ	pur
bonheur	NOM	bonheur
pour	PRP	pour
mme	NOM	madame
et	KON	et
m.	VER:simp	m.
lata	NOM	lata
et	KON	et
leurs	DET:POS	leur
proches	NOM	proche
.	SENT	.
tous	PRO:IND	tout
nos	DET:POS	notre
v	NOM	v
	ADJ	
ux	ADJ	ux
.	SENT	.
