les	DET:ART	le
pompiers	NOM	pompier
du	PRP:det	du
centre	NOM	centre
de	PRP	de
secours	NOM	secours
ont	VER:pres	avoir
été	VER:pper	être
appelés	VER:pper	appeler
vendredi	NOM	vendredi
à	PRP	à
18	NUM	@card@
h	ABR	heure
25	NUM	@card@
pour	PRP	pour
un	DET:ART	un
malaise	NOM	malais|malaise
à	PRP	à
varangéville	NOM	varangéville
,	PUN	,
à	PRP	à
18	NUM	@card@
h	ABR	heure
50	NUM	@card@
pour	PRP	pour
une	DET:ART	un
fuite	NOM	fuite
d'	PRP	de
eau	NOM	eau
à	PRP	à
varangéville	NOM	varangéville
,	PUN	,
à	PRP	à
19	NUM	@card@
h	ABR	heure
40	NUM	@card@
pour	PRP	pour
une	DET:ART	un
chute	NOM	chute
à	PRP	à
dombasle	NOM	dombasle
,	PUN	,
à	PRP	à
21	NUM	@card@
h	ABR	heure
pour	PRP	pour
une	DET:ART	un
fuite	NOM	fuite
d'	PRP	de
eau	NOM	eau
à	PRP	à
saint-nicolas	NOM	saint-nicolas
,	PUN	,
à	PRP	à
21	NUM	@card@
h	ABR	heure
35	NUM	@card@
pour	PRP	pour
un	DET:ART	un
malaise	NOM	malais|malaise
à	PRP	à
varangéville	NOM	varangéville
et	KON	et
à	PRP	à
23	NUM	@card@
h	ABR	heure
40	NUM	@card@
pour	PRP	pour
un	DET:ART	un
malaise	NOM	malais|malaise
à	PRP	à
saint-nicolas	NOM	saint-nicolas
.	SENT	.
samedi	NOM	samedi
,	PUN	,
à	PRP	à
8	NUM	@card@
h	ABR	heure
25	NUM	@card@
fuite	NOM	fuite
d'	PRP	de
eau	NOM	eau
à	PRP	à
saint-nicolas	NOM	saint-nicolas
,	PUN	,
à	PRP	à
9	NUM	@card@
h	ABR	heure
15	NUM	@card@
fuite	NOM	fuite
de	PRP	de
gaz	NOM	gaz
à	PRP	à
saint-nicolas	NOM	saint-nicolas
.	SENT	.
