hier	ADV	hier
vers	PRP	vers
22	NUM	@card@
h	ABR	heure
,	PUN	,
une	DET:ART	un
collision	NOM	collision
s'	PRO:PER	se
est	VER:pres	être
produite	VER:pper	produire
entre	PRP	entre
deux	NUM	deux
véhicules	NOM	véhicule
à	PRP	à
l'	DET:ART	le
angle	NOM	angle
des	PRP:det	du
rues	NOM	rue
jeanne-d'arc	NOM	jeanne-d'arc
et	KON	et
du	PRP:det	du
maréchal-juin	NOM	maréchal-juin
,	PUN	,
à	PRP	à
nancy	NOM	nancy
.	SENT	.
l'	DET:ART	le
accident	NOM	accident
a	VER:pres	avoir
fait	VER:pper	faire
cinq	NUM	cinq
blessés	NOM	blessé
légers	ADJ	léger
,	PUN	,
trois	NUM	trois
ont	VER:pres	avoir
été	VER:pper	être
transportés	VER:pper	transporter
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
par	PRP	par
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
.	SENT	.
