aujourd'hui	ADV	aujourd'hui
:	PUN	:
20	NUM	@card@
h	ABR	heure
:	PUN	:
«	PUN:cit	«
le	DET:ART	le
cadavre	NOM	cadavre
était	VER:impf	être
presque	ADV	presque
parfait	ADJ	parfait
»	PUN:cit	»
de	PRP	de
eymard	NOM	eymard
motte	VER:pres	motter
de	PRP	de
la	DET:ART	le
montagne	NOM	montagne
au	PRP:det	au
théâtre	NOM	théâtre
de	PRP	de
la	DET:ART	le
manufacture	NOM	manufacture
,	PUN	,
interprété	VER:pper	interpréter
par	PRP	par
la	DET:ART	le
troupe	NOM	troupe
de	PRP	de
théâtre	NOM	théâtre
de	PRP	de
l'	DET:ART	le
ensaia	NOM	ensaia
.	SENT	.
22	NUM	@card@
h	ABR	heure
:	PUN	:
«	PUN:cit	«
théâtre	NOM	théâtre
sans	PRP	sans
animaux	NOM	animal
(	PUN	(
sketches	NOM	sketch
)	PUN	)
»	PUN:cit	»
de	PRP	de
jean-michel	NOM	jean-michel
ribes	NOM	ribes
au	PRP:det	au
théâtre	NOM	théâtre
de	PRP	de
la	DET:ART	le
manufacture	NOM	manufacture
,	PUN	,
interprété	VER:pper	interpréter
par	PRP	par
la	DET:ART	le
troupe	NOM	troupe
de	PRP	de
théâtre	NOM	théâtre
de	PRP	de
l'	DET:ART	le
ensaia	NOM	ensaia
.	SENT	.
mercredi	NOM	mercredi
5	NUM	@card@
février	NOM	février
:	PUN	:
15	NUM	@card@
h	ABR	heure
:	PUN	:
spectacles	NOM	spectacle
de	PRP	de
rue	NOM	rue
sur	PRP	sur
la	DET:ART	le
place	NOM	place
maginot	NOM	maginot
et	KON	et
dans	PRP	dans
le	DET:ART	le
parc	NOM	parc
de	PRP	de
la	DET:ART	le
pépinière	NOM	pépinière
.	SENT	.
20	NUM	@card@
h	ABR	heure
:	PUN	:
«	PUN:cit	«
peplum	NOM	peplum
»	PUN:cit	»
d'	PRP	de
amélie	NOM	amélie
nothomb	NOM	nothomb
,	PUN	,
au	PRP:det	au
théâtre	NOM	théâtre
de	PRP	de
la	DET:ART	le
manufacture	NOM	manufacture
,	PUN	,
interprété	VER:pper	interpréter
par	PRP	par
la	DET:ART	le
troupe	NOM	troupe
de	PRP	de
théâtre	NOM	théâtre
de	PRP	de
l'	DET:ART	le
ecole	NOM	ecole
de	PRP	de
géologie	NOM	géologie
.	SENT	.
22	NUM	@card@
h	ABR	heure
:	PUN	:
«	PUN:cit	«
le	DET:ART	le
fils	NOM	fil|fils
»	PUN:cit	»
de	PRP	de
christian	NOM	christian
rullier	ADJ	rullier
au	PRP:det	au
théâtre	NOM	théâtre
de	PRP	de
la	DET:ART	le
manufacture	NOM	manufacture
,	PUN	,
interprété	VER:pper	interpréter
par	PRP	par
la	DET:ART	le
troupe	NOM	troupe
de	PRP	de
théâtre	NOM	théâtre
de	PRP	de
l'	DET:ART	le
ensam	NOM	ensam
.	SENT	.
jeudi	NOM	jeudi
6	NUM	@card@
février	NOM	février
:	PUN	:
15	NUM	@card@
