c'	PRO:DEM	ce
est	VER:pres	être
aujourd'hui	ADV	aujourd'hui
que	KON	que
les	DET:ART	le
anciens	NOM	ancien
du	PRP:det	du
village	NOM	village
seront	VER:futu	être
les	DET:ART	le
invités	NOM	invité
de	PRP	de
la	DET:ART	le
commune	NOM	commune
pour	PRP	pour
le	DET:ART	le
repas	NOM	repas
qui	PRO:REL	qui
leur	PRO:PER	lui
est	VER:pres	être
réservé	VER:pper	réserver
chaque	PRO:IND	chaque
année	NOM	année
au	PRP:det	au
mois	NOM	moi|mois
de	PRP	de
février	NOM	février
.	SENT	.
rendez-vous	NOM	rendez-vous
à	PRP	à
la	DET:ART	le
salle	NOM	salle
du	PRP:det	du
lavoir	NOM	lavoir
.	SENT	.
