mme	VER:cond	mme
nicole	ADJ	nicole
baulard	NOM	baulard
a	VER:pres	avoir
suivi	VER:pper	suivre
hier	ADV	hier
la	DET:ART	le
rencontre	NOM	rencontre
.	SENT	.
sa	DET:POS	son
mère	NOM	mère
âgée	ADJ	âgé
de	PRP	de
82	NUM	@card@
ans	NOM	an
séjourne	VER:pres	séjourner
au	PRP:det	au
centre	NOM	centre
de	PRP	de
long	ADJ	long
séjour	NOM	séjour
de	PRP	de
bellevaux	NOM	bellevaux
:	PUN	:
«	PUN:cit	«
cela	PRO:DEM	cela
a	VER:pres	avoir
dû	VER:pper	devoir
commencer	VER:infi	commencer
vers	PRP	vers
1987	NUM	@card@
-	PUN	-
88	NUM	@card@
ma	DET:POS	mon
mère	NOM	mère
avait	VER:impf	avoir
des	PRP:det	du
pertes	NOM	perte
de	PRP	de
mémoire	NOM	mémoire
,	PUN	,
elle	PRO:PER	elle
a	VER:pres	avoir
d'	PRP	de
abord	NOM	abord
consulté	VER:pper	consulter
son	DET:POS	son
généraliste	NOM	généraliste
avant	PRP	avant
de	PRP	de
se	PRO:PER	se
rendre	VER:infi	rendre
ensuite	ADV	ensuite
chez	PRP	chez
un	DET:ART	un
neurologue	NOM	neurologue
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
une	DET:ART	un
femme	NOM	femme
de	PRP	de
tempérament	NOM	tempérament
et	KON	et
elle	PRO:PER	elle
a	VER:pres	avoir
alors	ADV	alors
réussi	VER:pper	réussir
à	PRP	à
cacher	VER:infi	cacher
sa	DET:POS	son
maladie	NOM	maladie
en	PRP	en
passant	VER:ppre	passer
des	PRP:det	du
tests	NOM	test
.	SENT	.
ensuite	ADV	ensuite
,	PUN	,
on	PRO:PER	on
s'	PRO:PER	se
est	VER:pres	être
aperçu	VER:pper	apercevoir
qu'	KON	que
elle	PRO:PER	elle
avait	VER:impf	avoir
des	PRP:det	du
troubles	NOM	trouble
de	PRP	de
comportement	NOM	comportement
,	PUN	,
elle	PRO:PER	elle
mettait	VER:impf	mettre
les	DET:ART	le
clés	NOM	clé
dans	PRP	dans
le	DET:ART	le
frigo	NOM	frigo
,	PUN	,
ne	ADV	ne
reconnaissait	VER:impf	reconnaître
pas	ADV	pas
toujours	ADV	toujours
les	DET:ART	le
gens	NOM	gens
.	SENT	.
elle	PRO:PER	elle
a	VER:pres	avoir
fait	VER:pper	faire
des	PRP:det	du
fugues	NOM	fugue
.	SENT	.
aujourd'hui	ADV	aujourd'hui
,	PUN	,
après	PRP	après
avoir	VER:infi	avoir
été	VER:pper	être
hospitalisée	VER:pper	hospitaliser
au	PRP:det	au
chs	NOM	chs
de	PRP	de
novillars	NOM	novillars
,	PUN	,
elle	PRO:PER	elle
est	VER:pres	être
au	PRP:det	au
centre	NOM	centre
de	PRP	de
bellevaux	NOM	bellevaux
.	SENT	.
je	PRO:PER	je
ne	ADV	ne
le	PRO:PER	le
vis	VER:pres	vivre
pas	ADV	pas
bien	ADV	bien
,	PUN	,
on	PRO:PER	on
n'	ADV	ne
accepte	VER:pres	accepter
pas	ADV	pas
cette	PRO:DEM	ce
maladie	NOM	maladie
.	SENT	.
je	PRO:PER	je
crois	VER:pres	croire
qu'	KON	que
elle	PRO:PER	elle
reconnaît	VER:pres	reconnaître
ma	DET:POS	mon
tête	NOM	tête
mais	KON	mais
ça	PRO:DEM	cela
se	PRO:PER	se
limite	VER:pres	limiter
à	PRP	à
ça	PRO:DEM	cela
.	SENT	.
ce	PRO:DEM	ce
qui	PRO:REL	qui
me	PRO:PER	me
perturbe	VER:pres	perturber
beaucoup	ADV	beaucoup
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
la	DET:ART	le
déchéance	NOM	déchéance
,	PUN	,
ce	PRO:DEM	ce
n'	ADV	ne
est	VER:pres	être
plus	ADV	plus
ma	DET:POS	mon
mère	NOM	mère
»	PUN:cit	»
