«	PUN:cit	«
au	PRP:det	au
seuil	NOM	seuil
de	PRP	de
cette	PRO:DEM	ce
nouvelle	ADJ	nouveau
année	NOM	année
,	PUN	,
il	PRO:PER	il
me	PRO:PER	me
tient	VER:pres	tenir
à	PRP	à
c	ADJ	c
	NOM	
ur	VER:subi	ur
de	PRP	de
vous	PRO:PER	vous
souhaiter	VER:infi	souhaiter
,	PUN	,
à	PRP	à
vous	PRO:PER	vous
et	KON	et
à	PRP	à
votre	DET:POS	votre
famille	NOM	famille
,	PUN	,
une	DET:ART	un
bonne	ADJ	bon
année	NOM	année
2003	NUM	@card@
l'	DET:ART	le
année	NOM	année
qui	PRO:REL	qui
s'	PRO:PER	se
achève	VER:pres	achever
a	VER:pres	avoir
,	PUN	,
sans	PRP	sans
nul	ADJ	nul
doute	NOM	doute
,	PUN	,
été	VER:pper	être
marquée	VER:pper	marquer
par	PRP	par
la	DET:ART	le
configuration	NOM	configuration
inattendue	ADJ	inattendu
du	PRP:det	du
second	NUM	second
tour	NOM	tour
du	PRP:det	du
scrutin	NOM	scrutin
présidentiel	ADJ	présidentiel
.	SENT	.
malgré	PRP	malgré
la	DET:ART	le
déception	NOM	déception
,	PUN	,
l'	DET:ART	le
incompréhension	NOM	incompréhension
,	PUN	,
du	PRP:det	du
côté	NOM	côté
des	PRP:det	du
forces	NOM	force|forces
de	PRP	de
progrès	NOM	progrès
,	PUN	,
la	DET:ART	le
réaction	NOM	réaction
immédiate	ADJ	immédiat
ne	ADV	ne
fut	VER:simp	être
pas	ADV	pas
l'	DET:ART	le
abattement	NOM	abattement
mais	KON	mais
la	DET:ART	le
mobilisation	NOM	mobilisation
contre	PRP	contre
les	DET:ART	le
idées	NOM	idée
d'	PRP	de
exclusion	NOM	exclusion
marquant	VER:ppre	marquer
ainsi	ADV	ainsi
le	DET:ART	le
sens	NOM	sen|sens
du	PRP:det	du
devoir	NOM	devoir
de	PRP	de
ces	PRO:DEM	ce
millions	NOM	million
d'	PRP	de
électeurs	NOM	électeur
privés	VER:pper	priver
d'	PRP	de
un	DET:ART	un
candidat	NOM	candidat
de	PRP	de
gauche	NOM	gauche
au	PRP:det	au
second	NUM	second
tour	NOM	tour
.	SENT	.
des	PRP:det	du
millions	NOM	million
de	PRP	de
français	ADJ	français
se	PRO:PER	se
sont	VER:pres	être
ainsi	ADV	ainsi
réunis	VER:pper	réunir
,	PUN	,
non	ADV	non
pas	ADV	pas
en	PRP	en
faveur	NOM	faveur
d'	PRP	de
un	DET:ART	un
programme	NOM	programme
-	PUN	-
au	PRP:det	au
demeurant	NOM	demeurant
bien	ADV	bien
flou	ADJ	flou
mais	KON	mais
contre	PRP	contre
de	PRP	de
prétendues	ADJ	prétendu
valeurs	NOM	valeur
qu'	PRO:REL	que
ils	PRO:PER	il
récusent	VER:pres	récuser
.	SENT	.
par	PRP	par
son	DET:POS	son
ampleur	NOM	ampleur
,	PUN	,
ce	PRO:DEM	ce
sursaut	NOM	sursaut
national	ADJ	national
,	PUN	,
est	VER:pres	être
en	PRP	en
lui-même	PRO:PER	lui-même
rassurant	VER:ppre	rassurer
.	SENT	.
pour	PRP	pour
l'	DET:ART	le
immense	ADJ	immense
majorité	NOM	majorité
des	PRP:det	du
électeurs	NOM	électeur
,	PUN	,
dont	PRO:REL	dont
de	PRP	de
