paio	NOM	paio
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
sur	PRP	sur
rendez-vous	NOM	rendez-vous
au	PRP:det	au
bureau	NOM	bureau
des	PRP:det	du
permanences	NOM	permanence
,	PUN	,
rue	NOM	rue
g.	ADJ	g.
et	KON	et
g.	ADJ	g.
froitier	NOM	froitier
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
08.42	NUM	@card@
.	SENT	.
17	NUM	@card@
bureau	NOM	bureau
demandeurs	NOM	demandeur
d'	PRP	de
emploi	NOM	emploi
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
rez-de-chaussée	NOM	rez-de-chaussée
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
08.91	NUM	@card@
.	SENT	.
80	NUM	@card@
permanence	NOM	permanence
au	PRP:det	au
presbytère	NOM	presbytère
permanence	NOM	permanence
de	PRP	de
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
189	NUM	@card@
rue	NOM	rue
gaston-thomson	NOM	gaston-thomson
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
08.02	NUM	@card@
.	SENT	.
62	NUM	@card@
football	NOM	football
a	VER:pres	avoir
18	NUM	@card@
h	ABR	heure
au	PRP:det	au
stade	NOM	stade
municipal	ADJ	municipal
,	PUN	,
entraînement	NOM	entraînement
des	PRP:det	du
équipes	NOM	équipe
seniors	NOM	senior
.	SENT	.
gym	NOM	gym
volontaire	ADJ	volontaire
a	VER:pres	avoir
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
complexe	NOM	complexe
sportif	ADJ	sportif
pour	PRP	pour
la	DET:ART	le
section	NOM	section
seniors	NOM	senior
.	SENT	.
basket	NOM	basket
au	PRP:det	au
complexe	NOM	complexe
sportif	ADJ	sportif
de	PRP	de
