c'	PRO:DEM	ce
est	VER:pres	être
un	DET:ART	un
1	NUM	@card@
e	NOM	e
r	VER:subi	r
janvier	NOM	janvier
placé	VER:pper	placer
sous	PRP	sous
le	DET:ART	le
signe	NOM	signe
de	PRP	de
la	DET:ART	le
sécurité	NOM	sécurité
qui	PRO:REL	qui
a	VER:pres	avoir
vu	VER:pper	voir
la	DET:ART	le
coopération	NOM	coopération
des	PRP:det	du
deux	NUM	deux
brigades	NOM	brigade
de	PRP	de
gendarmerie	NOM	gendarmerie
de	PRP	de
champagney	NOM	champagney
et	KON	et
melisey	NOM	melisey
effectuer	VER:infi	effectuer
,	PUN	,
dans	PRP	dans
le	DET:ART	le
cadre	NOM	cadre
de	PRP	de
la	DET:ART	le
«	PUN:cit	«
communauté	NOM	communauté
de	PRP	de
brigades	NOM	brigade
»,	ADJ	»,
une	DET:ART	un
opération	NOM	opération
de	PRP	de
contrôle	NOM	contrôle
d'	PRP	de
alcoolémie	NOM	alcoolémie
sur	PRP	sur
le	DET:ART	le
territoire	NOM	territoire
des	PRP:det	du
deux	NUM	deux
communes	NOM	commune
.	SENT	.
un	DET:ART	un
poste	NOM	poste
de	PRP	de
contrôle	NOM	contrôle
a	VER:pres	avoir
été	VER:pper	être
de	PRP	de
même	ADV	même
installé	VER:pper	installer
à	PRP	à
ronchamp	NOM	ronchamp
.	SENT	.
les	DET:ART	le
brigades	NOM	brigade
n'	ADV	ne
ont	VER:pres	avoir
pas	ADV	pas
eu	VER:pper	avoir
à	PRP	à
sanctionner	VER:infi	sanctionner
de	PRP	de
contrevenant	VER:ppre	contrevenir
.	SENT	.
