c'	PRO:DEM	ce
est	VER:pres	être
avec	PRP	avec
tristesse	NOM	tristesse
que	PRO:REL	que
l'	DET:ART	le
on	PRO:PER	on
a	VER:pres	avoir
appris	VER:pper	apprendre
le	DET:ART	le
décès	NOM	décès
de	PRP	de
l'	DET:ART	le
adjudant	NOM	adjudant
luc	NOM	luc
agier	ADJ	agier
du	PRP:det	du
1	NUM	@card@
e	NOM	e
r/2e	VER:pres	r/2e
rch	NOM	rch
de	PRP	de
thierville-sur-meuse	NOM	thierville-sur-meuse
,	PUN	,
à	PRP	à
l'	DET:ART	le
âge	NOM	âge
de	PRP	de
41	NUM	@card@
ans	NOM	an
.	SENT	.
né	VER:pper	naître
le	DET:ART	le
26	NUM	@card@
février	NOM	février
1961	NUM	@card@
à	PRP	à
saint-rémy-sur-durolle	NOM	saint-rémy-sur-durolle
dans	PRP	dans
le	DET:ART	le
puy-de-dôme	NOM	puy-de-dôme
,	PUN	,
il	PRO:PER	il
était	VER:impf	être
marié	VER:pper	marier
et	KON	et
père	NOM	père
de	PRP	de
deux	NUM	deux
enfants	NOM	enfant
,	PUN	,
david	NOM	david
et	KON	et
guy	NOM	guy
.	SENT	.
il	PRO:PER	il
a	VER:pres	avoir
successivement	ADV	successivement
servi	VER:pper	servir
au	PRP:det	au
4	NUM	@card@
e	NOM	e
régiment	NOM	régiment
de	PRP	de
cuirassés	NOM	cuirassé
de	PRP	de
bitche	NOM	bitche
,	PUN	,
au	PRP:det	au
5	NUM	@card@
e	NOM	e
régiment	NOM	régiment
de	PRP	de
chars	NOM	char
de	PRP	de
combat	NOM	combat
de	PRP	de
rambouillet	NOM	rambouillet
,	PUN	,
puis	ADV	puis
de	PRP	de
nouveau	ADJ	nouveau
à	PRP	à
bitche	NOM	bitche
.	SENT	.
avant	PRP	avant
d'	PRP	de
être	VER:infi	être
affecté	VER:pper	affecter
depuis	PRP	depuis
juillet	NOM	juillet
1997	NUM	@card@
au	PRP:det	au
1	NUM	@card@
e	NOM	e
r/2e	VER:pres	r/2e
rch	NOM	rch
,	PUN	,
où	PRO:REL	où
il	PRO:PER	il
exerçait	VER:impf	exercer
les	DET:ART	le
fonctions	NOM	fonction
de	PRP	de
comptable	ADJ	comptable
matières	NOM	matière
.	SENT	.
sous-officier	NOM	sous-officier
exemplaire	ADJ	exemplaire
par	PRP	par
son	DET:POS	son
dévouement	NOM	dévouement
et	KON	et
son	DET:POS	son
professionnalisme	NOM	professionnalisme
,	PUN	,
il	PRO:PER	il
était	VER:impf	être
unanimement	ADV	unanimement
apprécié	VER:pper	apprécier
par	PRP	par
ses	DET:POS	son
chefs	NOM	chef
,	PUN	,
ses	DET:POS	son
pairs	NOM	pair
et	KON	et
ses	DET:POS	son
hommes	NOM	homme
,	PUN	,
qui	PRO:REL	qui
garderont	VER:futu	garder
l'	DET:ART	le
image	NOM	image
d'	PRP	de
un	DET:ART	un
camarade	NOM	camarade
toujours	ADV	toujours
souriant	ADJ	souriant
et	KON	et
prêt	ADJ	prêt
à	PRP	à
rendre	VER:infi	rendre
service	NOM	service
.	SENT	.
a	VER:pres	avoir
sa	DET:POS	son
veuve	NOM	veuf|veuve
,	PUN	,
à	PRP	à
ses	DET:POS	son
proches	NOM	proche
et	KON	et
à	PRP	à
toute	PRO:IND	tout
sa	DET:POS	son
famille	NOM	famille
,	PUN	,
nous	PRO:PER	nous
adressons	VER:pres	adresser
nos	DET:POS	notre
condoléances	NOM	condoléance
.	SENT	.
