c'	PRO:DEM	ce
est	VER:pres	être
sur	PRP	sur
le	DET:ART	le
thème	NOM	thème
des	PRP:det	du
spécialités	NOM	spécialité
et	KON	et
de	PRP	de
la	DET:ART	le
gastronomie	NOM	gastronomie
que	KON	que
le	DET:ART	le
centre	NOM	centre
social	ADJ	social
organise	VER:pres	organiser
le	DET:ART	le
centre	NOM	centre
de	PRP	de
loisirs	NOM	loisir
des	PRP:det	du
mercredis	NOM	mercredi
.	SENT	.
les	DET:ART	le
enfants	NOM	enfant
âgés	ADJ	âgé
de	PRP	de
4	NUM	@card@
à	PRP	à
12	NUM	@card@
ans	NOM	an
souhaitant	VER:ppre	souhaiter
se	PRO:PER	se
faire	VER:infi	faire
de	PRP	de
nouveaux	ADJ	nouveau
copains	NOM	copain
et	KON	et
copines	NOM	copine
et	KON	et
passer	VER:infi	passer
du	PRP:det	du
bon	ADJ	bon
temps	NOM	temps
peuvent	VER:pres	pouvoir
se	PRO:PER	se
rendre	VER:infi	rendre
au	PRP:det	au
centre	NOM	centre
social	ADJ	social
et	KON	et
culturel	ADJ	culturel
le	DET:ART	le
mercredi	NOM	mercredi
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
dès	PRP	dès
le	DET:ART	le
8	NUM	@card@
janvier	NOM	janvier
.	SENT	.
au	PRP:det	au
programme	NOM	programme
du	PRP:det	du
premier	NUM	premier
trimestre	NOM	trimestre
2003	NUM	@card@
:	PUN	:
visite	NOM	visite
de	PRP	de
l'	DET:ART	le
usine	NOM	usine
de	PRP	de
dragées	NOM	dragée
braquier	NOM	braquier
;	PUN	;
visite	NOM	visite
d'	PRP	de
une	DET:ART	un
fabrique	NOM	fabrique
de	PRP	de
madeleines	NOM	madeleine
;	PUN	;
la	DET:ART	le
fabrication	NOM	fabrication
du	PRP:det	du
pain	NOM	pain
à	PRP	à
l'	DET:ART	le
ancienne	ADJ	ancien
et	KON	et
de	PRP	de
la	DET:ART	le
boulangerie	NOM	boulangerie
de	PRP	de
mangiennes	NOM	mangiennes
.	SENT	.
pour	PRP	pour
les	DET:ART	le
grands	ADJ	grand
:	PUN	:
fabrication	NOM	fabrication
de	PRP	de
pot	NOM	pot
de	PRP	de
fleurs	NOM	fleur
à	PRP	à
décorer	VER:infi	décorer
,	PUN	,
de	PRP	de
sous-main	ADV	sous-main
,	PUN	,
de	PRP	de
magnets	NOM	magnets
fruits	NOM	fruit
,	PUN	,
de	PRP	de
cadres	NOM	cadre
.	SENT	.
pour	PRP	pour
les	DET:ART	le
petits	NOM	petit
:	PUN	:
fabrication	NOM	fabrication
de	PRP	de
moulins	NOM	moulin
à	PRP	à
vent	NOM	vent
,	PUN	,
de	PRP	de
sous-verre	NOM	sous-verre
,	PUN	,
bracelets	NOM	bracelet
et	KON	et
colliers	NOM	collier
en	PRP	en
cuir	NOM	cuir
tressé	VER:pper	tresser
,	PUN	,
bourse	NOM	bourse
en	PRP	en
cuir	NOM	cuir
;	PUN	;
danses	NOM	danse
folkloriques	ADJ	folklorique
,	PUN	,
chants	NOM	chant
,	PUN	,
jeux	NOM	jeu
.	SENT	.
tarif	NOM	tarif
:	PUN	:
23	NUM	@card@
	NOM	
par	PRP	par
trimestre	NOM	trimestre
+	SYM	+
9	NUM	@card@
	NOM	
pour	PRP	pour
la	DET:ART	le
carte	NOM	carte
annuelle	ADJ	annuel
familiale	ADJ	familial
d'	PRP	de
adhésion	NOM	adhésion
.	SENT	.
pour	PRP	pour
tout	PRO:IND	tout
renseignement	NOM	renseignement
et	KON	et
inscription	NOM	inscription
téléphoner	VER:infi	téléphoner
au	PRP:det	au
03.29	NUM	@card@
.	SENT	.
87.21	NUM	@card@
.	SENT	.
41	NUM	@card@
ou	KON	ou
passer	VER:infi	passer
au	PRP:det	au
secrétariat	NOM	secrétariat
.	SENT	.
