quelques	PRO:IND	quelque
places	NOM	place
sont	VER:pres	être
encore	ADV	encore
disponibles	ADJ	disponible
dans	PRP	dans
différentes	ADJ	différent
activités	NOM	activité
proposées	VER:pper	proposer
par	PRP	par
les	DET:ART	le
ecoles	NOM	ecoles
municipales	ADJ	municipal
de	PRP	de
sport	NOM	sport
.	SENT	.
ces	PRO:DEM	ce
écoles	NOM	école
s'	PRO:PER	se
adressent	VER:pres	adresser
aux	PRP:det	au
enfants	NOM	enfant
,	PUN	,
de	PRP	de
4	NUM	@card@
à	PRP	à
18	NUM	@card@
ans	NOM	an
.	SENT	.
les	DET:ART	le
activités	NOM	activité
adaptées	VER:pper	adapter
à	PRP	à
leur	DET:POS	leur
âge	NOM	âge
se	PRO:PER	se
déroulent	VER:pres	dérouler
le	DET:ART	le
mercredi	NOM	mercredi
matin	NOM	matin
.	SENT	.
escalade	NOM	escalade
(	PUN	(
initiation	NOM	initiation
)	PUN	)
:	PUN	:
gymnase	NOM	gymnase
provencal	ADJ	provencal
,	PUN	,
âge	NOM	âge
6	NUM	@card@
-	PUN	-
12	NUM	@card@
ans	NOM	an
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
escalade	NOM	escalade
(	PUN	(
perfectionnement	NOM	perfectionnement
)	PUN	)
:	PUN	:
gymnase	NOM	gymnase
provencal	ADJ	provencal
,	PUN	,
âge	NOM	âge
7	NUM	@card@
-	PUN	-
18	NUM	@card@
ans	NOM	an
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h.	ABR	h.
roller	NOM	roller
(	PUN	(
initiation	NOM	initiation
)	PUN	)
:	PUN	:
gymnase	NOM	gymnase
jules-ferry	ADJ	jules-ferry
,	PUN	,
âge	NOM	âge
6	NUM	@card@
-	PUN	-
9	NUM	@card@
ans	NOM	an
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
roller	NOM	roller
(	PUN	(
perfectionnement	NOM	perfectionnement
)	PUN	)
:	PUN	:
gymnase	NOM	gymnase
jules-ferry	ADJ	jules-ferry
,	PUN	,
âge	NOM	âge
6	NUM	@card@
-	PUN	-
12	NUM	@card@
ans	NOM	an
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h.	ABR	h.
football	NOM	football
:	PUN	:
stade	NOM	stade
maurice-de-vienne	ADJ	maurice-de-vienne
,	PUN	,
âge	NOM	âge
6	NUM	@card@
-	PUN	-
8	NUM	@card@
ans	NOM	an
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
football	NOM	football
:	PUN	:
stade	NOM	stade
maurice-de-vienne	ADJ	maurice-de-vienne
,	PUN	,
âge	NOM	âge
9	NUM	@card@
-	PUN	-
12	NUM	@card@
ans	NOM	an
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h.	ABR	h.
baby-basket	NOM	baby-basket
:	PUN	:
gymnase	NOM	gymnase
placieux	ADJ	placieux
,	PUN	,
âge	NOM	âge
4	NUM	@card@
-	PUN	-
6	NUM	@card@
ans	NOM	an
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
10	NUM	@card@
h	ABR	heure
15	NUM	@card@
eveil	NOM	eveil
danse	NOM	danse
:	PUN	:
gymnase	NOM	gymnase
placieux	ADJ	placieux
,	PUN	,
âge	NOM	âge
4	NUM	@card@
-	PUN	-
6	NUM	@card@
ans	NOM	an
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
10	NUM	@card@
h	ABR	heure
15	NUM	@card@
g.r	NOM	g.r
.	SENT	.
s.	ABR	s.
:	PUN	:
gymnase	NOM	gymnase
placieux	ADJ	placieux
,	PUN	,
âge	NOM	âge
7	NUM	@card@
-	PUN	-
10	NUM	@card@
ans	NOM	an
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h.	ABR	h.
basket	NOM	basket
:	PUN	:
gymnase	NOM	gymnase
placieux	ADJ	placieux
,	PUN	,
âge	NOM	âge
7	NUM	@card@
-	PUN	-
10	NUM	@card@
ans	NOM	an
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h.	ABR	h.
eveil	NOM	eveil
sportif	ADJ	sportif
:	PUN	:
gymnase	NOM	gymnase
provencal	ADJ	provencal
,	PUN	,
âge	NOM	âge
4	NUM	@card@
-	PUN	-
5	NUM	@card@
ans	NOM	an
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
les	DET:ART	le
inscriptions	NOM	inscription
se	PRO:PER	se
font	VER:pres	faire
du	PRP:det	du
lundi	NOM	lundi
au	PRP:det	au
jeudi	NOM	jeudi
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
13	NUM	@card@
h	ABR	heure
à	PRP	à
15	NUM	@card@
h	ABR	heure
45	NUM	@card@
le	DET:ART	le
vendredi	NOM	vendredi
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
13	NUM	@card@
h	ABR	heure
à	PRP	à
15	NUM	@card@
h.	ABR	h.
tarifs	NOM	tarif
:	PUN	:
10,67	NUM	@card@
	NOM	
par	PRP	par
activité	NOM	activité
pour	PRP	pour
le	DET:ART	le
trimestre	NOM	trimestre
,	PUN	,
1,52	NUM	@card@
	NOM	
le	DET:ART	le
pass	NOM	pass
bus	VER:pper	boire
(	PUN	(
10	NUM	@card@
trajets	NOM	trajet
).	VER:subi	).
renseignements	NOM	renseignement
et	KON	et
inscriptions	NOM	inscription
:	PUN	:
direction	NOM	direction
