correspondant	VER:ppre	correspondre
:	PUN	:
anne	VER:simp	anne
richard	NOM	richard
,	PUN	,
03.29	NUM	@card@
.	SENT	.
94.09	NUM	@card@
.	SENT	.
86	NUM	@card@
landaville	NOM	landaville
:	PUN	:
guichet	NOM	guichet
postal	ADJ	postal
,	PUN	,
de	PRP	de
13	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
14	NUM	@card@
h	ABR	heure
40	NUM	@card@
;	PUN	;
mairie	NOM	mairie
et	KON	et
permanence	NOM	permanence
du	PRP:det	du
maire	NOM	maire
de	PRP	de
8	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h.	ABR	h.
circourt-sur-mouzon	NOM	circourt-sur-mouzon
:	PUN	:
mairie	NOM	mairie
et	KON	et
permanence	NOM	permanence
du	PRP:det	du
maire	NOM	maire
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
rebeuville	NOM	rebeuville
:	PUN	:
mairie	NOM	mairie
ouverte	ADJ	ouvert
de	PRP	de
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
beaufremont	NOM	beaufremont
:	PUN	:
mairie	NOM	mairie
ouverte	ADJ	ouvert
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
guichet	NOM	guichet
postal	ADJ	postal
de	PRP	de
15	NUM	@card@
h	ABR	heure
à	PRP	à
15	NUM	@card@
h	ABR	heure
45	NUM	@card@
lemmecourt	NOM	lemmecourt
:	PUN	:
mairie	NOM	mairie
et	KON	et
permanence	NOM	permanence
du	PRP:det	du
maire	NOM	maire
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h.	ABR	h.
