hier	ADV	hier
,	PUN	,
henry	NOM	henry
lemoine	NOM	lemoine
a	VER:pres	avoir
procédé	VER:pper	procéder
au	PRP:det	au
mariage	NOM	mariage
de	PRP	de
erdenehuyag	NOM	erdenehuyag
bayarsaikhan	NOM	bayarsaikhan
,	PUN	,
et	KON	et
de	PRP	de
virginie	NOM	virginie
tacconi	NOM	tacconi
,	PUN	,
tous	PRO:IND	tout
deux	NUM	deux
étudiants	NOM	étudiant
domiciliés	VER:pper	domicilier
93	NUM	@card@
avenue	NOM	avenue
du	PRP:det	du
luxembourg	NOM	luxembourg
.	SENT	.
nos	DET:POS	notre
meilleurs	ADJ	meilleur
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
bonheur	NOM	bonheur
.	SENT	.
