metz	ABR	metz
.	SENT	.
-	PUN	-
des	PRP:det	du
travaux	NOM	travail
susceptibles	ADJ	susceptible
d'	PRP	de
entraîner	VER:infi	entraîner
des	PRP:det	du
perturbations	NOM	perturbation
sont	VER:pres	être
en	PRP	en
cours	NOM	cour|cours
sur	PRP	sur
l'	PRO:PER	la|le
a	VER:pres	avoir
3	NUM	@card@
1	NUM	@card@
à	PRP	à
richemont	NOM	richemont
,	PUN	,
au	PRP:det	au
nord	NOM	nord
de	PRP	de
metz	NAM	Metz
entre	PRP	entre
la	DET:ART	le
bifurcation	NOM	bifurcation
a	VER:pres	avoir
3	NUM	@card@
0	NUM	@card@
/	PUN	/
a	VER:pres	avoir
3	NUM	@card@
1	NUM	@card@
et	KON	et
l'	DET:ART	le
échangeur	NOM	échangeur
n	VER:futu	n
°	NOM	°
37	NUM	@card@
-	PUN	-
1	NUM	@card@
de	PRP	de
bertrange	NOM	bertrange
dans	PRP	dans
le	DET:ART	le
sens	NOM	sen|sens
dijon-luxembourg	ADJ	dijon-luxembourg
.	SENT	.
la	DET:ART	le
dégradation	NOM	dégradation
de	PRP	de
la	DET:ART	le
chaussée	NOM	chaussée
sur	PRP	sur
le	DET:ART	le
viaduc	NOM	viaduc
de	PRP	de
franchissement	NOM	franchissement
de	PRP	de
la	DET:ART	le
moselle	ADJ	moselle
entraîne	VER:pres	entraîner
la	DET:ART	le
neutralisation	NOM	neutralisation
de	PRP	de
la	DET:ART	le
voie	NOM	voie
de	PRP	de
droite	NOM	droit|droite
.	SENT	.
la	DET:ART	le
circulation	NOM	circulation
des	PRP:det	du
poids-lourds	NOM	poids-lourds
de	PRP	de
plus	ADV	plus
de	PRP	de
3,5	NUM	@card@
tonnes	NOM	tonne
est	VER:pres	être
interdite	VER:pper	interdire
.	SENT	.
une	DET:ART	un
déviation	NOM	déviation
est	VER:pres	être
mise	VER:pper	mettre
en	PRP	en
place	NOM	place
,	PUN	,
à	PRP	à
la	DET:ART	le
bifurcation	NOM	bifurcation
a	VER:pres	avoir
3	NUM	@card@
0	NUM	@card@
-	PUN	-
a	VER:pres	avoir
3	NUM	@card@
1	NUM	@card@
en	PRP	en
direction	NOM	direction
de	PRP	de
longwy	NOM	longwy
par	PRP	par
l'	PRO:PER	la|le
a	VER:pres	avoir
3	NUM	@card@
0	NUM	@card@
:	PUN	:
sortie	NOM	sortie
à	PRP	à
l'	DET:ART	le
échangeur	NOM	échangeur
n	VER:futu	n
°	NOM	°
1	NUM	@card@
d'	PRP	de
uckange	NOM	uckange
,	PUN	,
emprunter	VER:infi	emprunter
la	DET:ART	le
rd	NOM	rd
953	NUM	@card@
vers	PRP	vers
thionville	NOM	thionville
puis	ADV	puis
la	DET:ART	le
rd	NOM	rd
60	NUM	@card@
pour	PRP	pour
rejoindre	VER:infi	rejoindre
l'	PRO:PER	la|le
a	VER:pres	avoir
3	NUM	@card@
1	NUM	@card@
à	PRP	à
l'	DET:ART	le
échangeur	NOM	échangeur
n	VER:futu	n
°	NOM	°
37	NUM	@card@
-	PUN	-
1	NUM	@card@
de	PRP	de
bertrange	NOM	bertrange
.	SENT	.
le	DET:ART	le
chantier	NOM	chantier
est	VER:pres	être
prévu	VER:pper	prévoir
jusqu'à	NOM	jusqu'à
fin	ADJ	fin
février	NOM	février
.	SENT	.
