ce	PRO:DEM	ce
week-end	NOM	week-end
se	PRO:PER	se
déroule	VER:pres	dérouler
le	DET:ART	le
11	NUM	@card@
e	ADJ	e
salon	NOM	salon
du	PRP:det	du
mariage	NOM	mariage
nocéa	VER:simp	nocéa
à	PRP	à
la	DET:ART	le
mals	ADJ	mal
,	PUN	,
à	PRP	à
sochaux	NOM	sochaux
.	SENT	.
aussi	ADV	aussi
bien	ADV	bien
samedi	NOM	samedi
que	KON	que
dimanche	NOM	dimanche
,	PUN	,
de	PRP	de
nombreux	ADJ	nombreux
défilés	NOM	défilé
et	KON	et
«	PUN:cit	«
flashes	VER:pres	flasher
mode	NOM	mode
»	PUN:cit	»
seront	VER:futu	être
au	PRP:det	au
programme	NOM	programme
.	SENT	.
mais	KON	mais
la	DET:ART	le
grande	ADJ	grand
attraction	NOM	attraction
du	PRP:det	du
week-end	NOM	week-end
sera	VER:futu	être
sans	PRP	sans
conteste	NOM	conteste
la	DET:ART	le
présence	NOM	présence
samedi	NOM	samedi
soir	NOM	soir
,	PUN	,
à	PRP	à
partir	VER:infi	partir
de	PRP	de
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
d'	PRP	de
elodie	NOM	elodie
couffin	NOM	couffin
.	SENT	.
la	DET:ART	le
jeune	ADJ	jeune
étudiante	ADJ	étudiant
belfortaine	NOM	belfortaine
devenue	VER:pper	devenir
le	DET:ART	le
14	NUM	@card@
décembre	NOM	décembre
dernier	ADJ	dernier
à	PRP	à
lyon	NOM	lyon
,	PUN	,
2	NUM	@card@
e	ADJ	e
dauphine	NOM	dauphine
de	PRP	de
miss	NOM	miss
france	NOM	france
.,	ADJ	.,
participera	VER:futu	participer
certainement	ADV	certainement
à	PRP	à
l'	DET:ART	le
un	NOM	un
des	PRP:det	du
défilés	NOM	défilé
.	SENT	.
salon	NOM	salon
du	PRP:det	du
mariage	NOM	mariage
nocéa	VER:simp	nocéa
à	PRP	à
la	DET:ART	le
mals	ADJ	mal
à	PRP	à
sochaux	NOM	sochaux
,	PUN	,
samedi	NOM	samedi
18	NUM	@card@
janvier	NOM	janvier
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
23	NUM	@card@
h	ABR	heure
et	KON	et
dimanche	NOM	dimanche
19	NUM	@card@
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
20	NUM	@card@
h.	ABR	h.
