médecin	NOM	médecin
de	PRP	de
garde	NOM	garde
:	PUN	:
appeler	VER:infi	appeler
le	DET:ART	le
15	NUM	@card@
pharmacie	NOM	pharmacie
de	PRP	de
garde	NOM	garde
:	PUN	:
ducret-dumet	NOM	ducret-dumet
,	PUN	,
à	PRP	à
blainville	NOM	blainville
.	SENT	.
siad	NOM	siad
des	PRP:det	du
trois-rivières	NOM	trois-rivières
:	PUN	:
1	NUM	@card@
rue	NOM	rue
du	PRP:det	du
presbytère	NOM	presbytère
,	PUN	,
tél	ABR	téléphone
03.83	NUM	@card@
.	SENT	.
75.94	NUM	@card@
.	SENT	.
50	NUM	@card@
mission	NOM	mission
emploi	NOM	emploi
:	PUN	:
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
21	NUM	@card@
rue	NOM	rue
saint	ADJ	saint
dominique	ADJ	dominique
.	SENT	.
kiosque	NOM	kiosque
ij	NOM	ij
:	PUN	:
de	PRP	de
16	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
21	NUM	@card@
rue	NOM	rue
saint	ADJ	saint
dominique	ADJ	dominique
.	SENT	.
ccas	NOM	ccas
:	PUN	:
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
de	PRP	de
15	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
en	PRP	en
mairie	NOM	mairie
.	SENT	.
ines	NOM	ines
:	PUN	:
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
21	NUM	@card@
rue	NOM	rue
saint	ADJ	saint
dominique	ADJ	dominique
adil	NOM	adil
:	PUN	:
de	PRP	de
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
en	PRP	en
mairie	NOM	mairie
.	SENT	.
mutuelle	ADJ	mutuel
générale	NOM	général|générale
des	PRP:det	du
cheminots	NOM	cheminot
:	PUN	:
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
2	NUM	@card@
rue	NOM	rue
du	PRP:det	du
grand	ADJ	grand
pré	NOM	pré
à	PRP	à
damelevières	NOM	damelevières
.	SENT	.
coffre	NOM	coffre
des	PRP:det	du
découvertes	NOM	découverte
:	PUN	:
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
mfc	NOM	mfc
.	SENT	.
emploi	NOM	emploi
jeunes	ADJ	jeune
:	PUN	:
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
21	NUM	@card@
rue	NOM	rue
saint	ADJ	saint
dominique	ADJ	dominique
.	SENT	.
centre	NOM	centre
médico-social	ADJ	médico-social
:	PUN	:
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
au	PRP:det	au
rampeux	NOM	rampeux
.	SENT	.
cabde	NOM	cabde
:	PUN	:
assemblée	NOM	assemblée
générale	ADJ	général
des	PRP:det	du
commerçants	ADJ	commerçant
et	KON	et
artisans	ADJ	artisan
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
rampeux	NOM	rampeux
.	SENT	.
